Filter,MJD,Mag,Sigma,Code
i,1878.6,17.3064405937,0.009,CSP9844
i,1879.61,17.1720961582,0.009,CSP9844
i,1883.59,16.9964820027,0.009,CSP9844
i,1884.58,16.9927349635,0.009,CSP9844
i,1885.55,17.0521993451,0.009,CSP9844
i,1888.56,17.1321281189,0.007,CSP9844
i,1898.52,17.6725385069,0.01,CSP9844
i,1902.55,17.8398997866,0.013,CSP9844
i,1908.54,17.6991128035,0.012,CSP9844
i,1911.55,17.6462741156,0.009,CSP9844
i,1914.46,17.6122994924,0.009,CSP9844
i,1915.45,17.5906554158,0.009,CSP9844
r,1878.6,17.0752382118,0.007,CSP9844
r,1879.61,16.9313763137,0.007,CSP9844
r,1883.59,16.6108789399,0.008,CSP9844
r,1884.58,16.5598832646,0.008,CSP9844
r,1885.55,16.5369641007,0.006,CSP9844
r,1888.56,16.5183786599,0.005,CSP9844
r,1898.52,16.9652104914,0.006,CSP9844
r,1902.55,17.1910710786,0.008,CSP9844
r,1908.54,17.3178861627,0.01,CSP9844
r,1911.55,17.3622088137,0.007,CSP9844
r,1914.46,17.415105463,0.007,CSP9844
r,1915.45,17.4356540451,0.009,CSP9844
B,1878.6,17.1211653307,0.008,CSP9844
B,1879.61,16.9580853547,0.008,CSP9844
B,1883.59,16.6180239647,0.006,CSP9844
B,1884.58,16.5815770166,0.006,CSP9844
B,1885.55,16.5621278571,0.006,CSP9844
B,1888.56,16.6033474109,0.006,CSP9844
B,1898.52,17.1650048272,0.01,CSP9844
B,1902.55,17.5975582774,0.019,CSP9844
B,1908.54,18.2355538003,0.014,CSP9844
B,1911.55,18.5387445048,0.015,CSP9844
B,1914.46,18.7744504192,0.016,CSP9844
B,1915.45,18.8662379511,0.016,CSP9844
V,1878.6,17.0296990342,0.006,CSP9844
V,1879.61,16.9180677653,0.006,CSP9844
V,1883.59,16.5544086676,0.007,CSP9844
V,1884.58,16.5175086453,0.006,CSP9844
V,1885.55,16.4906268544,0.006,CSP9844
V,1888.56,16.4824825212,0.005,CSP9844
V,1898.52,16.8051682743,0.007,CSP9844
V,1902.55,17.0734753056,0.01,CSP9844
V,1908.54,17.3922324851,0.009,CSP9844
V,1911.55,17.559599152,0.01,CSP9844
V,1914.46,17.7147154397,0.01,CSP9844
V,1915.45,17.7653127171,0.011,CSP9844
