Filter,MJD,Mag,Sigma,Code
i,1888.59,15.4523025525,0.011,CSP9844
i,1896.64,15.6409381725,0.005,CSP9844
i,1897.58,15.684394877,0.006,CSP9844
i,1898.56,15.7323045735,0.008,CSP9844
i,1900.59,15.85729561,0.009,CSP9844
i,1902.58,15.9419193169,0.009,CSP9844
i,1908.57,15.9027358981,0.01,CSP9844
i,1911.6,15.8729125464,0.005,CSP9844
i,1914.5,15.8863620279,0.006,CSP9844
i,1915.49,15.877229643,0.007,CSP9844
i,1917.51,15.8965753941,0.007,CSP9844
i,1920.5,15.9632613106,0.005,CSP9844
i,1927.5,16.404884115,0.008,CSP9844
i,1928.49,16.4571115921,0.009,CSP9844
i,1930.48,16.5661002828,0.008,CSP9844
i,1931.48,16.6010964784,0.009,CSP9844
i,1933.49,16.6959243492,0.008,CSP9844
i,1937.5,16.8600210829,0.009,CSP9844
r,1888.59,15.1460927635,0.007,CSP9844
r,1896.64,15.1520190297,0.005,CSP9844
r,1897.58,15.2110904828,0.005,CSP9844
r,1898.56,15.2373330289,0.006,CSP9844
r,1900.59,15.3563320123,0.008,CSP9844
r,1902.58,15.479145152,0.008,CSP9844
r,1908.57,15.6719948956,0.01,CSP9844
r,1911.6,15.7628765454,0.005,CSP9844
r,1914.5,15.8505040628,0.005,CSP9844
r,1915.49,15.8731265215,0.009,CSP9844
r,1917.51,15.9565154948,0.006,CSP9844
r,1920.5,16.1109150998,0.005,CSP9844
r,1927.5,16.5666569469,0.006,CSP9844
r,1928.49,16.6132410877,0.007,CSP9844
r,1930.48,16.712128176,0.007,CSP9844
r,1931.48,16.7606899876,0.009,CSP9844
r,1933.49,16.8382476053,0.006,CSP9844
r,1937.5,16.9911395687,0.008,CSP9844
B,1888.59,15.4499920612,0.005,CSP9844
B,1896.64,15.7330121886,0.005,CSP9844
B,1897.58,15.8134736601,0.005,CSP9844
B,1898.56,15.9032084771,0.008,CSP9844
B,1900.59,16.1075545501,0.006,CSP9844
B,1902.58,16.3224222495,0.007,CSP9844
B,1908.57,16.9799941699,0.01,CSP9844
B,1911.6,17.2927276212,0.007,CSP9844
B,1914.5,17.5302742711,0.008,CSP9844
B,1915.49,17.6200720649,0.008,CSP9844
B,1917.51,17.7353526172,0.011,CSP9844
B,1920.5,17.9355997126,0.01,CSP9844
B,1927.5,18.2837941049,0.015,CSP9844
B,1928.49,18.3045010381,0.019,CSP9844
B,1930.48,18.3831444732,0.021,CSP9844
B,1931.48,18.3892682319,0.022,CSP9844
B,1933.49,18.4586093591,0.015,CSP9844
B,1937.5,18.5528234911,0.016,CSP9844
V,1888.59,15.2201995722,0.007,CSP9844
V,1896.64,15.2485584859,0.005,CSP9844
V,1897.58,15.2868165989,0.005,CSP9844
V,1898.56,15.3213537812,0.007,CSP9844
V,1900.59,15.403823426,0.01,CSP9844
V,1902.58,15.5312000185,0.006,CSP9844
V,1908.57,15.9223540738,0.015,CSP9844
V,1911.6,16.0958020866,0.006,CSP9844
V,1914.5,16.2510539008,0.006,CSP9844
V,1915.49,16.3025168356,0.006,CSP9844
V,1917.51,16.4122773591,0.008,CSP9844
V,1920.5,16.5839528921,0.005,CSP9844
V,1927.5,16.9899656595,0.009,CSP9844
V,1928.49,17.0394966806,0.01,CSP9844
V,1930.48,17.1297865077,0.01,CSP9844
V,1931.48,17.1405489741,0.012,CSP9844
V,1933.49,17.2165217563,0.01,CSP9844
V,1937.5,17.3389607165,0.013,CSP9844
