Filter,MJD,Mag,Sigma,Code
i,1956.68,16.1574385599,0.016,CSP9844
i,1959.57,16.0881724566,0.011,CSP9844
i,1960.6,16.0996967115,0.019,CSP9844
i,1963.55,16.2249021305,0.016,CSP9844
i,1964.54,16.2343416196,0.027,CSP9844
i,1966.57,16.3326589076,0.025,CSP9844
i,1968.55,16.3245575646,0.033,CSP9844
i,1972.56,16.6929167429,0.034,CSP9844
i,1976.62,16.9782009741,0.039,CSP9844
r,1956.68,15.7186515286,0.009,CSP9844
r,1959.57,15.5700183842,0.007,CSP9844
r,1960.6,15.5247356508,0.013,CSP9844
r,1963.55,15.5263246781,0.011,CSP9844
r,1964.54,15.504796118,0.016,CSP9844
r,1966.57,15.5621567871,0.019,CSP9844
r,1968.55,15.6413542413,0.024,CSP9844
r,1972.56,15.8946311129,0.022,CSP9844
r,1976.62,16.1911158332,0.026,CSP9844
B,1956.68,15.7703141174,0.008,CSP9844
B,1959.57,15.6526921464,0.007,CSP9844
B,1960.6,15.6595778966,0.009,CSP9844
B,1963.55,15.6914947514,0.007,CSP9844
B,1964.54,15.6772725409,0.009,CSP9844
B,1966.57,15.7464700198,0.009,CSP9844
B,1968.55,15.8382060957,0.011,CSP9844
B,1972.56,16.1047349166,0.015,CSP9844
B,1976.62,16.4656428235,0.016,CSP9844
V,1956.68,15.6569654572,0.007,CSP9844
V,1959.57,15.4828438364,0.006,CSP9844
V,1960.6,15.5087206949,0.011,CSP9844
V,1963.55,15.4948256778,0.006,CSP9844
V,1964.54,15.4838678053,0.013,CSP9844
V,1966.57,15.5272914104,0.012,CSP9844
V,1968.55,15.6044020206,0.016,CSP9844
V,1972.56,15.7766280266,0.018,CSP9844
V,1976.62,16.0533082653,0.018,CSP9844
