SN,Survey,snetype,Type,AB,AV,AR,AI,sdssr,sdssi,RAX,DECX,Zcmb
SN2004dt,CSP,main,Ia,0.096,0.073,0.058,0.040,0.061,0.045,02h02m12.8s,-00d20m17.43s,0.0197
SN2004ef,CSP,main,Ia,0.199,0.151,0.119,0.083,0.125,0.093,22h42m10.0s,+19d43m57.25s,0.031
SN2004eo,CSP,main,Ia,0.392,0.296,0.234,0.163,0.247,0.183,20h32m54.2s,+09d45m26.72s,0.0157
SN2004ey,CSP,main,Ia,0.498,0.377,0.298,0.207,0.314,0.233,21h49m07.8s,+00d12m39.01s,0.0158
SN2004gc,CSP,main,Ia,0.747,0.565,0.447,0.310,0.471,0.350,05h21m49.9s,+06d37m41.76s,0.0321
SN2004gs,CSP,main,Ia,0.112,0.084,0.067,0.046,0.070,0.052,08h38m23.2s,+17d48m13.72s,0.0267
SN2004gu,CSP,main,Ia,0.096,0.073,0.058,0.040,0.061,0.045,12h46m24.7s,+12d13m18.88s,0.0459
SN2005A,CSP,main,Ia,0.109,0.083,0.065,0.045,0.069,0.051,02h30m43.2s,-03d09m36.41s,0.0191
SN2005ag,CSP,main,Ia,0.145,0.110,0.087,0.060,0.091,0.068,14h56m43.6s,+09d31m44.91s,0.0797
SN2005al,CSP,main,Ia,0.201,0.152,0.120,0.084,0.127,0.094,13h50m00.3s,-30d19m42.21s,0.0124
SN2005am,CSP,main,Ia,0.194,0.147,0.116,0.081,0.123,0.091,09h16m12.5s,-16d05m42.36s,0.0079
SN2005be,CSP,main,Ia,0.123,0.093,0.074,0.051,0.078,0.058,14h59m32.7s,+16d52m05.17s,0.035
SN2005bg,CSP,main,Ia,0.116,0.088,0.070,0.048,0.073,0.055,12h17m17.2s,+16d38m57.27s,0.0231
SN2005bl,CSP,main,Ia,0.105,0.079,0.063,0.044,0.066,0.049,12h04m12.2s,+20d41m06.83s,0.0241
SN2005bo,CSP,main,Ia,0.167,0.126,0.100,0.069,0.105,0.078,12h49m41.0s,-10d49m27.26s,0.0139
SN2005el,CSP,main,Ia,0.414,0.313,0.247,0.172,0.261,0.194,05h11m48.7s,+05d08m04.53s,0.0149
SN2005eq,CSP,main,Ia,0.268,0.203,0.160,0.111,0.169,0.126,03h08m49.3s,-07d13m24.61s,0.029
SN2005gj,CSP,main,Ia,0.440,0.333,0.263,0.183,0.277,0.206,03h01m11.9s,-00d45m02.85s,0.0616
SN2005hc,CSP,main,Ia,0.119,0.090,0.071,0.049,0.075,0.056,01h56m47.9s,-00d27m26.81s,0.0459
SN2005iq,CSP,main,Ia,0.080,0.061,0.048,0.033,0.050,0.038,23h58m32.5s,-18d59m15.30s,0.034
SN2005ir,CSP,main,Ia,0.111,0.084,0.066,0.046,0.070,0.052,01h16m43.7s,+00d31m51.97s,0.0763
SN2005kc,CSP,main,Ia,0.479,0.362,0.287,0.199,0.302,0.224,22h34m07.3s,+05d18m35.66s,0.0151
SN2005ke,CSP,main,Ia,0.089,0.067,0.053,0.037,0.056,0.042,03h35m04.3s,-25d06m35.10s,0.0049
SN2005ki,CSP,main,Ia,0.116,0.088,0.069,0.048,0.073,0.054,10h40m28.2s,+09d27m48.89s,0.0192
SN2005ku,CSP,main,Ia,0.195,0.147,0.117,0.081,0.123,0.091,22h59m42.6s,-00d16m55.59s,0.0454
