Filter,MJD,Mag,Sigma,Code
V,53249.26997,15.560318102156085,0.006,CSP3014
V,53250.29201,15.613121338456693,0.009,CSP3014
V,53251.31405,15.651094588287673,0.009,CSP3014
V,53252.34789,15.690302024898273,0.005,CSP3014
V,53253.26951,15.738449329745066,0.005,CSP3014
V,53256.22375,15.897247529438461,0.01,CSP3014
V,53257.21014,15.941412492247395,0.009,CSP3014
V,53258.24234,15.994263829344359,0.008,CSP3014
V,53259.25928,16.062907770175414,0.005,CSP3014
V,53260.28264,16.137248596405037,0.008,CSP3014
V,53261.19531,16.20942385556247,0.011,CSP3014
V,53262.19022,16.29412880265162,0.01,CSP3014
V,53263.24848,16.414836205659967,0.013,CSP3014
V,53264.22499,16.479358761350834,0.013,CSP3014
V,53265.26678,16.554160474642494,0.009,CSP3014
V,53266.21198,16.634789204502,0.007,CSP3014
V,53267.22001,16.70136966124209,0.008,CSP3014
V,53268.22471,16.75124535637613,0.007,CSP3014
V,53269.17606,16.830775814883673,0.007,CSP3014
V,53270.18012,16.859589341965005,0.006,CSP3014
V,53271.27227,16.903128105588824,0.007,CSP3014
V,53272.25135,16.930972505755165,0.008,CSP3014
V,53273.2777,16.95602520055696,0.009,CSP3014
V,53274.19874,16.961338760536233,0.009,CSP3014
V,53275.21882,17.00055731235632,0.009,CSP3014
V,53276.22678,17.020047785900225,0.009,CSP3014
V,53277.16295,17.040266068452745,0.016,CSP3014
V,53279.18153,17.10576458737722,0.011,CSP3014
V,53280.19347,17.14557053709033,0.012,CSP3014
V,53281.20693,17.17041692453216,0.011,CSP3014
V,53284.30732,17.225830925765564,0.043,CSP3014
V,53287.16703,17.322620227592303,0.008,CSP3014
V,53289.23863,17.367167922068166,0.009,CSP3014
V,53291.1723,17.42158125794855,0.008,CSP3014
V,53293.20307,17.444934755460338,0.009,CSP3014
V,53294.26838,17.482547354348526,0.007,CSP3014
V,53295.22655,17.49779326753641,0.011,CSP3014
V,53299.16248,17.60292627053419,0.011,CSP3014
V,53324.16089,18.202,0.009,CSP3014
V,53329.16508,18.299,0.014,CSP3014
V,53331.09552,18.33,0.015,CSP3014
V,53341.07471,18.56,0.012,CSP3014
V,53345.10192,18.641,0.011,CSP3014
V,53349.07786,18.724,0.013,CSP3014
V,53365.09524,19.07,0.023,CSP3014
r,53249.26997,15.859340495812582,0.004,CSP3014
r,53250.29201,15.890991994181897,0.007,CSP3014
r,53251.31405,15.940223050284645,0.009,CSP3014
r,53252.34789,15.971860657157158,0.004,CSP3014
r,53253.26951,15.958616031406635,0.004,CSP3014
r,53256.22375,15.958632600974482,0.005,CSP3014
r,53257.21014,15.988671876779458,0.01,CSP3014
r,53258.24234,16.005760221911938,0.005,CSP3014
r,53259.25928,16.045169573736622,0.004,CSP3014
r,53260.28264,16.067010034139493,0.009,CSP3014
r,53261.19531,16.083704806878128,0.009,CSP3014
r,53262.19022,16.1715934893464,0.009,CSP3014
r,53263.24848,16.22645579686816,0.011,CSP3014
