Filter,MJD,Mag,Sigma,Code
V,53266.00009,17.311506547879794,0.016,CSP3014
V,53266.99341,16.930204576107307,0.016,CSP3014
V,53267.99226,16.627242719030264,0.016,CSP3014
V,53269.0416,16.29874986946841,0.017,CSP3014
V,53270.03686,16.093559805197813,0.016,CSP3014
V,53270.99156,15.925189464901985,0.016,CSP3014
V,53271.99631,15.772355537910052,0.016,CSP3014
V,53273.00831,15.66731317240885,0.017,CSP3014
V,53273.98781,15.575915397648574,0.016,CSP3014
V,53274.98553,15.497594911627003,0.017,CSP3014
V,53276.05834,15.443101937317925,0.017,CSP3014
V,53276.98285,15.394814079216133,0.016,CSP3014
V,53277.98707,15.365659664297151,0.016,CSP3014
V,53278.99536,15.356635054475362,0.016,CSP3014
V,53279.98635,15.35165375361379,0.016,CSP3014
V,53280.98502,15.354821080378033,0.016,CSP3014
V,53285.04721,15.447074942221736,0.019,CSP3014
V,53287.04681,15.540063847467428,0.017,CSP3014
V,53288.0403,15.602184070160463,0.017,CSP3014
V,53289.05924,15.662586196927517,0.016,CSP3014
V,53290.04845,15.73953558082062,0.016,CSP3014
V,53291.03176,15.81981797949822,0.016,CSP3014
V,53292.03583,15.896630484877424,0.016,CSP3014
V,53293.99236,16.02376242746376,0.017,CSP3014
V,53294.98372,16.09677898349642,0.016,CSP3014
V,53298.01036,16.272954241111044,0.016,CSP3014
V,53299.99014,16.38615336517701,0.016,CSP3014
V,53300.9911,16.437805710011272,0.017,CSP3014
V,53301.9906,16.49433644399309,0.016,CSP3014
V,53302.9977,16.55801056492205,0.016,CSP3014
V,53304.00034,16.70904567841988,0.034,CSP3014
V,53304.99323,16.70382658517321,0.017,CSP3014
V,53307.02942,16.863049577116573,0.017,CSP3014
V,53308.00086,16.94115196664339,0.016,CSP3014
V,53308.99351,17.011904309745745,0.016,CSP3014
V,53310.00069,17.08700156941942,0.016,CSP3014
V,53310.99852,17.143246385995504,0.016,CSP3014
V,53329.01678,17.75568867826671,0.016,CSP3014
V,53341.0224,18.016845024594797,0.025,CSP3014
r,53266.00009,17.273969801045624,0.016,CSP3014
r,53266.99341,16.899272155982544,0.016,CSP3014
r,53267.99226,16.58839360709593,0.016,CSP3014
r,53270.99156,15.914540837428103,0.016,CSP3014
r,53271.99631,15.775934994387663,0.016,CSP3014
r,53273.00831,15.6600615892292,0.016,CSP3014
r,53273.98781,15.583475133082429,0.016,CSP3014
r,53274.98553,15.534484184521586,0.017,CSP3014
r,53276.05834,15.488344034789252,0.016,CSP3014
r,53276.98285,15.481292856859257,0.016,CSP3014
r,53277.98707,15.465002622878167,0.016,CSP3014
r,53278.99536,15.453144870581374,0.016,CSP3014
r,53279.98635,15.451080837060745,0.016,CSP3014
r,53280.98502,15.456323323877555,0.016,CSP3014
r,53281.99108,15.459069620528874,0.016,CSP3014
r,53287.04681,15.705740368160406,0.016,CSP3014
r,53288.0403,15.771018776653367,0.016,CSP3014
r,53289.05924,15.846644099564946,0.016,CSP3014
r,53290.04845,15.896033782466702,0.016,CSP3014
r,53291.03176,15.936438196672785,0.016,CSP3014
r,53292.03583,15.965286082254485,0.016,CSP3014
r,53293.99236,16.026861033351413,0.017,CSP3014
r,53294.98372,16.054029562570015,0.016,CSP3014
r,53298.01036,16.1221946264354,0.016,CSP3014
r,53299.99014,16.19163428606486,0.017,CSP3014
r,53300.9911,16.231988694578973,0.016,CSP3014
r,53301.9906,16.270060206030642,0.016,CSP3014
r,53302.9977,16.328524668586617,0.016,CSP3014
r,53304.00034,16.37911980861235,0.017,CSP3014
r,53304.99323,16.444369484582495,0.016,CSP3014
r,53307.02942,16.59567798050854,0.016,CSP3014
r,53308.00086,16.67256899272742,0.016,CSP3014
r,53308.99351,16.74536180984635,0.016,CSP3014
r,53310.00069,16.814311465147377,0.016,CSP3014
r,53310.99852,16.886061912382125,0.016,CSP3014
r,53312.00025,16.9481657486081,0.016,CSP3014
r,53321.03175,17.368806279856358,0.016,CSP3014
r,53329.01678,17.623611192668946,0.016,CSP3014
r,53341.0224,18.011574800010177,0.016,CSP3014
B,53266.00009,17.606922484555255,0.017,CSP3014
B,53266.99341,17.151093051508816,0.017,CSP3014
B,53267.99226,16.771592785162564,0.017,CSP3014
B,53269.0416,16.491119802212687,0.017,CSP3014
B,53270.03686,16.239272894821987,0.008,CSP3014
B,53270.99156,16.053591788759018,0.017,CSP3014
B,53271.99631,15.890445733969042,0.017,CSP3014
B,53273.00831,15.775305461943017,0.017,CSP3014
B,53273.98781,15.689309661869157,0.017,CSP3014
B,53274.98553,15.612658623519973,0.017,CSP3014
B,53276.05834,15.566870215134871,0.019,CSP3014
B,53276.98285,15.53092713712418,0.017,CSP3014
B,53277.98707,15.519251041068607,0.017,CSP3014
B,53278.99536,15.520708921101894,0.017,CSP3014
B,53279.98635,15.546028388839323,0.017,CSP3014
B,53280.98502,15.584970847503255,0.017,CSP3014
B,53287.04681,16.10322827126491,0.017,CSP3014
B,53288.0403,16.21906392014581,0.017,CSP3014
B,53289.05924,16.339643258302917,0.017,CSP3014
B,53290.04845,16.47062408619843,0.017,CSP3014
B,53291.03176,16.606298308514784,0.017,CSP3014
B,53292.03583,16.739211137094934,0.017,CSP3014
B,53293.99236,17.00065381088144,0.017,CSP3014
B,53294.98372,17.11790878581607,0.017,CSP3014
B,53298.01036,17.457227304756152,0.017,CSP3014
B,53299.99014,17.635565680661255,0.017,CSP3014
B,53300.9911,17.70062168853556,0.017,CSP3014
B,53301.9906,17.793212245824122,0.017,CSP3014
B,53302.9977,17.911530332034037,0.017,CSP3014
B,53304.00034,17.946146864059095,0.036,CSP3014
B,53304.99323,17.995377531233064,0.028,CSP3014
B,53307.02942,18.160990253100834,0.033,CSP3014
B,53308.00086,18.209945182803764,0.017,CSP3014
B,53308.99351,18.275495383989984,0.017,CSP3014
B,53310.00069,18.326173868239874,0.017,CSP3014
B,53310.99852,18.36600787373847,0.017,CSP3014
B,53329.01678,18.883724561583847,0.035,CSP3014
B,53341.0224,19.010217159830717,0.038,CSP3014
i,53266.00009,17.363888263321627,0.016,CSP3014
i,53266.99341,16.981833330904376,0.016,CSP3014
i,53267.99226,16.6609220804325,0.016,CSP3014
i,53270.99156,16.14242175245772,0.017,CSP3014
i,53271.99631,15.990116602679683,0.016,CSP3014
