Filter,MJD,Mag,Sigma,Code
V,53295.01776,16.027992652262128,0.007,CSP3014
V,53298.16782,15.565422483074416,0.007,CSP3014
V,53299.00874,15.490148174894259,0.008,CSP3014
V,53300.03587,15.408479219661654,0.007,CSP3014
V,53301.02776,15.33870150099443,0.006,CSP3014
V,53302.0445,15.279493197303113,0.007,CSP3014
V,53303.03933,15.251052868963734,0.008,CSP3014
V,53304.05301,15.232967199344822,0.007,CSP3014
V,53305.03635,15.226884079690711,0.008,CSP3014
V,53307.07442,15.250121995641111,0.006,CSP3014
V,53308.04465,15.25869091777994,0.006,CSP3014
V,53309.04135,15.283139153358627,0.007,CSP3014
V,53310.04179,15.30323327869759,0.006,CSP3014
V,53311.00647,15.334814327826734,0.006,CSP3014
V,53314.0521,15.476222647396225,0.004,CSP3014
V,53315.04524,15.531984768492284,0.008,CSP3014
V,53328.03091,16.190229073300067,0.009,CSP3014
V,53330.07369,16.318807962164108,0.01,CSP3014
V,53331.01535,16.378590302081026,0.009,CSP3014
V,53335.02235,16.625897219774753,0.01,CSP3014
V,53337.0159,16.7290697644628,0.01,CSP3014
V,53338.03784,16.79914860060496,0.007,CSP3014
V,53339.03772,16.878666435399886,0.009,CSP3014
V,53340.04005,16.925315029852214,0.01,CSP3014
V,53342.01751,17.00473779864873,0.027,CSP3014
V,53344.0223,17.09571453660329,0.011,CSP3014
V,53346.03474,17.183714543752224,0.011,CSP3014
V,53348.02922,17.245393279736696,0.012,CSP3014
V,53351.02869,17.352967962176173,0.009,CSP3014
V,53352.02991,17.35911906772948,0.018,CSP3014
r,53295.01776,16.035817710097966,0.006,CSP3014
r,53298.16782,15.599067088480503,0.006,CSP3014
r,53299.00874,15.557040494381303,0.009,CSP3014
r,53300.03587,15.4762016359525,0.009,CSP3014
r,53301.02776,15.420726611657784,0.006,CSP3014
r,53302.0445,15.387367062992062,0.006,CSP3014
r,53303.03933,15.37496396694342,0.008,CSP3014
r,53304.05301,15.338424406037365,0.008,CSP3014
r,53305.03635,15.340474939861817,0.007,CSP3014
r,53307.07442,15.360461981299386,0.005,CSP3014
r,53308.04465,15.382594587821917,0.006,CSP3014
r,53309.04135,15.406421063444997,0.008,CSP3014
r,53310.04179,15.454849853614855,0.006,CSP3014
r,53311.00647,15.50500902506422,0.006,CSP3014
r,53312.02749,15.58073399502873,0.009,CSP3014
r,53314.0521,15.721182976794802,0.006,CSP3014
r,53315.04524,15.801813540187924,0.006,CSP3014
r,53320.02689,16.071533814813193,0.006,CSP3014
r,53328.03091,16.151416474098347,0.006,CSP3014
r,53330.07369,16.2048772999633,0.006,CSP3014
r,53331.01535,16.22606180112406,0.006,CSP3014
r,53335.02235,16.382667522749266,0.005,CSP3014
r,53337.0159,16.492872109219277,0.007,CSP3014
r,53338.03784,16.547020334562205,0.008,CSP3014
r,53339.03772,16.615703678678685,0.007,CSP3014
r,53340.04005,16.688353688975855,0.008,CSP3014
r,53342.01751,16.819026600375754,0.007,CSP3014
r,53344.0223,16.93532798291416,0.009,CSP3014
r,53346.03474,17.03913629087644,0.008,CSP3014
r,53348.02922,17.11696627926512,0.01,CSP3014
r,53351.02869,17.219742609553855,0.009,CSP3014
r,53352.02991,17.263825871059595,0.009,CSP3014
B,53295.01776,16.0121035796165,0.006,CSP3014
B,53298.16782,15.570588672194031,0.005,CSP3014
B,53299.00874,15.47448988505937,0.006,CSP3014
B,53300.03587,15.400720849627188,0.004,CSP3014
B,53301.02776,15.344069129033311,0.005,CSP3014
B,53302.0445,15.30312205110981,0.005,CSP3014
B,53303.03933,15.277610755507517,0.006,CSP3014
B,53304.05301,15.277738483341162,0.006,CSP3014
B,53305.03635,15.291391468980569,0.006,CSP3014
B,53307.07442,15.357246350423035,0.006,CSP3014
B,53308.04465,15.388117389994207,0.004,CSP3014
B,53309.04135,15.443055915230962,0.006,CSP3014
B,53310.04179,15.482774393908633,0.004,CSP3014
B,53311.00647,15.543179676891704,0.005,CSP3014
B,53314.0521,15.76359544656503,0.004,CSP3014
B,53315.04524,15.851275682461951,0.006,CSP3014
B,53328.03091,17.209242866337757,0.009,CSP3014
B,53330.07369,17.41396869660175,0.013,CSP3014
B,53331.01535,17.495717856181123,0.011,CSP3014
B,53335.02235,17.790356945195157,0.01,CSP3014
B,53337.0159,17.918205255563336,0.014,CSP3014
B,53338.03784,17.996698807924766,0.01,CSP3014
B,53339.03772,18.059252459250725,0.011,CSP3014
B,53340.04005,18.08689567349265,0.011,CSP3014
B,53342.01751,18.2243879464446,0.02,CSP3014
B,53344.0223,18.259873600546015,0.012,CSP3014
B,53346.03474,18.30341508205501,0.012,CSP3014
B,53348.02922,18.382119921388625,0.014,CSP3014
B,53351.02869,18.400034515915983,0.021,CSP3014
B,53352.02991,18.464191968359465,0.022,CSP3014
i,53295.01776,16.237092615605725,0.006,CSP3014
i,53298.16782,15.85072399577739,0.006,CSP3014
i,53299.00874,15.807389413830071,0.008,CSP3014
i,53300.03587,15.752374968323743,0.009,CSP3014
i,53301.02776,15.743406939165121,0.006,CSP3014
i,53302.0445,15.751951516169033,0.006,CSP3014
i,53303.03933,15.765486333730818,0.009,CSP3014
i,53304.05301,15.765027139674896,0.012,CSP3014
i,53305.03635,15.811230434955588,0.01,CSP3014
i,53307.07442,15.908772011901178,0.006,CSP3014
i,53308.04465,15.948275463154307,0.007,CSP3014
i,53309.04135,15.999004552573213,0.007,CSP3014
i,53310.04179,16.035784858659802,0.007,CSP3014
i,53311.00647,16.08544050542106,0.007,CSP3014
i,53312.02749,16.12906353402297,0.01,CSP3014
i,53314.0521,16.313443195758417,0.007,CSP3014
i,53315.04524,16.384247402291997,0.008,CSP3014
i,53320.02689,16.507756419715804,0.008,CSP3014
i,53328.03091,16.29207517587782,0.01,CSP3014
i,53330.07369,16.241901816963825,0.007,CSP3014
i,53331.01535,16.216119654843787,0.007,CSP3014
i,53335.02235,16.233726647222475,0.006,CSP3014
i,53337.0159,16.30900758178806,0.008,CSP3014
i,53338.03784,16.345983057098437,0.008,CSP3014
i,53339.03772,16.44207583091819,0.008,CSP3014
i,53340.04005,16.519388080479832,0.009,CSP3014
i,53342.01751,16.68368828203215,0.009,CSP3014
i,53344.0223,16.776937877959572,0.01,CSP3014
i,53346.03474,16.89956177310425,0.01,CSP3014
i,53348.02922,17.013210153546638,0.011,CSP3014
i,53351.02869,17.159475326418484,0.015,CSP3014
i,53352.02991,17.217790348549464,0.014,CSP3014
