Filter,MJD,Mag,Sigma,Code
V,53329.30532,17.31683392046558,0.01,CSP3014
V,53330.27366,17.325450714091183,0.011,CSP3014
V,53331.24252,17.334419631393963,0.01,CSP3014
V,53332.23508,17.365372049105915,0.01,CSP3014
V,53333.26888,17.368646501305456,0.009,CSP3014
V,53336.24668,17.50633814817434,0.011,CSP3014
V,53337.25888,17.545039723001246,0.012,CSP3014
V,53340.22913,17.735315808889194,0.01,CSP3014
V,53341.23903,17.79837890371159,0.01,CSP3014
V,53344.22655,17.956595464652068,0.013,CSP3014
V,53345.21812,18.047787923997017,0.011,CSP3014
V,53348.27123,18.203107675109457,0.014,CSP3014
V,53349.26793,18.188433829876587,0.04,CSP3014
V,53352.20469,18.41058903540189,0.015,CSP3014
V,53353.16368,18.495758937372045,0.016,CSP3014
V,53356.23496,18.71140441870542,0.014,CSP3014
V,53361.15316,19.058117852670577,0.018,CSP3014
V,53369.18443,19.222935154917348,0.035,CSP3014
V,53372.18412,19.39951482714068,0.02,CSP3014
V,53373.18001,19.383452815195504,0.029,CSP3014
V,53376.19059,19.498490574655335,0.024,CSP3014
V,53380.19735,19.66868647099775,0.057,CSP3014
V,53381.1789,19.55311023179957,0.031,CSP3014
V,53385.17838,19.73849139136363,0.026,CSP3014
V,53387.18985,19.749864649540733,0.031,CSP3014
V,53390.09478,19.821323795366816,0.048,CSP3014
V,53394.14932,19.937933238455514,0.069,CSP3014
V,53397.13396,20.061,0.051,CSP3014
r,53329.30532,17.40564144586146,0.015,CSP3014
r,53330.27366,17.375180507556696,0.009,CSP3014
r,53331.24252,17.393153192327794,0.01,CSP3014
r,53332.23508,17.424884296165104,0.009,CSP3014
r,53333.26888,17.463914544447963,0.009,CSP3014
r,53336.24668,17.58161138081047,0.009,CSP3014
r,53337.25888,17.647469742774295,0.011,CSP3014
r,53340.22913,17.782588970048344,0.011,CSP3014
r,53341.23903,17.761286117134098,0.016,CSP3014
r,53344.22655,17.9091825729463,0.009,CSP3014
r,53345.21812,17.923462173700948,0.014,CSP3014
r,53348.27123,18.00210702769455,0.011,CSP3014
r,53349.26793,18.0376101368175,0.008,CSP3014
r,53352.20469,18.114758403940822,0.011,CSP3014
r,53353.16368,18.166492422275812,0.01,CSP3014
r,53356.23496,18.350861069206715,0.019,CSP3014
r,53357.18512,18.440090927341757,0.015,CSP3014
r,53361.15316,18.71902987104336,0.015,CSP3014
r,53369.18443,19.12954859702114,0.049,CSP3014
r,53372.18412,19.18389199556562,0.016,CSP3014
r,53373.18001,19.191824282991337,0.015,CSP3014
r,53376.19059,19.24761729042546,0.017,CSP3014
r,53380.19735,19.35173376631481,0.025,CSP3014
r,53381.1789,19.486382265972964,0.021,CSP3014
r,53385.17838,19.443313243187475,0.032,CSP3014
r,53387.18985,19.591805675919723,0.021,CSP3014
r,53390.09478,19.5813695259726,0.03,CSP3014
r,53397.13396,19.75,0.032,CSP3014
B,53329.30532,17.65558874992776,0.011,CSP3014
B,53330.27366,17.703438762061566,0.011,CSP3014
B,53331.24252,17.749675520739167,0.011,CSP3014
