Filter,MJD,Mag,Sigma,Code
V,53352.33138,17.26740668226639,0.093,CSP3014
V,53353.30048,17.23723894685037,0.008,CSP3014
V,53356.32257,17.087898284159483,0.009,CSP3014
V,53357.26423,17.062675142952095,0.009,CSP3014
V,53361.25185,17.111924521315217,0.01,CSP3014
V,53362.25899,17.15451930772997,0.009,CSP3014
V,53363.28045,17.211361241652735,0.011,CSP3014
V,53365.24264,17.35153913544834,0.015,CSP3014
V,53372.24282,17.900673034395986,0.013,CSP3014
V,53373.27954,17.954071798651224,0.014,CSP3014
V,53376.29498,18.190083710123965,0.014,CSP3014
V,53377.22471,18.24354969474232,0.015,CSP3014
V,53380.25499,18.510684035388245,0.036,CSP3014
V,53381.23719,18.537067062725555,0.027,CSP3014
V,53383.25416,18.689859199639603,0.022,CSP3014
V,53384.20618,18.77643772666476,0.037,CSP3014
V,53385.24569,18.82915364967142,0.019,CSP3014
V,53386.22266,18.884753753974607,0.021,CSP3014
V,53387.23879,18.911031254571615,0.026,CSP3014
V,53388.22415,19.047464019639996,0.029,CSP3014
V,53389.19151,19.07830963264306,0.031,CSP3014
V,53390.18118,19.084634065001808,0.027,CSP3014
V,53391.14211,19.102851144372774,0.041,CSP3014
V,53392.17681,19.098101506378768,0.095,CSP3014
V,53393.22352,19.179236562470237,0.131,CSP3014
V,53394.22991,19.27575726650816,0.08,CSP3014
V,53398.17012,19.311037605319626,0.045,CSP3014
V,53400.12903,19.39505516366137,0.032,CSP3014
V,53403.15337,19.565851105050555,0.017,CSP3014
V,53406.16067,19.641669768072077,0.016,CSP3014
V,53407.18226,19.728,0.023,CSP3014
V,53408.16589,19.785,0.016,CSP3014
V,53409.16199,19.804,0.021,CSP3014
V,53410.17931,19.856,0.019,CSP3014
V,53411.16352,19.827,0.022,CSP3014
V,53412.15753,19.846,0.024,CSP3014
V,53415.15713,19.97,0.017,CSP3014
V,53416.18189,20.001,0.018,CSP3014
V,53417.1419,20.053,0.027,CSP3014
V,53418.13998,20.026,0.027,CSP3014
V,53419.20565,20.013,0.029,CSP3014
V,53420.14439,20.142,0.055,CSP3014
V,53421.18429,20.08,0.115,CSP3014
V,53424.13347,20.347,0.173,CSP3014
V,53425.1161,20.306,0.13,CSP3014
V,53426.12329,20.321,0.082,CSP3014
V,53427.11171,20.123,0.064,CSP3014
V,53428.06492,20.186,0.18,CSP3014
V,53429.07857,20.326,0.038,CSP3014
V,53432.18089,20.333,0.044,CSP3014
V,53444.07251,20.585,0.03,CSP3014
V,53445.07448,20.686,0.033,CSP3014
V,53446.07116,20.688,0.051,CSP3014
V,53455.06419,20.834,0.158,CSP3014
V,53461.02601,21.017,0.057,CSP3014
r,53352.33138,17.30173119071759,0.009,CSP3014
r,53353.30048,17.237605409021292,0.007,CSP3014
r,53356.32257,17.16558325208998,0.007,CSP3014
r,53357.26423,17.158522614234208,0.007,CSP3014
r,53361.25185,17.228207567131122,0.008,CSP3014
r,53362.25899,17.29441791690816,0.009,CSP3014
r,53363.28045,17.375283067026366,0.01,CSP3014
r,53365.24264,17.491621339496326,0.012,CSP3014
r,53372.24282,17.771435220921987,0.009,CSP3014
r,53373.27954,17.812208772999952,0.009,CSP3014
r,53376.29498,17.94155826354008,0.01,CSP3014
r,53377.22471,17.95663436113915,0.011,CSP3014
r,53380.25499,18.267163416890874,0.023,CSP3014
r,53383.25416,18.52839335314857,0.021,CSP3014
r,53384.20618,18.627047206489372,0.025,CSP3014
r,53385.24569,18.660503245829727,0.013,CSP3014
r,53386.22266,18.729400416845436,0.014,CSP3014
r,53387.23879,18.779738482924408,0.017,CSP3014
r,53388.22415,18.80539600928848,0.017,CSP3014
r,53389.19151,18.84854437673779,0.019,CSP3014
r,53390.18118,18.88264179796152,0.026,CSP3014
r,53391.14211,18.9768232041446,0.03,CSP3014
r,53392.17681,18.972360618304254,0.033,CSP3014
r,53393.22352,18.944586230532458,0.062,CSP3014
r,53394.22991,19.078604692855315,0.056,CSP3014
r,53398.17012,19.20947937419835,0.027,CSP3014
r,53400.12903,19.262194190264317,0.015,CSP3014
r,53403.15337,19.441042913433634,0.011,CSP3014
r,53406.16067,19.55294918164265,0.013,CSP3014
r,53407.18226,19.361,0.014,CSP3014
r,53408.16589,19.433,0.014,CSP3014
r,53409.16199,19.462,0.012,CSP3014
r,53410.17931,19.524,0.013,CSP3014
r,53411.16352,19.563,0.017,CSP3014
r,53412.15753,19.594,0.02,CSP3014
r,53415.15713,19.684,0.014,CSP3014
r,53416.18189,19.726,0.017,CSP3014
r,53417.1419,19.756,0.016,CSP3014
r,53418.13998,19.81,0.019,CSP3014
r,53419.20565,19.854,0.019,CSP3014
r,53420.14439,19.802,0.096,CSP3014
r,53425.1161,19.964,0.065,CSP3014
r,53426.12329,20.102,0.06,CSP3014
r,53427.11171,20.104,0.045,CSP3014
r,53429.07857,20.186,0.072,CSP3014
r,53432.18089,20.302,0.036,CSP3014
r,53444.07251,20.675,0.032,CSP3014
r,53445.07448,20.755,0.033,CSP3014
r,53446.07116,20.812,0.045,CSP3014
r,53455.06419,21.067,0.143,CSP3014
r,53461.02601,21.356,0.063,CSP3014
B,53352.33138,17.457503371825666,0.008,CSP3014
B,53353.30048,17.387912299839858,0.007,CSP3014
B,53356.32257,17.30688131914386,0.007,CSP3014
B,53357.26423,17.340152559342474,0.008,CSP3014
B,53361.25185,17.61610875396772,0.009,CSP3014
B,53362.25899,17.732570385118677,0.009,CSP3014
B,53363.28045,17.856285011741026,0.012,CSP3014
B,53365.24264,18.106554355620773,0.021,CSP3014
B,53372.24282,19.030830244146873,0.026,CSP3014
B,53373.27954,19.156820588517974,0.029,CSP3014
B,53376.29498,19.46165486212413,0.018,CSP3014
B,53377.22471,19.5060356742123,0.02,CSP3014
B,53380.25499,19.761690310050135,0.031,CSP3014
B,53381.23719,19.85936072243311,0.031,CSP3014
B,53383.25416,19.98972517902525,0.031,CSP3014
B,53385.24569,20.08056549503575,0.022,CSP3014
B,53386.22266,20.103409359867683,0.025,CSP3014
B,53387.23879,20.17255299744445,0.032,CSP3014
B,53388.22415,20.243701306616195,0.04,CSP3014
B,53389.19151,20.253632645152315,0.053,CSP3014
B,53390.18118,20.227964107158193,0.049,CSP3014
B,53391.14211,20.199406899954326,0.072,CSP3014
B,53392.17681,20.1151231661319,0.097,CSP3014
B,53393.22352,20.23999423747788,0.216,CSP3014
B,53394.22991,20.30894946544816,0.161,CSP3014
B,53398.17012,20.303489270086857,0.107,CSP3014
B,53400.12903,20.451087998020522,0.059,CSP3014
B,53403.15337,20.55152398289541,0.031,CSP3014
B,53406.16067,20.603026438911947,0.025,CSP3014
B,53407.18226,20.658,0.05,CSP3014
B,53408.16589,20.699,0.03,CSP3014
B,53409.16199,20.671,0.029,CSP3014
B,53410.17931,20.722,0.031,CSP3014
B,53411.16352,20.78,0.047,CSP3014
B,53412.15753,20.669,0.052,CSP3014
B,53415.15713,20.787,0.027,CSP3014
B,53416.18189,20.844,0.029,CSP3014
B,53417.1419,20.817,0.038,CSP3014
B,53418.13998,20.8,0.047,CSP3014
B,53419.20565,20.811,0.049,CSP3014
B,53421.18429,20.727,0.202,CSP3014
B,53426.12329,20.867,0.153,CSP3014
B,53427.11171,21.136,0.201,CSP3014
B,53429.07857,20.959,0.067,CSP3014
B,53432.18089,21.161,0.081,CSP3014
B,53444.07251,21.316,0.045,CSP3014
B,53445.07448,21.267,0.043,CSP3014
B,53446.07116,21.258,0.063,CSP3014
B,53455.06419,21.523,0.317,CSP3014
i,53352.33138,17.4698717669475,0.02,CSP3014
i,53353.30048,17.45272552992582,0.009,CSP3014
i,53356.32257,17.46033720540916,0.01,CSP3014
i,53357.26423,17.47002793772627,0.01,CSP3014
i,53361.25185,17.63651782970883,0.013,CSP3014
i,53362.25899,17.704317108470956,0.014,CSP3014
i,53363.28045,17.795090733080134,0.015,CSP3014
i,53365.24264,17.77084311493129,0.017,CSP3014
i,53372.24282,17.730131807389128,0.013,CSP3014
i,53373.27954,17.733887689992944,0.014,CSP3014
i,53376.29498,17.768871141144295,0.014,CSP3014
i,53377.22471,17.777530411977725,0.014,CSP3014
i,53380.25499,18.033675310750237,0.036,CSP3014
i,53381.23719,18.035019828864655,0.13,CSP3014
i,53383.25416,18.289231347588196,0.048,CSP3014
i,53384.20618,18.391563320031153,0.022,CSP3014
i,53385.24569,18.45922435186158,0.018,CSP3014
i,53386.22266,18.544687509204806,0.019,CSP3014
i,53387.23879,18.631382860924322,0.032,CSP3014
i,53388.22415,18.612709421862476,0.027,CSP3014
i,53389.19151,18.704919346507907,0.031,CSP3014
i,53390.18118,18.834260148109777,0.036,CSP3014
i,53391.14211,18.884002459341886,0.036,CSP3014
i,53392.17681,18.923187850388242,0.051,CSP3014
i,53398.17012,19.24462519394043,0.036,CSP3014
i,53400.12903,19.373041029945725,0.03,CSP3014
i,53403.15337,19.517858996082197,0.018,CSP3014
i,53406.16067,19.678639413371883,0.02,CSP3014
i,53407.18226,19.632,0.021,CSP3014
i,53408.16589,19.674,0.024,CSP3014
i,53409.16199,19.687,0.022,CSP3014
i,53410.17931,19.734,0.026,CSP3014
i,53411.16352,19.779,0.033,CSP3014
i,53412.15753,19.876,0.032,CSP3014
i,53415.15713,19.894,0.022,CSP3014
i,53416.18189,19.996,0.034,CSP3014
i,53417.1419,19.981,0.026,CSP3014
i,53418.13998,20.021,0.035,CSP3014
i,53419.20565,20.008,0.045,CSP3014
i,53420.14439,20.105,0.047,CSP3014
i,53424.13347,20.228,0.121,CSP3014
i,53425.1161,20.252,0.116,CSP3014
i,53426.12329,20.286,0.066,CSP3014
i,53427.11171,20.419,0.079,CSP3014
i,53432.18089,20.457,0.073,CSP3014
i,53444.07251,20.971,0.063,CSP3014
i,53445.07448,20.884,0.06,CSP3014
i,53446.07116,21.051,0.086,CSP3014
i,53455.06419,21.125,0.151,CSP3014
i,53461.02601,21.376,0.093,CSP3014
