Filter,MJD,Mag,Sigma
i,53376.13185,17.2140694455,0.01
i,53377.09801,17.2426849889,0.01
i,53380.08347,17.2488021772,0.013
i,53381.07493,17.2867077391,0.011
i,53383.11942,17.3215881722,0.013
i,53385.04469,17.3954061481,0.01
i,53386.08199,17.4356006213,0.013
i,53387.08538,17.5328963852,0.013
i,53389.02928,17.6923750037,0.017
i,53390.02832,17.7333802428,0.012
i,53391.10361,17.7518089689,0.015
i,53396.03188,17.6215939427,0.012
i,53397.02992,17.5897739899,0.01
i,53398.0519,17.5767194056,0.011
i,53399.06576,17.5351296423,0.011
i,53400.08361,17.507711304,0.011
i,53404.07448,17.4221886679,0.01
i,53406.08539,17.4412114452,0.011
i,53407.05149,17.4968898407,0.011
i,53408.06299,17.5650387352,0.012
i,53409.05982,17.6492716016,0.014
i,53410.04194,17.7616475389,0.015
i,53411.06691,17.7884075355,0.014
i,53412.05608,17.9168393095,0.014
i,53413.05549,17.9206206072,0.022
i,53414.06343,18.0277669238,0.015
i,53415.06288,18.0916563293,0.015
i,53416.05979,18.1367701138,0.018
i,53418.03545,18.2232705963,0.02
i,53420.0513,18.2571544034,0.019
i,53421.02942,18.4200323337,0.046
i,53425.05069,18.5455216684,0.03
i,53427.05339,18.6324370902,0.035
i,53429.03409,18.6673264233,0.023
i,53432.00493,18.7883253144,0.018
r,53376.13185,16.9718590121,0.009
r,53377.09801,16.9222416708,0.008
r,53380.08347,16.8321125724,0.01
r,53381.07493,16.838457024,0.009
r,53383.11942,16.874265805,0.009
r,53385.04469,16.9216525045,0.007
r,53386.08199,16.9853405848,0.013
r,53387.08538,17.067413382,0.009
r,53389.02928,17.2065844282,0.013
r,53390.02832,17.286951084,0.01
r,53391.10361,17.3267742892,0.01
r,53396.03188,17.4552801722,0.011
r,53397.02992,17.4600615668,0.009
r,53398.0519,17.4530328081,0.012
r,53399.06576,17.4605372136,0.009
r,53400.08361,17.4530182537,0.01
r,53404.07448,17.5754240599,0.009
r,53406.08539,17.7000181457,0.01
r,53407.05149,17.7735365262,0.016
r,53408.06299,17.8472469767,0.012
r,53409.05982,17.9510813621,0.01
r,53410.04194,18.0177001333,0.015
r,53411.06691,18.0736185136,0.013
r,53412.05608,18.1656196691,0.013
r,53413.05549,18.2392138852,0.025
r,53414.06343,18.2657930296,0.015
r,53415.06288,18.2737604033,0.015
r,53416.05979,18.3645057667,0.015
r,53418.03545,18.4511239548,0.012
r,53420.0513,18.5080021676,0.018
r,53421.02942,18.6090416037,0.056
r,53425.05069,18.69691107,0.028
r,53427.05339,18.8667075492,0.045
r,53429.03409,18.8435646338,0.017
r,53432.00493,18.9281197081,0.016
B,53376.13185,18.3812846238,0.013
B,53377.09801,18.3312906263,0.013
B,53380.08347,18.2909061875,0.016
B,53381.07493,18.3131637969,0.014
B,53383.11942,18.3984922831,0.015
B,53385.04469,18.4644359912,0.015
B,53386.08199,18.5216614911,0.015
B,53387.08538,18.5793099285,0.024
B,53389.02928,18.7863292526,0.025
B,53390.02832,18.863178276,0.03
B,53391.10361,18.9402559538,0.037
B,53394.05488,19.3369418027,0.052
B,53396.03188,19.5739325961,0.05
B,53397.02992,19.6868166566,0.051
B,53398.0519,19.6372477318,0.046
B,53399.06576,19.7739418707,0.032
B,53400.08361,19.7766042538,0.032
B,53404.07448,20.1465034757,0.028
B,53406.08539,20.2166236214,0.051
B,53408.06299,20.4934990295,0.046
B,53409.05982,20.5584175404,0.056
B,53410.04194,20.587421861,0.038
V,53376.13185,17.3953027885,0.01
V,53377.09801,17.3130096246,0.01
V,53380.08347,17.2600276002,0.011
V,53381.07493,17.2257770741,0.011
V,53383.11942,17.2315880436,0.009
V,53385.04469,17.2746587612,0.009
V,53386.08199,17.345819894,0.012
V,53387.08538,17.3927121269,0.013
V,53389.02928,17.4942399709,0.015
V,53390.02832,17.5434596435,0.017
V,53391.10361,17.6379267916,0.018
V,53396.03188,17.932483443,0.016
V,53397.02992,18.0016910056,0.016
V,53398.0519,18.0233562273,0.019
V,53399.06576,18.0769099477,0.014
V,53400.08361,18.125645924,0.017
V,53404.07448,18.2845476057,0.016
V,53406.08539,18.4598051434,0.02
V,53407.05149,18.5294814963,0.02
V,53408.06299,18.6260860418,0.02
V,53409.05982,18.7027950783,0.022
V,53410.04194,18.75732484,0.018
V,53411.06691,18.809370125,0.033
V,53412.05608,18.885425244,0.026
V,53414.06343,18.975432461,0.026
V,53415.06288,18.9142656468,0.023
V,53416.05979,19.0893062276,0.03
V,53418.03545,19.1672140631,0.059
V,53420.0513,19.2869556906,0.07
V,53429.03409,19.5113558404,0.029
V,53432.00493,19.5079541582,0.084
