Filter,MJD,Mag,Sigma,Code
V,53397.20395,16.53520175322895,0.008,CSP3014
V,53398.20613,16.389811878150866,0.008,CSP3014
V,53399.18601,16.304270603302008,0.007,CSP3014
V,53400.19425,16.22947549501218,0.006,CSP3014
V,53401.1772,16.177722760373705,0.006,CSP3014
V,53402.17183,16.125840150186015,0.006,CSP3014
V,53403.2172,16.081409388649032,0.006,CSP3014
V,53404.20995,16.057354793426178,0.007,CSP3014
V,53406.2174,16.020331377100575,0.009,CSP3014
V,53407.2611,16.039527507364998,0.009,CSP3014
V,53408.22223,16.04340918559562,0.009,CSP3014
V,53409.22179,16.046458376429577,0.008,CSP3014
V,53410.23745,16.051724023711376,0.008,CSP3014
V,53411.22331,16.067541126903883,0.008,CSP3014
V,53412.21214,16.07975328841981,0.009,CSP3014
V,53413.16822,16.123308267030048,0.009,CSP3014
V,53414.16681,16.15264238234024,0.009,CSP3014
V,53415.22145,16.185704764000928,0.009,CSP3014
V,53416.15224,16.2325765291284,0.009,CSP3014
V,53417.20348,16.26362175598748,0.009,CSP3014
V,53418.16875,16.31526865655409,0.009,CSP3014
V,53419.168,16.373307996510558,0.009,CSP3014
V,53420.23524,16.420357258810334,0.01,CSP3014
V,53421.20756,16.48461656057656,0.012,CSP3014
V,53422.13321,16.521702475183154,0.023,CSP3014
V,53424.16627,16.58583237738123,0.034,CSP3014
V,53425.15898,16.686566960427374,0.025,CSP3014
V,53426.16586,16.74550172752807,0.016,CSP3014
V,53427.16553,16.808153553180322,0.016,CSP3014
V,53428.12107,16.815643130051335,0.013,CSP3014
V,53429.13702,16.832501376265633,0.015,CSP3014
V,53430.03877,16.908080110399943,0.014,CSP3014
V,53431.10669,16.94816537469122,0.012,CSP3014
V,53432.14045,17.003381358639047,0.013,CSP3014
V,53436.14998,17.203647348545836,0.012,CSP3014
V,53438.13691,17.30505615810486,0.012,CSP3014
V,53444.15519,17.65205031799006,0.013,CSP3014
V,53445.153,17.708472051914267,0.013,CSP3014
V,53446.15492,17.7592880607197,0.013,CSP3014
V,53453.06684,18.03518758189553,0.028,CSP3014
V,53454.09393,18.061139609643906,0.027,CSP3014
V,53455.0648,18.065637263864524,0.029,CSP3014
V,53456.079,18.1145433855055,0.025,CSP3014
V,53457.08022,18.194239216008405,0.022,CSP3014
V,53458.06476,18.169441996491358,0.02,CSP3014
V,53459.05536,18.219317754785166,0.016,CSP3014
V,53460.05286,18.23100626992468,0.015,CSP3014
V,53464.0396,18.33701662032422,0.015,CSP3014
V,53465.0998,18.364728745317144,0.014,CSP3014
V,53466.09357,18.384400803967853,0.017,CSP3014
V,53472.03855,18.52946412778024,0.014,CSP3014
V,53474.01907,18.56355350542704,0.016,CSP3014
V,53476.00605,18.634933426598934,0.021,CSP3014
V,53478.04325,18.62876176575906,0.027,CSP3014
V,53479.03903,18.70837310414506,0.045,CSP3014
V,53479.99685,18.754379540747173,0.03,CSP3014
r,53397.20395,16.6000075075929,0.008,CSP3014
r,53398.20613,16.528348050208052,0.006,CSP3014
r,53399.18601,16.42498316149218,0.009,CSP3014
r,53400.19425,16.37169870995106,0.004,CSP3014
r,53401.1772,16.306154042085517,0.004,CSP3014
r,53402.17183,16.284387070552732,0.004,CSP3014
r,53403.2172,16.26369125976249,0.006,CSP3014
r,53404.20995,16.23521840897813,0.006,CSP3014
r,53406.2174,16.2242376397134,0.008,CSP3014
r,53407.2611,16.214640149770663,0.008,CSP3014
r,53408.22223,16.20956524164432,0.008,CSP3014
r,53409.22179,16.22590137671546,0.007,CSP3014
r,53410.23745,16.214509781996007,0.006,CSP3014
r,53411.22331,16.242795290999837,0.008,CSP3014
r,53412.21214,16.267552652557324,0.007,CSP3014
r,53413.16822,16.303806453865057,0.009,CSP3014
r,53414.16681,16.34077824935845,0.007,CSP3014
r,53415.22145,16.401075677503457,0.009,CSP3014
r,53416.15224,16.448675666773024,0.007,CSP3014
r,53417.20348,16.513560662383362,0.008,CSP3014
r,53418.16875,16.564056608789212,0.008,CSP3014
r,53419.168,16.633934546631956,0.008,CSP3014
r,53420.23524,16.677550660483334,0.009,CSP3014
r,53421.20756,16.743559679403788,0.01,CSP3014
r,53422.13321,16.764105124358743,0.011,CSP3014
r,53424.16627,16.764323106622484,0.029,CSP3014
r,53425.15898,16.807151319906456,0.017,CSP3014
r,53426.16586,16.823495290006235,0.012,CSP3014
r,53427.16553,16.84719547211266,0.011,CSP3014
r,53428.12107,16.861850609147236,0.012,CSP3014
r,53429.13702,16.882010837572082,0.009,CSP3014
r,53430.03877,16.899845969489768,0.009,CSP3014
r,53431.10669,16.93449988627927,0.009,CSP3014
r,53432.14045,16.94105572679139,0.01,CSP3014
r,53436.14998,17.051492685309377,0.008,CSP3014
r,53438.13691,17.103774019016996,0.009,CSP3014
r,53444.15519,17.4528318374879,0.009,CSP3014
r,53445.153,17.496552689469404,0.009,CSP3014
r,53446.15492,17.590205930751885,0.01,CSP3014
r,53453.06684,17.93139603740783,0.021,CSP3014
r,53454.09393,17.93088694295008,0.017,CSP3014
r,53455.0648,17.955356057195047,0.016,CSP3014
r,53456.079,18.01127794380547,0.014,CSP3014
r,53457.08022,18.036241391798306,0.012,CSP3014
r,53458.06476,18.07578958803081,0.012,CSP3014
r,53459.05536,18.108536330644732,0.012,CSP3014
r,53460.05286,18.143646935009507,0.012,CSP3014
r,53464.0396,18.254898370191917,0.011,CSP3014
r,53465.0998,18.275614617871767,0.011,CSP3014
r,53466.09357,18.31121426300961,0.011,CSP3014
r,53472.03855,18.47547559147067,0.009,CSP3014
r,53474.01907,18.537655541619458,0.01,CSP3014
r,53476.00605,18.58830785717238,0.016,CSP3014
r,53478.04325,18.664778600087864,0.017,CSP3014
r,53479.03903,18.70196007148974,0.035,CSP3014
r,53479.99685,18.679928076974875,0.021,CSP3014
B,53397.20395,16.533152506250183,0.013,CSP3014
B,53398.20613,16.41552117054492,0.009,CSP3014
B,53399.18601,16.30671412317474,0.008,CSP3014
B,53400.19425,16.23177244798253,0.006,CSP3014
B,53401.1772,16.18078431790079,0.006,CSP3014
B,53402.17183,16.137811951684718,0.008,CSP3014
B,53403.2172,16.08678651301242,0.007,CSP3014
B,53404.20995,16.07437989452854,0.007,CSP3014
B,53406.2174,16.06241398772957,0.009,CSP3014
B,53407.2611,16.08928080786957,0.008,CSP3014
B,53408.22223,16.107889972178036,0.009,CSP3014
B,53409.22179,16.13919299509365,0.008,CSP3014
B,53410.23745,16.17865340921232,0.009,CSP3014
B,53411.22331,16.219958619327322,0.008,CSP3014
B,53412.21214,16.28483373698917,0.008,CSP3014
B,53413.16822,16.31300298189481,0.009,CSP3014
B,53414.16681,16.372360920291392,0.009,CSP3014
B,53415.22145,16.44926145391588,0.009,CSP3014
B,53416.15224,16.5180651434059,0.009,CSP3014
B,53417.20348,16.606510780031158,0.01,CSP3014
B,53418.16875,16.683868033430535,0.009,CSP3014
B,53419.168,16.7715100561719,0.01,CSP3014
B,53420.23524,16.89838345958695,0.011,CSP3014
B,53421.20756,17.017791806176856,0.015,CSP3014
B,53422.13321,17.082321616626658,0.028,CSP3014
B,53424.16627,17.312485734545874,0.052,CSP3014
B,53426.16586,17.4630623735931,0.024,CSP3014
B,53427.16553,17.51460490912337,0.022,CSP3014
B,53428.12107,17.636716890551405,0.024,CSP3014
B,53429.13702,17.709286602124596,0.028,CSP3014
B,53430.03877,17.790650724598848,0.021,CSP3014
B,53431.10669,17.86896863744073,0.02,CSP3014
B,53432.14045,17.982021661786533,0.011,CSP3014
B,53436.14998,18.253767988449862,0.014,CSP3014
B,53438.13691,18.387745157873933,0.017,CSP3014
B,53444.15519,18.731201194440715,0.02,CSP3014
B,53445.153,18.752911961803967,0.019,CSP3014
B,53446.15492,18.809590339005503,0.022,CSP3014
B,53453.06684,19.07084214222793,0.063,CSP3014
B,53454.09393,19.056657722060365,0.052,CSP3014
B,53455.0648,19.09479972975708,0.055,CSP3014
B,53456.079,19.1487184132959,0.045,CSP3014
B,53457.08022,19.203868567264557,0.036,CSP3014
B,53458.06476,19.14742670109107,0.03,CSP3014
B,53459.05536,19.1772663896092,0.025,CSP3014
B,53460.05286,19.212283088381902,0.016,CSP3014
B,53464.0396,19.276052960557315,0.019,CSP3014
B,53465.0998,19.27458578560484,0.019,CSP3014
B,53466.09357,19.33597849527559,0.021,CSP3014
B,53472.03855,19.392287680886483,0.017,CSP3014
B,53474.01907,19.468170380946127,0.022,CSP3014
B,53476.00605,19.398225538468118,0.03,CSP3014
B,53478.04325,19.466713631492837,0.035,CSP3014
B,53479.03903,19.472098444501245,0.052,CSP3014
B,53479.99685,19.4913786190658,0.04,CSP3014
i,53397.20395,16.88219071268852,0.03,CSP3014
i,53398.20613,16.79129215497438,0.007,CSP3014
i,53399.18601,16.706340525020366,0.009,CSP3014
i,53400.19425,16.65574204999151,0.006,CSP3014
i,53401.1772,16.587667148971008,0.007,CSP3014
i,53402.17183,16.575590921219078,0.007,CSP3014
i,53403.2172,16.573087457352642,0.004,CSP3014
i,53404.20995,16.586181366334436,0.008,CSP3014
i,53406.2174,16.651535386617617,0.009,CSP3014
i,53407.2611,16.68024465634698,0.01,CSP3014
i,53408.22223,16.725001034368702,0.011,CSP3014
i,53409.22179,16.760620833543427,0.01,CSP3014
i,53410.23745,16.793232883985592,0.01,CSP3014
i,53411.22331,16.84634680566682,0.011,CSP3014
i,53412.21214,16.862735158293933,0.015,CSP3014
i,53413.16822,16.865515166821247,0.012,CSP3014
i,53414.16681,16.926690623223045,0.012,CSP3014
i,53415.22145,16.94835499046699,0.012,CSP3014
i,53416.15224,17.033083765003347,0.012,CSP3014
i,53417.20348,17.07383367480334,0.012,CSP3014
i,53418.16875,17.09940558174353,0.013,CSP3014
i,53419.168,17.1384935086908,0.011,CSP3014
i,53420.23524,17.165039221925305,0.014,CSP3014
i,53421.20756,17.142918814421627,0.02,CSP3014
i,53422.13321,17.178118214434583,0.029,CSP3014
i,53424.16627,17.19540351785922,0.072,CSP3014
i,53425.15898,17.133204932718872,0.035,CSP3014
i,53426.16586,17.10585092783242,0.019,CSP3014
i,53427.16553,17.06828015560329,0.017,CSP3014
i,53428.12107,17.094868490320835,0.016,CSP3014
i,53429.13702,17.104926356712397,0.013,CSP3014
i,53430.03877,17.056936737069606,0.013,CSP3014
i,53431.10669,17.042657833588535,0.015,CSP3014
i,53432.14045,17.068055772993542,0.015,CSP3014
i,53436.14998,17.087420361478735,0.012,CSP3014
i,53438.13691,17.07989351268892,0.012,CSP3014
i,53444.15519,17.31881480785655,0.012,CSP3014
i,53445.153,17.381696885076558,0.012,CSP3014
i,53446.15492,17.444447262922736,0.013,CSP3014
i,53453.06684,17.896750523005355,0.029,CSP3014
i,53454.09393,17.905363295289444,0.019,CSP3014
i,53455.0648,17.983940370882525,0.021,CSP3014
i,53456.079,18.00150967922786,0.02,CSP3014
i,53457.08022,18.048634044671118,0.017,CSP3014
i,53458.06476,18.1169253449268,0.017,CSP3014
