Filter,MJD,Mag,Sigma,Code
V,53429.24553,15.117755678010363,0.006,CSP3014
V,53430.28633,15.104274598349694,0.007,CSP3014
V,53431.3124,15.103380816979662,0.007,CSP3014
V,53432.29869,15.109399279930322,0.007,CSP3014
V,53436.28381,15.233105256438654,0.004,CSP3014
V,53444.30596,15.732113464442772,0.008,CSP3014
V,53445.30799,15.797727981541113,0.008,CSP3014
V,53446.31602,15.83972657675357,0.007,CSP3014
V,53452.25518,16.14777840215713,0.009,CSP3014
V,53453.19335,16.216425353406997,0.009,CSP3014
V,53454.23798,16.29356188864442,0.009,CSP3014
V,53455.2798,16.411916658575407,0.011,CSP3014
V,53456.28346,16.472735736363397,0.009,CSP3014
V,53457.25736,16.56856599750311,0.011,CSP3014
V,53458.25329,16.62927755574451,0.011,CSP3014
V,53459.2828,16.71226578899087,0.01,CSP3014
V,53460.21603,16.794200609158114,0.01,CSP3014
V,53461.18788,16.874391641729545,0.011,CSP3014
V,53464.29258,17.03697124112957,0.011,CSP3014
V,53465.28974,17.072691130925946,0.01,CSP3014
V,53466.29789,17.104954043282817,0.01,CSP3014
V,53467.27454,17.120833635724864,0.01,CSP3014
V,53468.24052,17.164483684537196,0.009,CSP3014
V,53473.20022,17.340108865506185,0.009,CSP3014
V,53474.32696,17.39250287741342,0.011,CSP3014
V,53475.21155,17.434574404448846,0.01,CSP3014
V,53476.3056,17.448633631711125,0.011,CSP3014
V,53477.33839,17.489335226857577,0.011,CSP3014
V,53478.25943,17.524690623744995,0.012,CSP3014
V,53479.23318,17.5491149895423,0.014,CSP3014
V,53480.23751,17.569763144908215,0.014,CSP3014
V,53483.23172,17.584908325908472,0.037,CSP3014
V,53490.21504,17.836499259195353,0.013,CSP3014
V,53491.21922,17.87054812046948,0.014,CSP3014
V,53512.27496,18.383,0.033,CSP3014
r,53429.24553,15.261204004217399,0.012,CSP3014
r,53430.28633,15.229484050770834,0.008,CSP3014
r,53431.3124,15.244795303314765,0.007,CSP3014
r,53432.29869,15.235360596770464,0.007,CSP3014
r,53436.28381,15.41962808177372,0.005,CSP3014
r,53444.30596,16.0172098849915,0.009,CSP3014
r,53445.30799,16.035333873418843,0.01,CSP3014
r,53446.31602,16.060846391464544,0.008,CSP3014
r,53452.25518,16.09407030987966,0.009,CSP3014
r,53453.19335,16.138692132554173,0.008,CSP3014
r,53454.23798,16.185621314034684,0.008,CSP3014
r,53455.2798,16.26343213512644,0.008,CSP3014
r,53456.28346,16.32523989140863,0.009,CSP3014
r,53457.25736,16.402245323937663,0.009,CSP3014
r,53458.25329,16.49990398822142,0.01,CSP3014
r,53459.2828,16.57164978706743,0.009,CSP3014
r,53460.21603,16.630955512887972,0.009,CSP3014
r,53461.18788,16.702269356954798,0.01,CSP3014
r,53464.29258,16.901210642815343,0.009,CSP3014
r,53465.28974,16.959158067731764,0.009,CSP3014
r,53466.29789,16.984024215004766,0.009,CSP3014
r,53467.27454,17.025887260474573,0.008,CSP3014
r,53468.24052,17.112387824311032,0.011,CSP3014
r,53473.20022,17.292564023424617,0.008,CSP3014
r,53474.32696,17.299863471124254,0.007,CSP3014
r,53475.21155,17.379885537366217,0.008,CSP3014
r,53476.3056,17.417970009770208,0.009,CSP3014
r,53477.33839,17.45153421471032,0.008,CSP3014
r,53478.25943,17.48400506434251,0.009,CSP3014
r,53479.23318,17.5200763931875,0.012,CSP3014
r,53480.23751,17.545283463759915,0.012,CSP3014
r,53483.23172,17.651843207026893,0.013,CSP3014
r,53490.21504,17.908407162591885,0.01,CSP3014
r,53491.21922,17.938083439026983,0.013,CSP3014
r,53512.27496,18.416,0.035,CSP3014
B,53429.24553,15.111644749568013,0.006,CSP3014
B,53430.28633,15.10734399356523,0.006,CSP3014
B,53431.3124,15.121663250422802,0.006,CSP3014
B,53432.29869,15.154566802678142,0.007,CSP3014
B,53436.28381,15.382279370098793,0.004,CSP3014
B,53444.30596,16.206179569991342,0.01,CSP3014
B,53445.30799,16.33561975142232,0.008,CSP3014
B,53446.31602,16.45194473972205,0.006,CSP3014
B,53452.25518,17.134092818614974,0.01,CSP3014
B,53453.19335,17.23030689963319,0.009,CSP3014
B,53454.23798,17.358033393872212,0.015,CSP3014
B,53455.2798,17.44328557974823,0.019,CSP3014
B,53456.28346,17.52776565575048,0.014,CSP3014
B,53457.25736,17.594422440139752,0.015,CSP3014
B,53458.25329,17.714340347382382,0.014,CSP3014
B,53459.2828,17.775439228744684,0.014,CSP3014
B,53460.21603,17.84137335328708,0.014,CSP3014
B,53461.18788,17.88630804949354,0.014,CSP3014
B,53464.29258,18.045755401317116,0.014,CSP3014
B,53465.28974,18.08924832481555,0.009,CSP3014
B,53466.29789,18.104593689523963,0.009,CSP3014
B,53467.27454,18.14578062906065,0.008,CSP3014
B,53468.24052,18.17105659533242,0.009,CSP3014
B,53473.20022,18.29386454900679,0.008,CSP3014
B,53474.32696,18.32673104370569,0.009,CSP3014
B,53475.21155,18.337658798432734,0.009,CSP3014
B,53476.3056,18.363783368508837,0.009,CSP3014
B,53477.33839,18.39013377014853,0.009,CSP3014
B,53478.25943,18.407579688467486,0.009,CSP3014
B,53479.23318,18.43813386747113,0.012,CSP3014
B,53480.23751,18.435653517672367,0.011,CSP3014
