Filter,MJD,Mag,Sigma
i,53432.06039,14.2931216688,0.007
i,53436.11336,14.3117355084,0.003
i,53438.0645,14.3621323686,0.008
i,53444.1312,14.8149493568,0.009
i,53445.13409,14.8663347641,0.011
i,53446.1286,14.9187627374,0.007
i,53451.04935,14.7756225583,0.019
i,53452.06284,14.7767252907,0.012
i,53453.05256,14.7259779436,0.009
i,53454.06818,14.7172998742,0.008
i,53455.00484,14.7002852346,0.007
i,53455.99473,14.6944040342,0.006
i,53458.03303,14.7533030929,0.006
i,53459.16446,14.8400561243,0.006
i,53459.99536,14.9269507772,0.008
i,53464.02355,15.284010883,0.008
i,53465.02317,15.366590972,0.008
i,53466.0172,15.4338369746,0.008
i,53467.12774,15.4880037639,0.006
i,53468.02366,15.5651629564,0.007
i,53471.97755,15.7656662289,0.007
i,53472.97734,15.8206249679,0.007
i,53473.98891,15.8706320387,0.008
i,53474.9809,15.9204068225,0.008
i,53475.97733,15.9722829197,0.014
i,53476.97375,16.014377485,0.013
i,53477.97262,16.0427717803,0.015
i,53478.97013,16.1099838304,0.028
i,53479.97317,16.1440976899,0.009
i,53480.96238,16.168315834,0.01
i,53481.99507,16.2265698112,0.016
i,53483.00229,16.2627008343,0.012
i,53488.98949,16.5145035572,0.01
i,53489.95972,16.5583797191,0.01
i,53490.96245,16.6046300558,0.023
i,53511.95045,17.34,0.018
r,53432.06039,14.0024556974,0.008
r,53436.11336,13.7771901348,0.003
r,53438.0645,13.7447219947,0.005
r,53444.1312,14.0810736202,0.007
r,53445.13409,14.1551107031,0.009
r,53446.1286,14.2422496973,0.006
r,53451.04935,14.4167726096,0.009
r,53452.06284,14.4170027927,0.008
r,53453.05256,14.4294411259,0.007
r,53454.06818,14.4615502867,0.005
r,53455.00484,14.4973004599,0.006
r,53455.99473,14.5408514973,0.005
r,53457.06265,14.6052902063,0.006
r,53458.03303,14.6941265594,0.005
r,53459.16446,14.8073166462,0.006
r,53459.99536,14.899806551,0.007
r,53460.99546,14.9975712868,0.007
r,53464.02355,15.2407625968,0.006
r,53465.02317,15.3098504025,0.006
r,53466.0172,15.3781883648,0.006
r,53467.12774,15.4362304275,0.004
r,53468.02366,15.4814143565,0.007
r,53471.97755,15.6607181608,0.004
r,53472.97734,15.713257874,0.007
r,53473.98891,15.7371889512,0.006
r,53474.9809,15.7751204578,0.007
r,53475.97733,15.8199764309,0.011
r,53476.97375,15.8716630551,0.009
r,53477.97262,15.9005137713,0.012
r,53478.97013,15.9439212968,0.019
r,53479.97317,15.9816698329,0.009
r,53480.96238,16.0224163171,0.008
r,53481.99507,16.0470000946,0.011
r,53483.00229,16.0770673247,0.009
r,53488.98949,16.2872007137,0.009
r,53489.95972,16.3386045762,0.009
r,53490.96245,16.3793752151,0.015
r,53511.95045,17.099,0.013
B,53432.06039,14.0938519442,0.013
B,53436.11336,13.86162734,0.003
B,53438.0645,13.8903901327,0.006
B,53444.1312,14.3466891123,0.008
B,53445.13409,14.4661723477,0.008
B,53446.1286,14.5998157676,0.006
B,53452.06284,15.4291999042,0.011
B,53453.05256,15.5611575324,0.009
B,53454.06818,15.6899059174,0.011
B,53455.00484,15.8490763631,0.012
B,53455.99473,15.934342424,0.01
B,53457.06265,16.0312583909,0.01
B,53458.03303,16.1458810656,0.01
B,53459.16446,16.2712604116,0.011
B,53459.99536,16.3556869961,0.012
B,53460.99546,16.4087240117,0.012
B,53464.02355,16.6479036517,0.012
B,53465.02317,16.709464671,0.013
B,53466.0172,16.7540699706,0.013
B,53467.12774,16.7905235355,0.011
B,53468.02366,16.8332824512,0.012
B,53471.97755,16.9415845499,0.013
B,53472.97734,16.9850224501,0.013
B,53473.98891,16.9902625863,0.012
B,53474.9809,17.0096107929,0.014
B,53475.97733,17.0138925718,0.015
B,53476.97375,17.0572720092,0.014
B,53477.97262,17.0870936561,0.017
B,53478.97013,17.0114216245,0.026
B,53479.97317,17.1069197351,0.018
B,53480.96238,17.1264851874,0.015
B,53481.99507,17.1110040765,0.023
B,53483.00229,17.1623722198,0.017
B,53488.98949,17.2734219641,0.015
B,53489.95972,17.2603779031,0.019
B,53490.96245,17.3106939327,0.025
B,53511.95045,17.529,0.02
V,53432.06039,14.0284090809,0.007
V,53436.11336,13.7756949049,0.002
V,53438.0645,13.7582067061,0.005
V,53444.1312,13.9669043808,0.006
V,53445.13409,14.0368887245,0.006
V,53446.1286,14.1199999139,0.006
V,53452.06284,14.5243298317,0.009
V,53453.05256,14.5952732035,0.006
V,53454.06818,14.6697883178,0.007
V,53455.00484,14.7420167287,0.006
V,53455.99473,14.8128977656,0.007
V,53457.06265,14.8937786399,0.007
V,53458.03303,15.0108006314,0.006
V,53459.16446,15.1287050328,0.006
V,53459.99536,15.2037607188,0.006
V,53460.99546,15.3134707667,0.008
V,53464.02355,15.5307631057,0.008
V,53465.02317,15.6036740482,0.007
V,53466.0172,15.642449012,0.008
V,53467.12774,15.6866462508,0.007
V,53468.02366,15.7336480798,0.007
V,53471.97755,15.8556798167,0.008
V,53472.97734,15.9155358759,0.008
V,53473.98891,15.9581502036,0.008
V,53474.9809,15.9918166957,0.008
V,53475.97733,16.0016452686,0.01
V,53476.97375,16.0544185864,0.01
V,53477.97262,16.0837750007,0.01
V,53478.97013,16.0599723034,0.03
V,53479.97317,16.1572729932,0.011
V,53480.96238,16.167579149,0.01
V,53481.99507,16.2148517867,0.014
V,53483.00229,16.2322436177,0.011
V,53488.98949,16.4056630078,0.01
V,53489.95972,16.4286216444,0.009
V,53490.96245,16.4635074439,0.014
V,53511.95045,17.07,0.016
