Filter,MJD,Mag,Sigma,Code
V,53471.13923,15.933453401961987,0.006,CSP3014
V,53472.14799,15.947745623183675,0.006,CSP3014
V,53473.13338,15.974700075996848,0.007,CSP3014
V,53474.12585,15.969601253728415,0.007,CSP3014
V,53475.16103,16.01104161459662,0.007,CSP3014
V,53476.15131,16.0270764833043,0.009,CSP3014
V,53477.16807,16.11473052625923,0.01,CSP3014
V,53478.19573,16.14591237680724,0.008,CSP3014
V,53480.17941,16.229013899384043,0.009,CSP3014
V,53481.13916,16.327571842585385,0.008,CSP3014
V,53483.15863,16.441696009485206,0.01,CSP3014
V,53484.18339,16.48705709534088,0.011,CSP3014
V,53489.12219,16.711078223292358,0.008,CSP3014
V,53490.13706,16.744455345616693,0.01,CSP3014
V,53491.10688,16.79236190338019,0.012,CSP3014
V,53512.09042,17.907776223279658,0.02,CSP3014
r,53472.14799,16.195971233686073,0.009,CSP3014
r,53473.13338,16.134957822282587,0.006,CSP3014
r,53474.12585,16.189399080886623,0.006,CSP3014
r,53475.16103,16.233685451717008,0.006,CSP3014
r,53476.15131,16.251530670452865,0.009,CSP3014
r,53477.16807,16.399048220539136,0.013,CSP3014
r,53478.19573,16.38135180645134,0.009,CSP3014
r,53480.17941,16.55979635482808,0.009,CSP3014
r,53481.13916,16.686457573225752,0.008,CSP3014
r,53483.15863,16.814330265436233,0.009,CSP3014
r,53484.18339,16.847445279380914,0.018,CSP3014
r,53489.12219,16.960845916946194,0.007,CSP3014
r,53490.13706,16.940970694720203,0.009,CSP3014
r,53491.10688,16.92180186681165,0.011,CSP3014
r,53512.09042,17.832524936501805,0.011,CSP3014
B,53471.13923,16.03638704012839,0.005,CSP3014
B,53472.14799,16.06635691554588,0.006,CSP3014
B,53473.13338,16.09916107581187,0.006,CSP3014
B,53474.12585,16.14495701320731,0.006,CSP3014
B,53475.16103,16.19547803991889,0.006,CSP3014
B,53476.15131,16.241846524536534,0.008,CSP3014
B,53477.16807,16.307799470999257,0.007,CSP3014
B,53478.19573,16.3768803363896,0.007,CSP3014
B,53480.17941,16.533557331547648,0.008,CSP3014
B,53481.13916,16.60752390273593,0.008,CSP3014
B,53483.15863,16.818613779196177,0.008,CSP3014
B,53484.18339,16.916985328405378,0.012,CSP3014
B,53489.12219,17.432049750766367,0.009,CSP3014
B,53490.13706,17.57946547240934,0.009,CSP3014
B,53491.10688,17.630860383247303,0.014,CSP3014
B,53512.09042,18.922602063521964,0.035,CSP3014
i,53472.14799,16.77920732993119,0.013,CSP3014
i,53473.13338,16.806008181459852,0.011,CSP3014
i,53474.12585,16.876293266474843,0.013,CSP3014
i,53475.16103,16.904746456351468,0.012,CSP3014
i,53476.15131,16.89078468428743,0.015,CSP3014
i,53477.16807,17.0107357449956,0.015,CSP3014
i,53478.19573,17.10332883822696,0.014,CSP3014
i,53480.17941,17.154509506400444,0.013,CSP3014
i,53481.13916,17.28491615145392,0.015,CSP3014
i,53483.15863,17.4216831158557,0.016,CSP3014
i,53484.18339,17.46781397909845,0.023,CSP3014
i,53489.12219,17.40330965649358,0.017,CSP3014
i,53490.13706,17.285457772614194,0.015,CSP3014
i,53491.10688,17.231793128222034,0.016,CSP3014
i,53512.09042,17.78041487919809,0.016,CSP3014
