Filter,MJD,Mag,Sigma,Code
V,53478.24189,15.562665554500125,0.012,CSP3014
V,53479.21956,15.559892764076258,0.012,CSP3014
V,53480.22024,15.521656119946314,0.014,CSP3014
V,53481.18402,15.549817998661075,0.011,CSP3014
V,53484.23087,15.632614063716648,0.021,CSP3014
V,53487.22121,15.760427432237247,0.013,CSP3014
V,53489.20818,15.90047352558222,0.01,CSP3014
V,53490.19549,15.970951912879485,0.012,CSP3014
V,53491.1997,16.043869502644007,0.015,CSP3014
V,53512.25308,17.359953733990018,0.062,CSP3014
r,53478.24189,15.585233388912597,0.009,CSP3014
r,53479.21956,15.566651730678501,0.012,CSP3014
r,53480.22024,15.57468103211424,0.012,CSP3014
r,53481.18402,15.564077682849298,0.011,CSP3014
r,53484.23087,15.658337339289774,0.012,CSP3014
r,53489.20818,16.071602082953092,0.009,CSP3014
r,53490.19549,16.12858411025836,0.011,CSP3014
r,53491.1997,16.162488275967167,0.01,CSP3014
r,53512.25308,17.060076788514095,0.023,CSP3014
B,53478.24189,15.875921636234967,0.011,CSP3014
B,53479.21956,15.865986690318417,0.011,CSP3014
B,53480.22024,15.894644913979926,0.01,CSP3014
B,53481.18402,15.942299004184356,0.01,CSP3014
B,53484.23087,16.107195313776142,0.025,CSP3014
B,53489.20818,16.60049099751979,0.01,CSP3014
B,53490.19549,16.718505227502398,0.012,CSP3014
B,53491.1997,16.841626887115048,0.011,CSP3014
B,53512.25308,18.600010025639946,0.143,CSP3014
i,53478.24189,15.831412337321627,0.012,CSP3014
i,53479.21956,15.866178314145117,0.016,CSP3014
i,53480.22024,15.94075829537841,0.015,CSP3014
i,53481.18402,15.976111304567238,0.013,CSP3014
i,53484.23087,16.080949124538936,0.02,CSP3014
i,53489.20818,16.394152348925992,0.01,CSP3014
i,53490.19549,16.435468913053857,0.012,CSP3014
i,53491.1997,16.428739288624143,0.012,CSP3014
i,53512.25308,16.76343156830107,0.019,CSP3014
