Filter,MJD,Mag,Sigma,Code
V,53639.35715,15.83618419577291,0.006,CSP3014
V,53641.35794,15.545256104295612,0.004,CSP3014
V,53644.34709,15.295935004306497,0.006,CSP3014
V,53655.32469,15.5304171086683,0.006,CSP3014
V,53659.27732,15.825891769100473,0.005,CSP3014
V,53663.29794,16.06151917086539,0.005,CSP3014
V,53665.32207,16.171800278575997,0.006,CSP3014
V,53666.28081,16.221994407905463,0.006,CSP3014
V,53669.31177,16.43821001197244,0.004,CSP3014
V,53671.32078,16.585816540807194,0.005,CSP3014
V,53673.30714,16.731788309208163,0.008,CSP3014
V,53675.32776,16.90643739148571,0.01,CSP3014
V,53682.31219,17.252641378568534,0.017,CSP3014
V,53683.3022,17.298514601639955,0.008,CSP3014
V,53687.26951,17.428474251866486,0.013,CSP3014
V,53689.29744,17.48871088044858,0.016,CSP3014
V,53690.31944,17.52541912852918,0.017,CSP3014
V,53694.31434,17.666040719832374,0.016,CSP3014
V,53698.2601,17.7837985734011,0.01,CSP3014
V,53699.25381,17.79651990516028,0.011,CSP3014
V,53702.24843,17.88707498584429,0.011,CSP3014
V,53712.22774,18.201824455863964,0.013,CSP3014
V,53721.20316,18.475,0.03,CSP3014
V,53730.24008,18.755,0.019,CSP3014
r,53639.35715,15.882089435806305,0.007,CSP3014
r,53641.35794,15.585968162128143,0.004,CSP3014
r,53644.34709,15.408066692477508,0.007,CSP3014
r,53655.32469,15.83406205541436,0.007,CSP3014
r,53659.27732,16.12600686271817,0.005,CSP3014
r,53663.29794,16.19255305210298,0.005,CSP3014
r,53665.32207,16.19278210409474,0.006,CSP3014
r,53666.28081,16.209017443192053,0.006,CSP3014
r,53669.31177,16.310501011698573,0.005,CSP3014
r,53671.32078,16.42770337687113,0.006,CSP3014
r,53673.30714,16.581050364187874,0.008,CSP3014
r,53675.32776,16.723294850325782,0.01,CSP3014
r,53682.31219,17.1759529020497,0.013,CSP3014
r,53683.3022,17.221091382875954,0.007,CSP3014
r,53687.26951,17.414503692705956,0.011,CSP3014
r,53689.29744,17.458661463421976,0.013,CSP3014
r,53690.31944,17.511375601714132,0.013,CSP3014
r,53694.31434,17.67132017088975,0.013,CSP3014
r,53698.2601,17.798582163818743,0.009,CSP3014
r,53699.25381,17.8388950097058,0.011,CSP3014
r,53702.24843,17.95999558140727,0.011,CSP3014
r,53712.22774,18.29889198344248,0.012,CSP3014
r,53721.20316,18.49,0.022,CSP3014
r,53730.24008,18.812,0.017,CSP3014
B,53639.35715,15.909486625325247,0.006,CSP3014
B,53641.35794,15.613303804259695,0.006,CSP3014
B,53644.34709,15.357489095260586,0.006,CSP3014
B,53655.32469,15.816356587686139,0.006,CSP3014
B,53659.27732,16.28733165942589,0.007,CSP3014
B,53663.29794,16.804863212909858,0.005,CSP3014
B,53665.32207,17.058796426490048,0.009,CSP3014
B,53666.28081,17.16048082786983,0.009,CSP3014
B,53669.31177,17.52438676371898,0.009,CSP3014
B,53671.32078,17.72403918029715,0.009,CSP3014
B,53673.30714,17.871682568160963,0.009,CSP3014
B,53675.32776,17.991016656320035,0.012,CSP3014
B,53682.31219,18.314819453676435,0.02,CSP3014
B,53683.3022,18.363803119472372,0.011,CSP3014
B,53687.26951,18.46439163485645,0.024,CSP3014
B,53689.29744,18.500604579748334,0.032,CSP3014
B,53690.31944,18.583352856187922,0.042,CSP3014
B,53694.31434,18.624884605063343,0.027,CSP3014
B,53698.2601,18.696653311867493,0.022,CSP3014
B,53699.25381,18.71175872754705,0.018,CSP3014
B,53702.24843,18.813733445719944,0.018,CSP3014
B,53712.22774,18.939024563812477,0.02,CSP3014
B,53721.20316,19.086,0.056,CSP3014
B,53730.24008,19.213,0.025,CSP3014
i,53639.35715,16.082545143141942,0.006,CSP3014
i,53641.35794,15.780854674403844,0.004,CSP3014
i,53644.34709,15.685068953903317,0.008,CSP3014
i,53650.39583,15.939781971520034,0.005,CSP3014
i,53655.32469,16.435450811572068,0.009,CSP3014
i,53659.27732,16.530620136293493,0.006,CSP3014
i,53663.29794,16.375313857700093,0.007,CSP3014
i,53665.32207,16.2634711255551,0.008,CSP3014
i,53666.28081,16.21966568089273,0.008,CSP3014
i,53669.31177,16.206506485279753,0.005,CSP3014
i,53671.32078,16.271620073924783,0.007,CSP3014
i,53673.30714,16.40825549528649,0.01,CSP3014
i,53675.32776,16.57186338324346,0.012,CSP3014
i,53682.31219,17.052344346134916,0.012,CSP3014
i,53683.3022,17.096201016179997,0.009,CSP3014
i,53687.26951,17.303316312993434,0.012,CSP3014
i,53689.29744,17.40445961741935,0.014,CSP3014
i,53690.31944,17.483808426232684,0.015,CSP3014
i,53694.31434,17.708396539911007,0.016,CSP3014
i,53698.2601,17.91852280971848,0.014,CSP3014
i,53699.25381,17.962018859715407,0.014,CSP3014
i,53702.24843,18.09531773248345,0.013,CSP3014
i,53712.22774,18.55342886707386,0.015,CSP3014
i,53721.20316,18.843,0.031,CSP3014
i,53730.24008,19.154,0.029,CSP3014
