Filter,MJD,Mag,Sigma,Code
V,53650.28575,16.574979548234737,0.006,CSP3014
V,53655.26485,16.493255493678415,0.008,CSP3014
V,53658.2,16.506643876314833,0.008,CSP3014
V,53659.17348,16.522960766245873,0.009,CSP3014
V,53662.25181,16.58522224850067,0.011,CSP3014
V,53663.22112,16.639733792130897,0.009,CSP3014
V,53665.19651,16.730685117569585,0.008,CSP3014
V,53666.25211,16.764018380250267,0.008,CSP3014
V,53669.21862,16.92002130304148,0.007,CSP3014
V,53671.26109,17.038994946105696,0.009,CSP3014
V,53673.26505,17.117082538312737,0.01,CSP3014
V,53675.22876,17.197264894756703,0.013,CSP3014
V,53682.27586,17.51267722482052,0.042,CSP3014
V,53683.22557,17.548004433362877,0.012,CSP3014
V,53687.24087,17.725819453841748,0.018,CSP3014
V,53694.21653,18.135569516784503,0.016,CSP3014
V,53698.16075,18.314412559363692,0.016,CSP3014
V,53699.19015,18.374588637272566,0.018,CSP3014
V,53707.24095,18.651259170615134,0.021,CSP3014
V,53712.16484,18.76545135342043,0.019,CSP3014
V,53721.12859,18.97669990967139,0.038,CSP3014
V,53726.18178,19.196568912549015,0.028,CSP3014
V,53730.18558,19.261,0.027,CSP3014
V,53737.1494,19.457,0.031,CSP3014
V,53741.1163,19.524,0.03,CSP3014
V,53746.13911,19.679,0.055,CSP3014
V,53751.15038,19.664,0.071,CSP3014
r,53650.28575,16.684708162422194,0.006,CSP3014
r,53655.26485,16.589938838073195,0.007,CSP3014
r,53658.2,16.62879611871601,0.007,CSP3014
r,53659.17348,16.65574795138688,0.007,CSP3014
r,53662.25181,16.777464398406362,0.008,CSP3014
r,53663.22112,16.833535625001613,0.009,CSP3014
r,53665.19651,16.957700280069993,0.008,CSP3014
r,53666.25211,17.022083065429108,0.009,CSP3014
r,53669.21862,17.20696493244064,0.007,CSP3014
r,53671.26109,17.26692543337589,0.008,CSP3014
r,53673.26505,17.313424647091786,0.009,CSP3014
r,53675.22876,17.334983559173253,0.01,CSP3014
r,53682.27586,17.4334092270913,0.014,CSP3014
r,53683.22557,17.43553524194798,0.01,CSP3014
r,53687.24087,17.521787696370975,0.012,CSP3014
r,53694.21653,17.95905440827739,0.015,CSP3014
r,53698.16075,18.16601982583686,0.01,CSP3014
r,53699.19015,18.23647530049486,0.014,CSP3014
r,53707.24095,18.524259132368886,0.018,CSP3014
r,53712.16484,18.66121171993745,0.013,CSP3014
r,53721.12859,18.942464163257867,0.023,CSP3014
r,53726.18178,19.071354107280285,0.019,CSP3014
r,53730.18558,19.062,0.022,CSP3014
r,53737.1494,19.192,0.02,CSP3014
r,53741.1163,19.345,0.019,CSP3014
r,53746.13911,19.459,0.031,CSP3014
r,53751.15038,19.665,0.057,CSP3014
B,53650.28575,16.663002671464596,0.008,CSP3014
B,53655.26485,16.631248231420873,0.009,CSP3014
B,53658.2,16.700214695199396,0.01,CSP3014
B,53659.17348,16.72724786634214,0.009,CSP3014
B,53662.25181,16.841776793827282,0.009,CSP3014
B,53663.22112,16.909715086720574,0.009,CSP3014
B,53665.19651,17.038142734461474,0.008,CSP3014
B,53666.25211,17.113945688887274,0.007,CSP3014
B,53669.21862,17.383452621938254,0.008,CSP3014
B,53671.26109,17.575898416730947,0.011,CSP3014
B,53673.26505,17.789855801819357,0.011,CSP3014
B,53675.22876,17.99094888698378,0.013,CSP3014
B,53682.27586,18.610587522979166,0.039,CSP3014
B,53683.22557,18.668854492963284,0.017,CSP3014
B,53687.24087,18.875679042482567,0.025,CSP3014
B,53694.21653,19.312169226509887,0.03,CSP3014
B,53698.16075,19.463272010608875,0.023,CSP3014
B,53699.19015,19.492292107328282,0.029,CSP3014
B,53707.24095,19.69724235356005,0.031,CSP3014
B,53712.16484,19.72067733773156,0.031,CSP3014
B,53721.12859,19.768097920239956,0.07,CSP3014
B,53726.18178,19.83381133272036,0.057,CSP3014
B,53730.18558,19.987,0.031,CSP3014
B,53737.1494,20.095,0.043,CSP3014
B,53741.1163,20.105,0.054,CSP3014
B,53746.13911,20.102,0.076,CSP3014
B,53751.15038,20.109,0.096,CSP3014
i,53650.28575,17.05582877122928,0.008,CSP3014
i,53655.26485,17.10618177160472,0.009,CSP3014
i,53658.2,17.238191033809684,0.01,CSP3014
i,53659.17348,17.289056585073393,0.012,CSP3014
i,53662.25181,17.36505327842317,0.011,CSP3014
i,53663.22112,17.44824541842169,0.013,CSP3014
i,53665.19651,17.5580510755156,0.014,CSP3014
i,53666.25211,17.631463949904017,0.014,CSP3014
i,53669.21862,17.737770703119274,0.01,CSP3014
i,53671.26109,17.758286114602456,0.011,CSP3014
i,53673.26505,17.740634481728932,0.014,CSP3014
i,53675.22876,17.673081480295163,0.016,CSP3014
i,53682.27586,17.602411559798536,0.031,CSP3014
i,53683.22557,17.562796913879836,0.014,CSP3014
i,53687.24087,17.524302227775998,0.016,CSP3014
i,53694.21653,17.840918741048903,0.017,CSP3014
i,53698.16075,18.046829717916836,0.013,CSP3014
i,53699.19015,18.164048768924427,0.016,CSP3014
i,53707.24095,18.5604362644208,0.032,CSP3014
i,53712.16484,18.861457496988695,0.02,CSP3014
i,53721.12859,19.200030899355177,0.033,CSP3014
i,53726.18178,19.399536343726822,0.035,CSP3014
i,53730.18558,19.544,0.042,CSP3014
i,53737.1494,19.617,0.043,CSP3014
i,53741.1163,19.756,0.042,CSP3014
i,53746.13911,19.965,0.058,CSP3014
i,53751.15038,20.082,0.075,CSP3014
