Filter,MJD,Mag,Sigma,Code
V,53662.19344,17.617762173004234,0.011,CSP3014
V,53663.16912,17.565640605220114,0.009,CSP3014
V,53665.13905,17.479039451500633,0.007,CSP3014
V,53666.20376,17.458809282289934,0.008,CSP3014
V,53669.13616,17.44990288393528,0.007,CSP3014
V,53671.22008,17.461251845268237,0.007,CSP3014
V,53673.20068,17.492646448391874,0.01,CSP3014
V,53675.18432,17.562404689828057,0.01,CSP3014
V,53682.22921,17.940797251120912,0.016,CSP3014
V,53684.18272,18.02654344032841,0.011,CSP3014
V,53687.18621,18.138851783011596,0.013,CSP3014
V,53690.2038,18.311336077425942,0.021,CSP3014
V,53695.2411,18.504976888234665,0.015,CSP3014
V,53699.13625,18.71263915290051,0.015,CSP3014
V,53703.17432,18.96119190691502,0.016,CSP3014
V,53713.03435,19.391836902604624,0.022,CSP3014
V,53722.12309,19.653575137903733,0.03,CSP3014
V,53726.11581,19.7587094835772,0.023,CSP3014
V,53730.13913,19.907623748375926,0.023,CSP3014
V,53737.07252,20.04137830925339,0.029,CSP3014
V,53739.11188,20.108993377428753,0.031,CSP3014
V,53740.09823,20.054838339638543,0.034,CSP3014
V,53746.0741,20.21202065671165,0.065,CSP3014
V,53751.10286,20.375348614965375,0.098,CSP3014
V,53755.09073,20.515,0.063,CSP3014
r,53662.19344,17.71253253305941,0.01,CSP3014
r,53663.16912,17.661920956922113,0.009,CSP3014
r,53665.13905,17.578865420244274,0.008,CSP3014
r,53666.20376,17.54763525103357,0.007,CSP3014
r,53669.13616,17.52135897570715,0.006,CSP3014
r,53671.22008,17.520298636881712,0.007,CSP3014
r,53673.20068,17.575126428531764,0.009,CSP3014
r,53675.18432,17.643544945126614,0.008,CSP3014
r,53682.22921,17.99912357084829,0.019,CSP3014
r,53684.18272,18.118671456851636,0.011,CSP3014
r,53687.18621,18.24516417407203,0.015,CSP3014
r,53690.2038,18.326359343516785,0.015,CSP3014
r,53695.2411,18.56488676009689,0.011,CSP3014
r,53699.13625,18.757865862107565,0.01,CSP3014
r,53703.17432,19.01595459082067,0.012,CSP3014
r,53713.03435,19.488124168296466,0.014,CSP3014
r,53730.13913,19.912961342651407,0.019,CSP3014
r,53737.07252,20.136167991938095,0.019,CSP3014
r,53739.11188,20.168125626838822,0.02,CSP3014
r,53740.09823,20.138752534962542,0.025,CSP3014
r,53746.0741,20.29317437881666,0.032,CSP3014
r,53751.10286,20.513847536579206,0.086,CSP3014
r,53755.09073,20.295,0.03,CSP3014
B,53662.19344,17.587434953727907,0.013,CSP3014
B,53663.16912,17.541521774657667,0.008,CSP3014
B,53665.13905,17.479604506506192,0.006,CSP3014
B,53666.20376,17.46481474464394,0.007,CSP3014
B,53669.13616,17.493669664893808,0.006,CSP3014
B,53671.22008,17.558813548953182,0.007,CSP3014
B,53673.20068,17.66875212485997,0.008,CSP3014
B,53675.18432,17.777321472032636,0.008,CSP3014
B,53682.22921,18.40541571284877,0.045,CSP3014
B,53684.18272,18.54898200486675,0.012,CSP3014
B,53687.18621,18.82652536687497,0.02,CSP3014
B,53690.2038,19.097335567865805,0.041,CSP3014
B,53695.2411,19.47810989108388,0.03,CSP3014
B,53699.13625,19.80250772498907,0.021,CSP3014
B,53703.17432,20.075222321507376,0.026,CSP3014
B,53713.03435,20.402449958986477,0.047,CSP3014
B,53722.12309,20.587229320162272,0.06,CSP3014
B,53726.11581,20.627772223319877,0.039,CSP3014
B,53730.13913,20.692740564426117,0.042,CSP3014
B,53737.07252,20.860492727300777,0.037,CSP3014
B,53739.11188,20.8158706797587,0.044,CSP3014
B,53740.09823,20.93547871824338,0.055,CSP3014
B,53746.0741,21.07496413746802,0.179,CSP3014
B,53751.10286,21.03959376581551,0.219,CSP3014
i,53662.19344,18.104235447727383,0.017,CSP3014
i,53663.16912,18.109784150296246,0.012,CSP3014
i,53665.13905,18.127265034204697,0.012,CSP3014
i,53666.20376,18.125577455952694,0.012,CSP3014
i,53669.13616,18.22127476060974,0.009,CSP3014
i,53671.22008,18.276401441913485,0.014,CSP3014
i,53673.20068,18.29899296936156,0.016,CSP3014
i,53675.18432,18.3639865729006,0.015,CSP3014
i,53682.22921,18.61004954966049,0.089,CSP3014
i,53684.18272,18.694959388232153,0.017,CSP3014
i,53687.18621,18.684452123319694,0.025,CSP3014
i,53690.2038,18.599484776011817,0.021,CSP3014
i,53695.2411,18.521610797965877,0.015,CSP3014
i,53699.13625,18.50622209892367,0.019,CSP3014
i,53703.17432,18.705954173636144,0.018,CSP3014
i,53713.03435,19.25552156631921,0.024,CSP3014
i,53722.12309,19.573557948223602,0.031,CSP3014
i,53726.11581,19.899090244280547,0.034,CSP3014
i,53730.13913,19.998129955876507,0.04,CSP3014
i,53737.07252,20.339688773738448,0.045,CSP3014
i,53739.11188,20.317030091257664,0.057,CSP3014
i,53740.09823,20.39416855107978,0.052,CSP3014
