Filter,MJD,Mag,Sigma,Code
V,53682.03732,17.2394921899309,0.009,CSP3014
V,53683.04882,17.144025824172573,0.011,CSP3014
V,53684.08633,17.05648922715906,0.01,CSP3014
V,53687.03535,16.924057376876853,0.006,CSP3014
V,53689.11806,16.904525191048478,0.012,CSP3014
V,53690.06398,16.90548913853756,0.01,CSP3014
V,53694.10385,17.02483698034045,0.009,CSP3014
V,53695.10682,17.081666400521396,0.009,CSP3014
V,53698.06705,17.26732975876933,0.009,CSP3014
V,53699.09681,17.331938363058775,0.009,CSP3014
V,53702.10265,17.52980560626243,0.011,CSP3014
V,53706.12631,17.74792891477024,0.011,CSP3014
V,53716.10135,18.36706231119817,0.027,CSP3014
V,53721.06836,18.72632802430909,0.033,CSP3014
V,53726.0874,18.943632507265402,0.028,CSP3014
V,53730.07961,19.08915379221035,0.021,CSP3014
V,53738.03101,19.31103091236065,0.022,CSP3014
V,53746.03825,19.575449182719254,0.054,CSP3014
V,53750.0408,19.601603351605654,0.092,CSP3014
V,53755.03675,19.799100515840042,0.051,CSP3014
r,53682.03732,17.327645653157603,0.008,CSP3014
r,53683.04882,17.245973981421088,0.011,CSP3014
r,53684.08633,17.1678653716886,0.01,CSP3014
r,53687.03535,17.100068161170434,0.012,CSP3014
r,53689.11806,17.083756633778783,0.011,CSP3014
r,53690.06398,17.105188855508224,0.011,CSP3014
r,53694.10385,17.286516187056776,0.01,CSP3014
r,53695.10682,17.370862507163352,0.008,CSP3014
r,53698.06705,17.636721088175477,0.008,CSP3014
r,53699.09681,17.70475428047671,0.008,CSP3014
r,53702.10265,17.841271986389486,0.009,CSP3014
r,53706.12631,17.886018930777297,0.009,CSP3014
r,53716.10135,18.204157224577827,0.018,CSP3014
r,53721.06836,18.615795868069753,0.016,CSP3014
r,53726.0874,18.861112285871247,0.014,CSP3014
r,53730.07961,19.065528074465455,0.018,CSP3014
r,53738.03101,19.36269616021147,0.028,CSP3014
r,53746.03825,19.638209242729044,0.031,CSP3014
r,53750.0408,19.731360601120624,0.064,CSP3014
r,53755.03675,19.900716637634098,0.046,CSP3014
B,53682.03732,17.184351226256894,0.009,CSP3014
B,53683.04882,17.08016181879707,0.009,CSP3014
B,53684.08633,17.000392457411024,0.01,CSP3014
B,53687.03535,16.903165544108674,0.01,CSP3014
B,53689.11806,16.922072998666167,0.011,CSP3014
B,53690.06398,16.958405064488083,0.009,CSP3014
B,53694.10385,17.2178921299571,0.009,CSP3014
B,53695.10682,17.29950492401407,0.009,CSP3014
B,53698.06705,17.600499986053556,0.009,CSP3014
B,53699.09681,17.69725966432892,0.01,CSP3014
B,53702.10265,18.055916405254923,0.012,CSP3014
B,53706.12631,18.55741095435138,0.017,CSP3014
B,53716.10135,19.321175578034136,0.078,CSP3014
B,53721.06836,19.66089268981029,0.058,CSP3014
B,53726.0874,19.917577516492045,0.049,CSP3014
B,53730.07961,20.12093937686317,0.031,CSP3014
B,53738.03101,20.300447819146505,0.047,CSP3014
B,53746.03825,20.333598429488084,0.116,CSP3014
B,53755.03675,20.5102855437274,0.06,CSP3014
i,53682.03732,17.55106202034593,0.011,CSP3014
i,53683.04882,17.453160261880107,0.013,CSP3014
i,53684.08633,17.42921300341027,0.014,CSP3014
i,53687.03535,17.49292939023062,0.014,CSP3014
i,53689.11806,17.59897794638742,0.017,CSP3014
i,53690.06398,17.613142078247797,0.013,CSP3014
i,53694.10385,17.90136169393371,0.015,CSP3014
i,53695.10682,17.99645869581851,0.015,CSP3014
i,53698.06705,18.20942977091245,0.017,CSP3014
i,53699.09681,18.24213394767399,0.017,CSP3014
i,53702.10265,18.275158143242678,0.013,CSP3014
i,53706.12631,18.10996562247979,0.016,CSP3014
i,53716.10135,18.097205061728165,0.021,CSP3014
i,53721.06836,18.482379306678492,0.023,CSP3014
i,53726.0874,18.847377138754457,0.027,CSP3014
i,53730.07961,19.085212305004063,0.03,CSP3014
i,53738.03101,19.483972139588403,0.033,CSP3014
i,53746.03825,19.769680337604587,0.054,CSP3014
i,53750.0408,20.01851168295329,0.087,CSP3014
