Filter,MJD,Mag,Sigma,Code
V,53682.10775,18.62111698386237,0.023,CSP3014
V,53683.1051,18.54285105251098,0.023,CSP3014
V,53684.13999,18.55840435846143,0.019,CSP3014
V,53687.12366,18.486068845232317,0.027,CSP3014
V,53690.12477,18.533021093441384,0.03,CSP3014
V,53694.17254,18.722889094073672,0.016,CSP3014
V,53695.15227,18.799880058143696,0.016,CSP3014
V,53698.10581,18.881840081266965,0.017,CSP3014
V,53703.13212,19.21837080649778,0.019,CSP3014
V,53707.16487,19.304243367479387,0.018,CSP3014
V,53722.09025,20.29102704540088,0.043,CSP3014
V,53728.12431,20.457000993231365,0.04,CSP3014
V,53738.06327,20.80236943174357,0.063,CSP3014
V,53740.04303,20.741902547820214,0.061,CSP3014
r,53682.10775,18.715340358631906,0.021,CSP3014
r,53683.1051,18.673165568303514,0.014,CSP3014
r,53684.13999,18.651860690944027,0.014,CSP3014
r,53687.12366,18.5702220700191,0.021,CSP3014
r,53690.12477,18.640894133557502,0.019,CSP3014
r,53694.17254,18.766212227633922,0.015,CSP3014
r,53695.15227,18.892638740730643,0.02,CSP3014
r,53698.10581,18.987660223092142,0.016,CSP3014
r,53703.13212,19.291121524706114,0.02,CSP3014
r,53707.16487,19.398939320125656,0.017,CSP3014
B,53682.10775,18.65105583845389,0.023,CSP3014
B,53683.1051,18.61498028326939,0.016,CSP3014
B,53684.13999,18.61740783490989,0.017,CSP3014
B,53687.12366,18.63383408432481,0.031,CSP3014
B,53690.12477,18.741618061813433,0.043,CSP3014
B,53694.17254,18.954251445617306,0.02,CSP3014
B,53695.15227,19.01007210985641,0.018,CSP3014
B,53698.10581,19.24532948192494,0.022,CSP3014
B,53703.13212,19.665147002415566,0.026,CSP3014
B,53707.16487,20.062160919970864,0.032,CSP3014
B,53722.09025,20.99984649110947,0.112,CSP3014
B,53728.12431,21.452600463443567,0.077,CSP3014
i,53682.10775,19.024215445189885,0.055,CSP3014
i,53683.1051,18.940283982899835,0.02,CSP3014
i,53684.13999,18.873575753503168,0.025,CSP3014
i,53690.12477,18.96423569175674,0.029,CSP3014
i,53694.17254,19.176955979531343,0.032,CSP3014
i,53695.15227,19.235383726023823,0.027,CSP3014
i,53698.10581,19.485372435620928,0.041,CSP3014
i,53703.13212,19.642036975728253,0.041,CSP3014
i,53707.16487,19.57131783343502,0.037,CSP3014
i,53722.09025,20.125179351554067,0.034,CSP3014
i,53728.12431,20.38610983291495,0.047,CSP3014
i,53738.06327,20.71971928172846,0.054,CSP3014
