Filter,MJD,Mag,Sigma,Code
V,53687.00777,17.025734514764096,0.012,CSP3014
V,53689.05899,16.474447613426708,0.01,CSP3014
V,53690.03215,16.32153128427411,0.008,CSP3014
V,53694.07289,15.874623224973123,0.007,CSP3014
V,53695.0828,15.82922877267065,0.009,CSP3014
V,53698.04608,15.739875908734472,0.006,CSP3014
V,53699.03235,15.727231211282373,0.007,CSP3014
V,53702.04204,15.770998583192245,0.006,CSP3014
V,53706.04878,15.892357109295226,0.006,CSP3014
V,53712.02021,16.27600571144218,0.01,CSP3014
V,53716.02969,16.542594145574625,0.01,CSP3014
V,53720.03603,16.730965218708164,0.011,CSP3014
V,53728.03398,17.2110898907576,0.014,CSP3014
r,53687.00777,16.862039573175363,0.01,CSP3014
r,53689.05899,16.36299734057674,0.009,CSP3014
r,53690.03215,16.193762386540282,0.007,CSP3014
r,53694.07289,15.790902356993048,0.008,CSP3014
r,53695.0828,15.746014673293688,0.007,CSP3014
r,53698.04608,15.721953713662618,0.005,CSP3014
r,53699.03235,15.714968638601931,0.007,CSP3014
r,53702.04204,15.756952503131048,0.005,CSP3014
r,53706.04878,15.959331852361428,0.008,CSP3014
r,53712.02021,16.330389270560158,0.009,CSP3014
r,53716.02969,16.42541501646999,0.006,CSP3014
r,53720.03603,16.473491275533192,0.007,CSP3014
B,53687.00777,17.299960373102948,0.016,CSP3014
B,53689.05899,16.75578655476046,0.013,CSP3014
B,53690.03215,16.59233948718366,0.012,CSP3014
B,53694.07289,16.173589387552575,0.009,CSP3014
B,53695.0828,16.11224634429781,0.009,CSP3014
B,53698.04608,16.063954154686932,0.008,CSP3014
B,53699.03235,16.083248219178394,0.01,CSP3014
B,53702.04204,16.211174473708724,0.009,CSP3014
B,53706.04878,16.517697508218824,0.01,CSP3014
B,53712.02021,17.188322235062905,0.013,CSP3014
B,53716.02969,17.693778507085383,0.02,CSP3014
B,53720.03603,18.126626489344304,0.036,CSP3014
B,53728.03398,18.731608192258186,0.035,CSP3014
i,53687.00777,16.80848792446659,0.012,CSP3014
i,53689.05899,16.45146528331741,0.01,CSP3014
i,53690.03215,16.289812689343897,0.008,CSP3014
i,53694.07289,15.917986899786053,0.008,CSP3014
i,53695.0828,15.899556320626845,0.009,CSP3014
i,53698.04608,15.965365380529958,0.006,CSP3014
i,53699.03235,15.992658424200199,0.009,CSP3014
i,53702.04204,16.123603951701305,0.007,CSP3014
i,53706.04878,16.322042516108823,0.01,CSP3014
i,53712.02021,16.507595190791513,0.011,CSP3014
i,53716.02969,16.39242838555388,0.01,CSP3014
i,53720.03603,16.334805040410913,0.009,CSP3014
i,53728.03398,16.542419536545623,0.011,CSP3014
