Filter,MJD,Mag,Sigma,Code
V,53689.17603,16.209911307760535,0.009,CSP3014
V,53690.25623,15.71992224299822,0.008,CSP3014
V,53694.25046,14.716724984087477,0.006,CSP3014
V,53695.21153,14.570134689663266,0.009,CSP3014
V,53698.21365,14.252206891747003,0.005,CSP3014
V,53699.21282,14.190596277973366,0.006,CSP3014
V,53702.20325,14.1676495476943,0.008,CSP3014
V,53703.26363,14.209717362255812,0.007,CSP3014
V,53706.21204,14.450656395590803,0.008,CSP3014
V,53707.316,14.593187008833652,0.009,CSP3014
V,53712.20721,15.089714058216972,0.008,CSP3014
V,53713.17412,15.186259666716964,0.007,CSP3014
V,53716.15477,15.430415622100426,0.006,CSP3014
V,53720.17648,15.70381891643752,0.01,CSP3014
V,53721.13244,15.764430164762341,0.01,CSP3014
V,53725.21565,16.00413505829474,0.008,CSP3014
V,53730.21307,16.240647356077186,0.009,CSP3014
V,53736.16752,16.48760538864419,0.009,CSP3014
V,53737.16767,16.552,0.009,CSP3014
V,53741.13992,16.7,0.008,CSP3014
V,53746.16714,16.852,0.01,CSP3014
V,53750.10468,16.961,0.01,CSP3014
V,53755.0946,17.101,0.009,CSP3014
V,53761.18781,17.297,0.01,CSP3014
V,53763.07936,17.354,0.013,CSP3014
V,53764.09666,17.393,0.012,CSP3014
V,53765.07773,17.427,0.015,CSP3014
V,53767.04201,17.47,0.009,CSP3014
V,53771.06299,17.587,0.012,CSP3014
V,53773.06804,17.646,0.015,CSP3014
V,53774.91269,17.705,0.015,CSP3014
V,53778.0562,17.79,0.018,CSP3014
V,53784.01455,17.951,0.015,CSP3014
V,53786.01684,18.056,0.016,CSP3014
V,53798.03147,18.35,0.02,CSP3014
V,53804.05899,18.489,0.025,CSP3014
V,53809.0347,18.637,0.049,CSP3014
V,53818.99323,18.961,0.028,CSP3014
V,53967.37067,21.928,0.074,CSP3014
r,53689.17603,16.150171603559265,0.008,CSP3014
r,53690.25623,15.69730183511682,0.007,CSP3014
r,53694.25046,14.704073516926892,0.006,CSP3014
r,53695.21153,14.55484702277608,0.006,CSP3014
r,53698.21365,14.252148094377972,0.004,CSP3014
r,53699.21282,14.212586421014477,0.009,CSP3014
r,53702.20325,14.157004708138805,0.011,CSP3014
r,53703.26363,14.152887127991635,0.005,CSP3014
r,53706.21204,14.312552823145039,0.004,CSP3014
r,53707.316,14.379154843898585,0.004,CSP3014
r,53712.20721,14.783141760212828,0.005,CSP3014
r,53713.17412,14.874195710892993,0.006,CSP3014
r,53716.15477,15.094701233752993,0.005,CSP3014
r,53720.17648,15.440640832567782,0.008,CSP3014
r,53721.13244,15.516526737398973,0.006,CSP3014
r,53725.21565,15.76990051311324,0.006,CSP3014
r,53730.21307,16.025638697825386,0.007,CSP3014
r,53736.16752,16.399903854231194,0.007,CSP3014
r,53737.16767,16.389,0.008,CSP3014
r,53741.13992,16.58,0.007,CSP3014
r,53746.16714,16.792,0.008,CSP3014
r,53750.10468,16.964,0.009,CSP3014
r,53755.0946,17.204,0.009,CSP3014
r,53761.18781,17.47,0.009,CSP3014
r,53763.07936,17.545,0.012,CSP3014
r,53764.09666,17.591,0.013,CSP3014
r,53765.07773,17.637,0.013,CSP3014
r,53767.04201,17.74,0.009,CSP3014
r,53771.06299,17.895,0.013,CSP3014
r,53773.06804,17.994,0.015,CSP3014
r,53774.91269,18.061,0.015,CSP3014
r,53778.0562,18.194,0.016,CSP3014
r,53784.01455,18.451,0.018,CSP3014
r,53786.01684,18.514,0.017,CSP3014
r,53798.03147,18.968,0.019,CSP3014
r,53804.05899,19.243,0.056,CSP3014
r,53809.0347,19.369,0.048,CSP3014
r,53818.99323,19.745,0.039,CSP3014
r,53966.32461,23.027,0.182,CSP3014
B,53689.17603,16.637559817951626,0.012,CSP3014
B,53690.25623,16.144422852077376,0.01,CSP3014
B,53694.25046,15.229414921125937,0.008,CSP3014
B,53695.21153,15.114251326041407,0.008,CSP3014
B,53698.21365,14.910962169772429,0.006,CSP3014
B,53699.21282,14.9371500190351,0.011,CSP3014
B,53702.20325,15.135019538300584,0.011,CSP3014
B,53703.26363,15.308479291385412,0.013,CSP3014
B,53706.21204,15.76909848581739,0.014,CSP3014
B,53707.316,15.942691422052377,0.008,CSP3014
B,53712.20721,16.590217933421712,0.011,CSP3014
B,53713.17412,16.658464690980956,0.013,CSP3014
B,53716.15477,16.869889508818844,0.008,CSP3014
B,53720.17648,17.050271029437017,0.012,CSP3014
B,53721.13244,17.109081074653382,0.011,CSP3014
B,53725.21565,17.258166931054316,0.011,CSP3014
B,53730.21307,17.40115878204817,0.011,CSP3014
B,53736.16752,17.55983147968456,0.014,CSP3014
B,53737.16767,17.551,0.013,CSP3014
B,53741.13992,17.63,0.01,CSP3014
B,53746.16714,17.744,0.017,CSP3014
B,53750.10468,17.816,0.016,CSP3014
B,53755.0946,17.93,0.015,CSP3014
B,53761.18781,18.083,0.015,CSP3014
B,53763.07936,18.096,0.016,CSP3014
B,53764.09666,18.111,0.015,CSP3014
B,53765.07773,18.138,0.02,CSP3014
B,53767.04201,18.174,0.012,CSP3014
B,53771.06299,18.249,0.016,CSP3014
B,53773.06804,18.279,0.016,CSP3014
B,53774.91269,18.331,0.021,CSP3014
B,53778.0562,18.37,0.024,CSP3014
B,53784.01455,18.507,0.016,CSP3014
B,53786.01684,18.532,0.023,CSP3014
B,53798.03147,18.804,0.023,CSP3014
B,53804.05899,18.859,0.029,CSP3014
B,53809.0347,19.043,0.082,CSP3014
B,53818.99323,19.14,0.025,CSP3014
B,53967.37067,21.375,0.072,CSP3014
i,53689.17603,15.959241911866728,0.009,CSP3014
i,53690.25623,15.611746209686624,0.008,CSP3014
i,53694.25046,14.832326867292393,0.007,CSP3014
i,53695.21153,14.710400799579567,0.007,CSP3014
i,53698.21365,14.34816225754016,0.006,CSP3014
i,53699.21282,14.296227065777249,0.008,CSP3014
i,53702.20325,14.292811956504444,0.009,CSP3014
i,53703.26363,14.278472160825782,0.006,CSP3014
i,53706.21204,14.291653164448258,0.01,CSP3014
i,53707.316,14.330966165570254,0.005,CSP3014
i,53712.20721,14.565242334950685,0.006,CSP3014
i,53713.17412,14.653687654589909,0.007,CSP3014
i,53716.15477,14.86212653384166,0.006,CSP3014
i,53720.17648,15.17553355228286,0.008,CSP3014
i,53721.13244,15.269837834682136,0.007,CSP3014
i,53725.21565,15.599334727309465,0.006,CSP3014
i,53730.21307,15.915503492252613,0.009,CSP3014
i,53736.16752,16.357595804825998,0.008,CSP3014
i,53737.16767,16.356,0.01,CSP3014
i,53741.13992,16.536,0.008,CSP3014
i,53746.16714,16.741,0.011,CSP3014
i,53750.10468,16.901,0.009,CSP3014
i,53755.0946,17.091,0.009,CSP3014
i,53761.18781,17.308,0.011,CSP3014
i,53763.07936,17.353,0.013,CSP3014
i,53764.09666,17.394,0.012,CSP3014
i,53765.07773,17.417,0.015,CSP3014
i,53767.04201,17.468,0.01,CSP3014
i,53771.06299,17.585,0.014,CSP3014
i,53773.06804,17.652,0.016,CSP3014
i,53774.91269,17.694,0.013,CSP3014
i,53778.0562,17.766,0.017,CSP3014
i,53784.01455,17.956,0.015,CSP3014
i,53786.01684,17.984,0.018,CSP3014
i,53798.03147,18.269,0.019,CSP3014
i,53804.05899,18.39,0.027,CSP3014
i,53809.0347,18.504,0.029,CSP3014
i,53818.99323,18.688,0.027,CSP3014
i,53967.37067,21.587,0.053,CSP3014
