Filter,MJD,Mag,Sigma,Code
V,53699.05478,17.716628202432894,0.016,CSP3014
V,53702.06193,17.678885253602527,0.013,CSP3014
V,53707.05071,17.815200051844705,0.019,CSP3014
V,53712.04078,18.124228596477586,0.022,CSP3014
V,53716.05548,18.2184744458404,0.033,CSP3014
V,53729.0503,18.922229361903238,0.055,CSP3014
V,53739.03001,19.115320884319637,0.093,CSP3014
r,53699.05478,17.807797979204253,0.016,CSP3014
r,53702.06193,17.74421409852862,0.014,CSP3014
r,53707.05071,17.933650847500175,0.014,CSP3014
r,53712.04078,18.21348006155281,0.019,CSP3014
r,53716.05548,18.43475879692944,0.024,CSP3014
r,53729.0503,19.17273950591017,0.038,CSP3014
r,53739.03001,19.590208799573528,0.08,CSP3014
B,53699.05478,17.848026941282384,0.016,CSP3014
B,53702.06193,17.91633775552866,0.02,CSP3014
B,53707.05071,18.19722472212632,0.014,CSP3014
B,53712.04078,18.678164443736346,0.021,CSP3014
B,53716.05548,18.991446629479544,0.052,CSP3014
B,53729.0503,19.713044939553622,0.104,CSP3014
B,53739.03001,20.24983640094065,0.241,CSP3014
i,53699.05478,18.205757553941375,0.025,CSP3014
i,53702.06193,18.393549729916316,0.025,CSP3014
i,53707.05071,18.521075088429583,0.025,CSP3014
i,53712.04078,18.885059228890032,0.046,CSP3014
i,53716.05548,18.779588338499423,0.049,CSP3014
i,53729.0503,18.723384825972204,0.043,CSP3014
i,53739.03001,19.30118550236524,0.11,CSP3014
