Filter,MJD,Mag,Sigma,Code
V,53736.2771,17.059856566445298,0.01,CSP3014
V,53737.25328,17.08081804281768,0.013,CSP3014
V,53738.2389,17.128146220251075,0.01,CSP3014
V,53740.28265,17.19320316942277,0.012,CSP3014
V,53741.21161,17.239132849578958,0.01,CSP3014
V,53746.23622,17.60115253559637,0.013,CSP3014
V,53747.24677,17.70792052871827,0.016,CSP3014
V,53752.24164,18.02657115564211,0.021,CSP3014
V,53755.22343,18.31061171520442,0.019,CSP3014
V,53760.1574,18.76894811021625,0.024,CSP3014
V,53762.17687,18.835004326243613,0.024,CSP3014
V,53763.13367,18.910603794297554,0.03,CSP3014
V,53764.18159,18.930973313609236,0.03,CSP3014
V,53765.13272,18.987892848551564,0.027,CSP3014
V,53768.16284,19.183,0.025,CSP3014
V,53771.11895,19.355,0.022,CSP3014
V,53773.10487,19.475,0.035,CSP3014
r,53736.2771,17.10274382812377,0.007,CSP3014
r,53737.25328,17.05199377570029,0.02,CSP3014
r,53738.2389,17.141808045001227,0.009,CSP3014
r,53740.28265,17.236248068188424,0.012,CSP3014
r,53741.21161,17.341281326269176,0.008,CSP3014
r,53746.23622,17.568341072591714,0.012,CSP3014
r,53747.24677,17.617557142706932,0.013,CSP3014
r,53752.24164,17.78673496589012,0.014,CSP3014
r,53755.22343,18.06205688288139,0.013,CSP3014
r,53760.1574,18.50690388516752,0.016,CSP3014
r,53762.17687,18.61825275766033,0.018,CSP3014
r,53763.13367,18.594705111124014,0.029,CSP3014
r,53764.18159,18.658796954088306,0.023,CSP3014
r,53765.13272,18.732726301296253,0.023,CSP3014
r,53768.16284,18.744,0.017,CSP3014
r,53771.11895,18.842,0.025,CSP3014
r,53773.10487,18.989,0.018,CSP3014
B,53736.2771,17.486953594239697,0.01,CSP3014
B,53737.25328,17.56317392767076,0.011,CSP3014
B,53738.2389,17.651509484016884,0.011,CSP3014
B,53740.28265,17.8751961494174,0.012,CSP3014
B,53746.23622,18.691834793481362,0.027,CSP3014
B,53747.24677,18.84176423887939,0.042,CSP3014
B,53752.24164,19.458092660963672,0.072,CSP3014
B,53755.22343,19.710600146689433,0.06,CSP3014
B,53760.1574,20.07151946098493,0.048,CSP3014
B,53762.17687,20.177194521745278,0.049,CSP3014
B,53763.13367,20.204649731163205,0.057,CSP3014
B,53764.18159,20.247978630565505,0.051,CSP3014
B,53765.13272,20.185718543980034,0.045,CSP3014
B,53768.16284,20.421,0.045,CSP3014
B,53771.11895,20.454,0.036,CSP3014
i,53736.2771,17.21706600267288,0.009,CSP3014
i,53737.25328,17.244456071806084,0.016,CSP3014
i,53738.2389,17.215426399745596,0.011,CSP3014
i,53740.28265,17.437255410700168,0.013,CSP3014
i,53741.21161,17.506606611985603,0.012,CSP3014
i,53746.23622,17.707011454271484,0.013,CSP3014
i,53747.24677,17.632350995741426,0.02,CSP3014
i,53752.24164,17.588905548294893,0.014,CSP3014
i,53755.22343,17.78813108687308,0.013,CSP3014
i,53760.1574,18.38064508467788,0.02,CSP3014
i,53762.17687,18.484148259846737,0.019,CSP3014
i,53763.13367,18.541946534492343,0.024,CSP3014
i,53764.18159,18.6682937423008,0.022,CSP3014
i,53765.13272,18.7086135417615,0.02,CSP3014
i,53768.16284,18.85,0.018,CSP3014
i,53771.11895,18.999,0.019,CSP3014
i,53773.10487,19.131,0.03,CSP3014
