Filter,MJD,Mag,Sigma,Code
V,53738.19991,16.325165391700068,0.007,CSP3014
V,53740.25501,16.29104614021104,0.009,CSP3014
V,53741.19233,16.292349148444767,0.007,CSP3014
V,53745.14351,16.339113415171678,0.009,CSP3014
V,53748.19492,16.425021882196354,0.009,CSP3014
V,53751.18412,16.576404217892097,0.008,CSP3014
V,53754.14588,16.77122204603373,0.008,CSP3014
V,53755.14016,16.842875179019778,0.009,CSP3014
V,53760.12876,17.10693577484706,0.009,CSP3014
V,53762.14816,17.212748662024744,0.009,CSP3014
V,53763.1053,17.256139838882053,0.011,CSP3014
V,53764.15324,17.317343229744623,0.012,CSP3014
V,53765.10431,17.370634096255756,0.012,CSP3014
V,53767.12101,17.499458443433035,0.009,CSP3014
V,53771.08862,17.74984220947916,0.01,CSP3014
V,53772.12083,17.81931399988737,0.013,CSP3014
V,53774.11726,17.92651795566519,0.018,CSP3014
V,53781.11774,18.18120031580898,0.03,CSP3014
V,53784.08117,18.277473784366933,0.017,CSP3014
V,53785.08054,18.373640120151897,0.012,CSP3014
V,53786.08257,18.382400282866772,0.017,CSP3014
V,53788.07046,18.44527676232309,0.016,CSP3014
V,53795.08738,18.623712550580596,0.018,CSP3014
V,53798.11083,18.723939882186443,0.019,CSP3014
V,53805.01214,18.85139931826305,0.026,CSP3014
V,53817.99952,19.256,0.017,CSP3014
V,53834.02556,19.595,0.038,CSP3014
r,53738.19991,16.47142700603127,0.007,CSP3014
r,53740.25501,16.440176677551428,0.01,CSP3014
r,53741.19233,16.42525171511832,0.007,CSP3014
r,53745.14351,16.48994119546449,0.009,CSP3014
r,53748.19492,16.63999869437905,0.007,CSP3014
r,53751.18412,16.870366074334562,0.008,CSP3014
r,53754.14588,17.07448333091739,0.008,CSP3014
r,53755.14016,17.11141571019438,0.008,CSP3014
r,53760.12876,17.19082745192899,0.008,CSP3014
r,53762.14816,17.209794883234565,0.009,CSP3014
r,53763.1053,17.222739085009017,0.01,CSP3014
r,53764.15324,17.243168244119374,0.009,CSP3014
r,53765.10431,17.260020552153946,0.014,CSP3014
r,53767.12101,17.308213992581365,0.007,CSP3014
r,53771.08862,17.50319500281649,0.008,CSP3014
r,53772.12083,17.586096077751392,0.012,CSP3014
r,53774.11726,17.724118538901003,0.011,CSP3014
r,53781.11774,18.063833147783086,0.014,CSP3014
r,53784.08117,18.187108246214624,0.013,CSP3014
r,53785.08054,18.234543996351576,0.012,CSP3014
r,53786.08257,18.244363056883657,0.013,CSP3014
r,53788.07046,18.34118827909525,0.012,CSP3014
r,53795.08738,18.506666432573702,0.012,CSP3014
r,53798.11083,18.66175915686499,0.016,CSP3014
r,53805.01214,18.840354499481982,0.017,CSP3014
r,53817.99952,19.104,0.018,CSP3014
r,53834.02556,19.527,0.032,CSP3014
B,53738.19991,16.314108085854055,0.007,CSP3014
B,53740.25501,16.30743294989209,0.009,CSP3014
B,53741.19233,16.31860150569338,0.007,CSP3014
B,53745.14351,16.453632224229295,0.008,CSP3014
B,53748.19492,16.625586715892382,0.009,CSP3014
B,53751.18412,16.851704591622997,0.009,CSP3014
B,53754.14588,17.18552357015727,0.009,CSP3014
B,53755.14016,17.27951699456038,0.009,CSP3014
B,53760.12876,17.924147163758853,0.012,CSP3014
B,53762.14816,18.168389468974446,0.014,CSP3014
B,53763.1053,18.264840133902368,0.015,CSP3014
B,53764.15324,18.356624671291343,0.02,CSP3014
B,53765.10431,18.48471420817491,0.018,CSP3014
B,53767.12101,18.644518616119896,0.019,CSP3014
B,53771.08862,18.97199738481867,0.022,CSP3014
B,53772.12083,19.0530080109588,0.041,CSP3014
B,53774.11726,19.138651958527802,0.038,CSP3014
B,53781.11774,19.401719155492874,0.047,CSP3014
B,53784.08117,19.39348063808626,0.029,CSP3014
B,53785.08054,19.46828907623098,0.027,CSP3014
B,53786.08257,19.518690855372434,0.026,CSP3014
B,53788.07046,19.569559472443366,0.047,CSP3014
B,53795.08738,19.582900057754657,0.029,CSP3014
B,53805.01214,19.78614582511691,0.043,CSP3014
B,53817.99952,19.996,0.042,CSP3014
B,53834.02556,20.276,0.07,CSP3014
i,53738.19991,16.79605847231136,0.008,CSP3014
i,53740.25501,16.85974939207361,0.013,CSP3014
i,53741.19233,16.88323647084962,0.009,CSP3014
i,53745.14351,17.0541099922523,0.012,CSP3014
i,53748.19492,17.167861104898872,0.012,CSP3014
i,53751.18412,17.419247293808617,0.009,CSP3014
i,53754.14588,17.553513501789244,0.01,CSP3014
i,53755.14016,17.55518009740515,0.015,CSP3014
i,53760.12876,17.385443806869315,0.011,CSP3014
i,53762.14816,17.321292380645357,0.012,CSP3014
i,53763.1053,17.30547739855534,0.012,CSP3014
i,53764.15324,17.275325366421544,0.014,CSP3014
i,53765.10431,17.235720662852344,0.017,CSP3014
i,53767.12101,17.23521160749116,0.011,CSP3014
i,53771.08862,17.301322979822935,0.014,CSP3014
i,53772.12083,17.348854046867288,0.012,CSP3014
i,53774.11726,17.50627108709712,0.012,CSP3014
i,53781.11774,17.920964404745618,0.036,CSP3014
i,53784.08117,18.070084970915083,0.016,CSP3014
i,53785.08054,18.146573353119923,0.014,CSP3014
i,53786.08257,18.1702234966249,0.014,CSP3014
i,53788.07046,18.287143306523525,0.017,CSP3014
i,53795.08738,18.666181600665915,0.015,CSP3014
i,53798.11083,18.725407962690923,0.02,CSP3014
i,53805.01214,18.947096291182028,0.025,CSP3014
i,53817.99952,19.479,0.032,CSP3014
i,53834.02556,19.935,0.044,CSP3014
