Filter,MJD,Mag,Sigma,Code
V,53751.33112,14.71399337526022,0.006,CSP9844
V,53752.36057,14.562529293054785,0.005,CSP9844
V,53754.25535,14.35102780843327,0.006,CSP9844
V,53760.28859,14.211857688613419,0.006,CSP9844
V,53761.29549,14.232976640005957,0.005,CSP9844
V,53762.30101,14.26234416788758,0.006,CSP9844
V,53763.29609,14.308065880007751,0.006,CSP9844
V,53764.34084,14.368482089914345,0.006,CSP9844
V,53765.3248,14.42280483515227,0.006,CSP9844
V,53767.34671,14.568306525634204,0.004,CSP9844
V,53772.30865,14.930849447285198,0.004,CSP9844
V,53773.22236,14.9962050188965,0.004,CSP9844
V,53774.32565,15.069547978127074,0.006,CSP9844
V,53778.37725,15.334577383074995,0.007,CSP9844
V,53781.23803,15.50823975802997,0.017,CSP9844
V,53783.23401,15.64468634731352,0.01,CSP9844
V,53785.33137,15.81679835581772,0.007,CSP9844
V,53786.37192,15.901100743994336,0.006,CSP9844
V,53788.36824,16.05709605079852,0.008,CSP9844
V,53790.31448,16.148791384722077,0.008,CSP9844
V,53795.34324,16.352367327076497,0.007,CSP9844
V,53798.30986,16.4506197878858,0.008,CSP9844
V,53799.31014,16.495477311097936,0.007,CSP9844
V,53802.30953,16.60170692467507,0.009,CSP9844
V,53804.35137,16.652675778676958,0.008,CSP9844
V,53805.30367,16.685615222601786,0.008,CSP9844
V,53809.25089,16.79218249298617,0.014,CSP9844
V,53815.23892,16.957213581356832,0.009,CSP9844
V,53818.30872,17.060352573199747,0.009,CSP9844
V,53819.29685,17.087661084982827,0.009,CSP9844
V,53824.26696,17.281,0.007,CSP9844
V,53828.3422,17.387,0.004,CSP9844
V,53831.22915,17.467,0.009,CSP9844
V,53835.24086,17.564,0.01,CSP9844
V,53840.17409,17.662,0.014,CSP9844
V,53845.17972,17.804,0.009,CSP9844
V,53850.18673,17.936,0.012,CSP9844
V,53858.12213,18.145,0.015,CSP9844
V,53861.11803,18.228,0.01,CSP9844
V,53862.18779,18.249,0.012,CSP9844
V,53870.15149,18.398,0.018,CSP9844
r,53751.33112,14.714347763822403,0.007,CSP9844
r,53752.36057,14.555086616986367,0.004,CSP9844
r,53754.25535,14.396383834307311,0.005,CSP9844
r,53760.28859,14.34275412783392,0.009,CSP9844
r,53761.29549,14.366708380048864,0.006,CSP9844
r,53762.30101,14.429793158729321,0.01,CSP9844
r,53763.29609,14.48497664132855,0.006,CSP9844
r,53764.34084,14.583667166908036,0.01,CSP9844
r,53765.3248,14.665508095494014,0.006,CSP9844
r,53767.34671,14.840522214027194,0.004,CSP9844
r,53771.27543,15.035415907547033,0.004,CSP9844
r,53772.30865,15.058989095059697,0.004,CSP9844
r,53773.22236,15.08917566942011,0.004,CSP9844
r,53774.32565,15.099571284908222,0.006,CSP9844
r,53778.37725,15.207416603539803,0.007,CSP9844
r,53781.23803,15.336260049794111,0.006,CSP9844
r,53783.23401,15.46755119441755,0.009,CSP9844
r,53785.33137,15.64169510726018,0.007,CSP9844
r,53786.37192,15.735025769653621,0.007,CSP9844
r,53788.36824,15.891321669376529,0.008,CSP9844
r,53790.31448,16.01825889888684,0.006,CSP9844
r,53795.34324,16.306310885076233,0.006,CSP9844
r,53798.30986,16.425259447357842,0.008,CSP9844
r,53799.31014,16.473612989712876,0.007,CSP9844
r,53802.30953,16.594486798905166,0.008,CSP9844
r,53804.35137,16.67483324767824,0.006,CSP9844
r,53805.30367,16.70652992214387,0.007,CSP9844
r,53809.25089,16.847532091947823,0.012,CSP9844
r,53815.23892,17.06808081597643,0.008,CSP9844
r,53818.30872,17.17526719374999,0.009,CSP9844
r,53819.29685,17.201925039492718,0.009,CSP9844
r,53824.26696,17.302,0.007,CSP9844
r,53828.3422,17.47,0.004,CSP9844
r,53831.22915,17.559,0.011,CSP9844
r,53835.24086,17.706,0.009,CSP9844
r,53840.17409,17.875,0.013,CSP9844
r,53845.17972,18.027,0.009,CSP9844
r,53850.18673,18.228,0.012,CSP9844
r,53858.12213,18.48,0.014,CSP9844
r,53861.11803,18.532,0.012,CSP9844
r,53862.18779,18.607,0.013,CSP9844
r,53870.15149,18.859,0.02,CSP9844
i,53751.33112,14.868378980156207,0.008,CSP9844
i,53752.36057,14.70501007566047,0.005,CSP9844
i,53754.25535,14.556348268043989,0.005,CSP9844
i,53760.28859,14.852356257997661,0.007,CSP9844
i,53761.29549,14.911490450490888,0.006,CSP9844
i,53762.30101,14.974323130419501,0.008,CSP9844
i,53763.29609,15.04453340511276,0.008,CSP9844
i,53764.34084,15.15586548880757,0.008,CSP9844
i,53765.3248,15.2589164153563,0.009,CSP9844
i,53767.34671,15.377192392529002,0.005,CSP9844
i,53771.27543,15.387633991423202,0.006,CSP9844
i,53772.30865,15.34166744710064,0.006,CSP9844
i,53773.22236,15.302394951187017,0.005,CSP9844
i,53774.32565,15.261342699807543,0.008,CSP9844
i,53778.37725,15.226669172801891,0.008,CSP9844
i,53781.23803,15.236005185148555,0.009,CSP9844
i,53783.23401,15.313572392754303,0.009,CSP9844
i,53785.33137,15.484563359270387,0.011,CSP9844
i,53786.37192,15.563844801582036,0.01,CSP9844
i,53788.36824,15.73864844799821,0.009,CSP9844
i,53790.31448,15.87399995533109,0.007,CSP9844
i,53795.34324,16.19186783950296,0.007,CSP9844
i,53798.30986,16.336521364489826,0.01,CSP9844
i,53799.31014,16.3982870810532,0.007,CSP9844
i,53802.30953,16.57412294898829,0.011,CSP9844
i,53804.35137,16.68842667636954,0.009,CSP9844
i,53805.30367,16.762453019114123,0.008,CSP9844
i,53809.25089,16.94324918393289,0.014,CSP9844
i,53815.23892,17.21649826129493,0.011,CSP9844
i,53818.30872,17.350348876372287,0.012,CSP9844
i,53819.29685,17.412894018515125,0.01,CSP9844
i,53824.26696,17.546,0.009,CSP9844
i,53828.3422,17.684,0.005,CSP9844
i,53831.22915,17.794,0.014,CSP9844
i,53835.24086,17.94,0.013,CSP9844
i,53840.17409,18.087,0.019,CSP9844
i,53845.17972,18.222,0.016,CSP9844
i,53850.18673,18.428,0.016,CSP9844
i,53858.12213,18.662,0.015,CSP9844
i,53861.11803,18.731,0.019,CSP9844
i,53862.18779,18.768,0.019,CSP9844
i,53870.15149,18.973,0.028,CSP9844
B,53751.33112,14.784849168751636,0.006,CSP9844
B,53752.36057,14.636065977921339,0.005,CSP9844
B,53754.25535,14.44611237080369,0.006,CSP9844
B,53760.28859,14.431363965381687,0.006,CSP9844
B,53761.29549,14.500700506425487,0.005,CSP9844
B,53762.30101,14.588886057359733,0.005,CSP9844
B,53763.29609,14.68105151392446,0.006,CSP9844
B,53764.34084,14.791121340561231,0.006,CSP9844
B,53765.3248,14.89567592262034,0.006,CSP9844
B,53767.34671,15.112247195821501,0.004,CSP9844
B,53772.30865,15.760108373772296,0.006,CSP9844
B,53773.22236,15.870758834469122,0.004,CSP9844
B,53774.32565,16.0084987437707,0.006,CSP9844
B,53778.37725,16.445070438401245,0.009,CSP9844
B,53785.33137,16.988054607722088,0.009,CSP9844
B,53786.37192,17.048465637236838,0.01,CSP9844
B,53788.36824,17.16057942326609,0.007,CSP9844
B,53790.31448,17.24306157934744,0.009,CSP9844
B,53795.34324,17.44728644975757,0.011,CSP9844
B,53798.30986,17.50377515877956,0.01,CSP9844
B,53799.31014,17.511761172533276,0.01,CSP9844
B,53802.30953,17.580282298996877,0.011,CSP9844
B,53804.35137,17.63594285343605,0.011,CSP9844
B,53805.30367,17.6483959193382,0.011,CSP9844
B,53809.25089,17.70735745892849,0.021,CSP9844
B,53815.23892,17.82684779910431,0.014,CSP9844
B,53818.30872,17.878680436331216,0.014,CSP9844
B,53819.29685,17.923590540802575,0.011,CSP9844
B,53824.26696,17.957,0.009,CSP9844
B,53828.3422,18.047,0.006,CSP9844
B,53831.22915,18.103,0.011,CSP9844
B,53835.24086,18.159,0.013,CSP9844
B,53840.17409,18.252,0.017,CSP9844
B,53845.17972,18.288,0.013,CSP9844
B,53850.18673,18.393,0.013,CSP9844
B,53858.12213,18.539,0.015,CSP9844
B,53861.11803,18.588,0.016,CSP9844
B,53862.18779,18.599,0.016,CSP9844
B,53870.15149,18.758,0.032,CSP9844
