Filter,MJD,Mag,Sigma,Code
V,53775.17381,15.501670362286049,0.005,CSP9844
V,53778.35142,14.717376437845738,0.006,CSP9844
V,53780.36904,14.435414742498601,0.006,CSP9844
V,53783.21597,14.177546902539213,0.006,CSP9844
V,53784.32293,14.118764799545977,0.006,CSP9844
V,53785.29983,14.08278386811593,0.008,CSP9844
V,53786.32515,14.05101756473447,0.006,CSP9844
V,53788.31403,14.021435757534096,0.006,CSP9844
V,53790.29216,14.018414616040811,0.006,CSP9844
V,53795.27573,14.234295258807892,0.004,CSP9844
V,53798.28722,14.448062348643544,0.006,CSP9844
V,53799.28665,14.510213413858908,0.004,CSP9844
V,53802.2776,14.670502824867723,0.006,CSP9844
V,53804.26542,14.745148399135665,0.006,CSP9844
V,53805.2238,14.78584296779961,0.006,CSP9844
V,53809.22721,14.940216624962401,0.008,CSP9844
V,53815.21456,15.31614019198258,0.007,CSP9844
V,53818.27699,15.55595267993749,0.007,CSP9844
V,53819.24862,15.623654677548439,0.008,CSP9844
V,53824.23424,15.825456482653598,0.006,CSP9844
V,53831.19471,16.04688677260586,0.009,CSP9844
V,53832.26518,16.077248455281953,0.007,CSP9844
V,53835.15331,16.16420365291747,0.007,CSP9844
V,53838.18567,16.25737055484123,0.008,CSP9844
V,53841.2167,16.34137174808017,0.009,CSP9844
V,53845.14735,16.403527551076564,0.007,CSP9844
V,53850.15566,16.552868580135353,0.006,CSP9844
V,53853.15414,16.654678691230266,0.007,CSP9844
V,53858.09367,16.92,0.009,CSP9844
V,53862.16347,17.018,0.009,CSP9844
V,53866.11149,17.108,0.009,CSP9844
V,53870.12767,17.217,0.009,CSP9844
V,53872.12326,17.251,0.01,CSP9844
V,53886.062,17.614,0.007,CSP9844
V,53890.07786,17.656,0.01,CSP9844
V,53891.08194,17.693,0.011,CSP9844
V,53893.05497,17.742,0.007,CSP9844
V,53894.06435,17.767,0.009,CSP9844
V,53897.04254,17.816,0.007,CSP9844
V,53898.04634,17.837,0.008,CSP9844
V,53905.95731,17.975,0.013,CSP9844
r,53775.17381,14.850582292690476,0.004,CSP9844
r,53778.35142,14.16527562002365,0.009,CSP9844
r,53783.21597,13.779141943925588,0.005,CSP9844
r,53784.32293,13.755907017971323,0.006,CSP9844
r,53785.29983,13.720914282841797,0.007,CSP9844
r,53786.32515,13.699850964148657,0.006,CSP9844
r,53788.31403,13.683656669933336,0.006,CSP9844
r,53790.29216,13.728515002306986,0.006,CSP9844
r,53795.27573,14.026428185532854,0.006,CSP9844
r,53798.28722,14.23713157212681,0.007,CSP9844
r,53799.28665,14.262786684881192,0.006,CSP9844
r,53802.2776,14.307173437294534,0.006,CSP9844
r,53804.26542,14.313504163641035,0.006,CSP9844
r,53805.2238,14.312866654245179,0.006,CSP9844
r,53809.22721,14.330273485014464,0.006,CSP9844
r,53815.21456,14.60016231575488,0.006,CSP9844
r,53818.27699,14.840204274488825,0.005,CSP9844
r,53819.24862,14.903496597479071,0.006,CSP9844
r,53824.23424,15.163433064083302,0.005,CSP9844
r,53831.19471,15.426055609953178,0.007,CSP9844
r,53832.26518,15.478590823771707,0.005,CSP9844
r,53835.15331,15.579185200890898,0.006,CSP9844
r,53838.18567,15.688584755025921,0.005,CSP9844
r,53841.2167,15.774491335076869,0.006,CSP9844
r,53845.14735,15.899602834360943,0.006,CSP9844
r,53850.15566,16.074359197469178,0.008,CSP9844
r,53853.15414,16.160190975842415,0.007,CSP9844
r,53858.09367,16.372,0.007,CSP9844
r,53862.16347,16.506,0.007,CSP9844
r,53866.11149,16.615,0.009,CSP9844
r,53870.12767,16.748,0.007,CSP9844
r,53872.12326,16.81,0.009,CSP9844
r,53886.062,17.261,0.004,CSP9844
r,53890.07786,17.367,0.008,CSP9844
r,53891.08194,17.398,0.008,CSP9844
r,53893.05497,17.457,0.005,CSP9844
r,53894.06435,17.49,0.008,CSP9844
r,53897.04254,17.576,0.006,CSP9844
r,53898.04634,17.56,0.006,CSP9844
i,53775.17381,14.924724809156777,0.005,CSP9844
i,53778.35142,14.163334570428507,0.006,CSP9844
i,53783.21597,13.793777615681764,0.006,CSP9844
i,53784.32293,13.734764057927334,0.008,CSP9844
i,53785.29983,13.756769926930717,0.006,CSP9844
i,53786.32515,13.79239302738187,0.006,CSP9844
i,53788.31403,13.843698325606523,0.007,CSP9844
i,53790.29216,13.914753883805556,0.005,CSP9844
i,53795.27573,14.215802208320833,0.006,CSP9844
i,53798.28722,14.343826725281271,0.007,CSP9844
i,53799.28665,14.32799812426865,0.006,CSP9844
i,53802.2776,14.235546534933276,0.007,CSP9844
i,53804.26542,14.118498031826656,0.006,CSP9844
i,53805.2238,14.083946600345879,0.007,CSP9844
i,53809.22721,13.998646787411417,0.006,CSP9844
i,53815.21456,14.11602926276117,0.007,CSP9844
i,53818.27699,14.35512625607133,0.005,CSP9844
i,53819.24862,14.430962021082713,0.01,CSP9844
i,53824.23424,14.729318504652475,0.006,CSP9844
i,53831.19471,15.075290811844116,0.009,CSP9844
i,53832.26518,15.124010874730045,0.006,CSP9844
i,53835.15331,15.264790583262153,0.006,CSP9844
i,53838.18567,15.422454029136492,0.005,CSP9844
i,53841.2167,15.581490577909213,0.006,CSP9844
i,53845.14735,15.701127353453007,0.006,CSP9844
i,53850.15566,15.911303637866233,0.008,CSP9844
i,53853.15414,16.026995732146414,0.008,CSP9844
i,53858.09367,16.223,0.007,CSP9844
i,53862.16347,16.352,0.006,CSP9844
i,53866.11149,16.49,0.008,CSP9844
i,53870.12767,16.629,0.007,CSP9844
i,53872.12326,16.666,0.009,CSP9844
i,53886.062,17.115,0.005,CSP9844
i,53890.07786,17.209,0.009,CSP9844
i,53891.08194,17.255,0.009,CSP9844
i,53893.05497,17.303,0.006,CSP9844
i,53894.06435,17.344,0.009,CSP9844
i,53897.04254,17.401,0.007,CSP9844
i,53898.04634,17.41,0.007,CSP9844
B,53775.17381,16.712099946621496,0.007,CSP9844
B,53778.35142,15.90236969395704,0.007,CSP9844
B,53780.36904,15.612541043901972,0.009,CSP9844
B,53783.21597,15.406775197551362,0.007,CSP9844
B,53784.32293,15.375859701577106,0.007,CSP9844
B,53785.29983,15.362367287850335,0.008,CSP9844
B,53786.32515,15.35938529002192,0.006,CSP9844
B,53788.31403,15.415917343081931,0.007,CSP9844
B,53790.29216,15.502710364301072,0.007,CSP9844
B,53795.27573,15.895812844958867,0.006,CSP9844
B,53798.28722,16.208651383350286,0.007,CSP9844
B,53799.28665,16.301412163645487,0.006,CSP9844
B,53802.2776,16.627665399944416,0.008,CSP9844
B,53804.26542,16.825028387860915,0.008,CSP9844
B,53805.2238,16.90929745366051,0.011,CSP9844
B,53809.22721,17.219344852155725,0.023,CSP9844
B,53815.21456,17.691722411939477,0.014,CSP9844
B,53818.27699,17.86852539833938,0.015,CSP9844
B,53819.24862,17.93470361984022,0.013,CSP9844
B,53824.23424,18.072778112462593,0.013,CSP9844
B,53831.19471,18.16169979035547,0.014,CSP9844
B,53832.26518,18.18883998885598,0.013,CSP9844
B,53835.15331,18.220085900161834,0.016,CSP9844
B,53838.18567,18.244841456633374,0.041,CSP9844
B,53841.2167,18.321729779722983,0.022,CSP9844
B,53845.14735,18.283984852226546,0.014,CSP9844
B,53850.15566,18.351284873513038,0.014,CSP9844
B,53853.15414,18.40134201976091,0.013,CSP9844
B,53858.09367,18.486,0.026,CSP9844
B,53862.16347,18.499,0.021,CSP9844
B,53866.11149,18.48,0.023,CSP9844
B,53870.12767,18.602,0.034,CSP9844
B,53872.12326,18.604,0.018,CSP9844
B,53886.062,18.812,0.009,CSP9844
B,53890.07786,18.892,0.024,CSP9844
B,53891.08194,18.862,0.025,CSP9844
B,53893.05497,18.922,0.017,CSP9844
B,53894.06435,18.879,0.027,CSP9844
B,53897.04254,18.942,0.016,CSP9844
B,53898.04634,18.96,0.016,CSP9844
B,53905.95731,19.194,0.021,CSP9844
