Filter,MJD,Mag,Sigma,Code
V,53979.39369,15.89041822197612,0.006,CSP9844
V,53981.29737,16.00135584476258,0.008,CSP9844
V,53986.29685,16.293436018430533,0.009,CSP9844
V,53998.29082,17.2141905457223,0.009,CSP9844
V,54001.32572,17.39899170663807,0.009,CSP9844
V,54003.30571,17.487868149468547,0.011,CSP9844
V,54008.2864,17.671917732603106,0.011,CSP9844
V,54014.19538,17.839270624289,0.017,CSP9844
V,54036.21817,18.529,0.013,CSP9844
V,54040.19062,18.608,0.016,CSP9844
r,53979.39369,16.221316239069267,0.005,CSP9844
r,53981.29737,16.32707794576735,0.007,CSP9844
r,53986.29685,16.413761078814453,0.008,CSP9844
r,53998.29082,16.99806780065414,0.006,CSP9844
r,54001.32572,17.202185730418257,0.009,CSP9844
r,54003.30571,17.33428716369434,0.009,CSP9844
r,54008.2864,17.552246516714273,0.009,CSP9844
r,54014.19538,17.815884128501295,0.02,CSP9844
r,54036.21817,18.385,0.009,CSP9844
r,54040.19062,18.489,0.013,CSP9844
i,53979.39369,16.7215520163112,0.007,CSP9844
i,53981.29737,16.818988912693346,0.009,CSP9844
i,53986.29685,16.600471986517434,0.008,CSP9844
i,53998.29082,16.8787498442779,0.008,CSP9844
i,54001.32572,17.11674539514582,0.009,CSP9844
i,54003.30571,17.225247332088188,0.012,CSP9844
i,54008.2864,17.52944698752212,0.01,CSP9844
i,54014.19538,17.84143145136285,0.017,CSP9844
i,54036.21817,18.775,0.017,CSP9844
i,54040.19062,18.921,0.023,CSP9844
B,53979.39369,16.247264403072396,0.012,CSP9844
B,53981.29737,16.494464885549963,0.01,CSP9844
B,53986.29685,17.155803100290722,0.022,CSP9844
B,53998.29082,18.36229911341364,0.018,CSP9844
B,54001.32572,18.527127333978374,0.016,CSP9844
B,54003.30571,18.629222367105214,0.018,CSP9844
B,54008.2864,18.76460417930815,0.018,CSP9844
B,54014.19538,18.84604539378294,0.038,CSP9844
B,54036.21817,19.206,0.02,CSP9844
B,54040.19062,19.272,0.029,CSP9844
