Filter,MJD,Mag,Sigma,Code
V,53979.23385,15.843022508708602,0.007,CSP9844
V,53981.1999,15.893836322226049,0.009,CSP9844
V,53986.16548,16.169061519412104,0.009,CSP9844
V,53998.14956,16.9378599500385,0.009,CSP9844
V,54001.09067,17.17782783368388,0.011,CSP9844
V,54003.09822,17.367853017962315,0.009,CSP9844
V,54008.07491,17.664586284768973,0.011,CSP9844
V,54012.07198,17.82349568520683,0.016,CSP9844
V,54017.22351,18.04423183381708,0.028,CSP9844
V,54018.18458,18.07520774643322,0.015,CSP9844
V,54025.12643,18.289474070064934,0.014,CSP9844
V,54040.10499,18.703,0.021,CSP9844
V,54046.2395,18.885,0.042,CSP9844
r,53979.23385,15.980462261927851,0.006,CSP9844
r,53981.1999,16.089274287132284,0.009,CSP9844
r,53986.16548,16.489263419061057,0.009,CSP9844
r,53998.14956,16.774868060205968,0.006,CSP9844
r,54001.09067,16.976733770552272,0.009,CSP9844
r,54003.09822,17.167430062615747,0.007,CSP9844
r,54008.07491,17.545017563937705,0.01,CSP9844
r,54012.07198,17.727711659438256,0.013,CSP9844
r,54017.22351,17.902598337132396,0.025,CSP9844
r,54018.18458,17.965276995986518,0.01,CSP9844
r,54025.12643,18.219033616395983,0.012,CSP9844
r,54040.10499,18.597,0.016,CSP9844
r,54046.2395,18.816,0.029,CSP9844
i,53979.23385,16.51981165622727,0.007,CSP9844
i,53981.1999,16.610278027766984,0.009,CSP9844
i,53986.16548,16.98289900500642,0.011,CSP9844
i,53998.14956,16.772708498371706,0.009,CSP9844
i,54001.09067,16.88124592660096,0.012,CSP9844
i,54003.09822,17.05787885437422,0.009,CSP9844
i,54008.07491,17.450190653016058,0.01,CSP9844
i,54012.07198,17.723594750831342,0.016,CSP9844
i,54017.22351,18.041214654887312,0.037,CSP9844
i,54018.18458,18.143092150163003,0.013,CSP9844
i,54025.12643,18.40118974823968,0.016,CSP9844
i,54040.10499,19.094,0.027,CSP9844
i,54046.2395,19.344,0.063,CSP9844
B,53981.1999,16.112195590584967,0.008,CSP9844
B,53986.16548,16.58659684457303,0.011,CSP9844
B,53998.14956,18.042264333984363,0.013,CSP9844
B,54001.09067,18.32722458342317,0.014,CSP9844
B,54003.09822,18.484221884592024,0.016,CSP9844
B,54008.07491,18.809845598159285,0.019,CSP9844
B,54012.07198,18.913205029935188,0.043,CSP9844
B,54017.22351,19.0335303615273,0.056,CSP9844
B,54018.18458,19.099690442056474,0.032,CSP9844
B,54025.12643,19.142042950306383,0.018,CSP9844
B,54040.10499,19.417,0.037,CSP9844
B,54046.2395,19.473,0.078,CSP9844
