Filter,MJD,Mag,Sigma,Code
V,53986.19833,16.320122086821502,0.008,CSP9844
V,53988.06848,16.141844971913134,0.007,CSP9844
V,53991.15058,15.924492046683648,0.006,CSP9844
V,53994.22285,15.87732838351395,0.006,CSP9844
V,53998.17876,15.895518747930906,0.005,CSP9844
V,54001.12044,15.989211402504514,0.01,CSP9844
V,54003.13455,16.053363878028247,0.007,CSP9844
V,54007.16093,16.255286819642333,0.008,CSP9844
V,54012.02194,16.538993967879364,0.008,CSP9844
V,54013.11019,16.58436935990562,0.008,CSP9844
V,54017.26615,16.710256654022942,0.015,CSP9844
V,54023.2164,17.123348335925364,0.014,CSP9844
V,54024.05832,17.082409188299664,0.004,CSP9844
V,54025.17127,17.146148714642592,0.009,CSP9844
V,54029.18299,17.4144722929451,0.009,CSP9844
V,54039.16107,17.8650998054268,0.014,CSP9844
V,54044.12241,18.006336276895098,0.033,CSP9844
V,54046.06332,18.041496228913708,0.015,CSP9844
V,54052.09745,18.199904043427537,0.014,CSP9844
V,54060.03541,18.389406320519917,0.015,CSP9844
V,54066.10382,18.581200182824677,0.018,CSP9844
V,54076.05093,18.852,0.02,CSP9844
V,54091.05005,19.19,0.023,CSP9844
r,53983.13341,16.916675168132585,0.014,CSP9844
r,53986.19833,16.382507479017935,0.008,CSP9844
r,53988.06848,16.20168391868176,0.006,CSP9844
r,53991.15058,16.04064004022778,0.007,CSP9844
r,53994.22285,15.973384559717775,0.007,CSP9844
r,53998.17876,16.000658040295306,0.004,CSP9844
r,54001.12044,16.09614161490734,0.006,CSP9844
r,54003.13455,16.189008294699363,0.006,CSP9844
r,54007.16093,16.476620181931107,0.008,CSP9844
r,54012.02194,16.64252538276415,0.006,CSP9844
r,54013.11019,16.661844077541588,0.006,CSP9844
r,54017.26615,16.67849706595537,0.016,CSP9844
r,54023.2164,16.892019485073366,0.011,CSP9844
r,54024.05832,16.821004232430035,0.006,CSP9844
r,54029.18299,17.10353384737428,0.007,CSP9844
r,54033.18696,17.382301265233565,0.011,CSP9844
r,54039.16107,17.662498291133033,0.009,CSP9844
r,54044.12241,17.804772446279976,0.017,CSP9844
r,54046.06332,17.892878295344968,0.011,CSP9844
r,54052.09745,18.076775882351647,0.012,CSP9844
r,54060.03541,18.299369426533566,0.013,CSP9844
r,54066.10382,18.498015559333766,0.013,CSP9844
r,54076.05093,18.62,0.015,CSP9844
r,54091.05005,19.05,0.018,CSP9844
i,53986.19833,16.59950565174368,0.01,CSP9844
i,53988.06848,16.42391776127529,0.008,CSP9844
i,53991.15058,16.38746580427454,0.008,CSP9844
i,53994.22285,16.406378596787803,0.007,CSP9844
i,53998.17876,16.563192708390936,0.006,CSP9844
i,54001.12044,16.641682102433073,0.01,CSP9844
i,54003.13455,16.737289065711952,0.008,CSP9844
i,54007.16093,16.937722605980227,0.01,CSP9844
i,54012.02194,16.941976080160956,0.009,CSP9844
i,54013.11019,16.916686772449665,0.01,CSP9844
i,54017.26615,16.808128394504465,0.016,CSP9844
i,54023.2164,16.882579353462226,0.014,CSP9844
i,54024.05832,16.772532516833543,0.006,CSP9844
i,54029.18299,16.95228341121951,0.009,CSP9844
i,54033.18696,17.211992072780678,0.012,CSP9844
i,54039.16107,17.569692219248655,0.014,CSP9844
i,54044.12241,17.67787882355461,0.023,CSP9844
i,54046.06332,17.90953308226182,0.013,CSP9844
i,54052.09745,18.190631345875964,0.017,CSP9844
i,54060.03541,18.50744211211938,0.02,CSP9844
i,54066.10382,18.70987998675093,0.017,CSP9844
i,54076.05093,19.016,0.022,CSP9844
i,54091.05005,19.454,0.036,CSP9844
B,53986.19833,16.46454337809726,0.009,CSP9844
B,53988.06848,16.277870738878423,0.008,CSP9844
B,53991.15058,16.093333875311544,0.005,CSP9844
B,53994.22285,16.074680600411767,0.007,CSP9844
B,53998.17876,16.20769432915256,0.006,CSP9844
B,54001.12044,16.37214547836532,0.008,CSP9844
B,54003.13455,16.498167124894344,0.008,CSP9844
B,54007.16093,16.82836338765225,0.009,CSP9844
B,54008.13188,16.919549765163186,0.008,CSP9844
B,54012.02194,17.299519265062997,0.013,CSP9844
B,54013.11019,17.418375171765096,0.012,CSP9844
B,54017.26615,17.802630442235454,0.021,CSP9844
B,54023.2164,18.301592662103623,0.011,CSP9844
B,54024.05832,18.34409073736075,0.009,CSP9844
B,54025.17127,18.420796831067598,0.014,CSP9844
B,54029.18299,18.682310602196782,0.014,CSP9844
B,54039.16107,19.05319630420596,0.024,CSP9844
B,54044.12241,19.061253464496545,0.076,CSP9844
B,54046.06332,19.191194570665612,0.025,CSP9844
B,54052.09745,19.299848062071018,0.022,CSP9844
B,54060.03541,19.390575655467373,0.024,CSP9844
B,54066.10382,19.478975007261173,0.026,CSP9844
B,54091.05005,19.734,0.031,CSP9844
B,54099.03654,20.059,0.129,CSP9844
