Filter,MJD,Mag,Sigma,Code
V,53994.07206,17.27430638883107,0.008,CSP9844
V,53998.05023,17.454275770842628,0.008,CSP9844
V,54001.03449,17.654841015834688,0.012,CSP9844
V,54003.05395,17.768916100037114,0.012,CSP9844
V,54007.06774,18.020224178097443,0.011,CSP9844
V,54008.0311,18.046882684293635,0.012,CSP9844
V,54014.03499,18.46956803446215,0.049,CSP9844
V,54018.03914,18.755154812388064,0.019,CSP9844
V,54023.00088,19.076329806911268,0.013,CSP9844
V,54024.00359,19.16753648887606,0.013,CSP9844
V,54025.0346,19.171896694362047,0.025,CSP9844
V,54038.01155,19.57437643953444,0.051,CSP9844
r,53994.07206,17.366994031206232,0.007,CSP9844
r,53998.05023,17.64070084098603,0.007,CSP9844
r,54001.03449,17.855787393655323,0.012,CSP9844
r,54003.05395,17.943638177041272,0.01,CSP9844
r,54007.06774,18.008768383907295,0.01,CSP9844
r,54008.0311,18.027950253036664,0.011,CSP9844
r,54014.03499,18.14835047489604,0.018,CSP9844
r,54018.03914,18.491136352918062,0.016,CSP9844
r,54023.00088,18.831123471321618,0.009,CSP9844
r,54024.00359,18.894345945883217,0.009,CSP9844
r,54025.0346,18.964279706277754,0.017,CSP9844
r,54038.01155,19.420069214415946,0.027,CSP9844
i,53994.07206,17.77508798219506,0.012,CSP9844
i,53998.05023,18.059047741039986,0.013,CSP9844
i,54001.03449,18.246127607461123,0.016,CSP9844
i,54003.05395,18.231970846708542,0.015,CSP9844
i,54007.06774,18.138172523652173,0.015,CSP9844
i,54008.0311,18.109229578137146,0.015,CSP9844
i,54014.03499,18.068128266209683,0.022,CSP9844
i,54018.03914,18.248952405035844,0.017,CSP9844
i,54023.00088,18.646749340449638,0.013,CSP9844
i,54024.00359,18.731099328630627,0.014,CSP9844
i,54025.0346,18.8375977419052,0.026,CSP9844
i,54038.01155,19.57483460367804,0.041,CSP9844
B,53994.07206,17.63021636930751,0.009,CSP9844
B,53998.05023,17.994195446248614,0.01,CSP9844
B,54001.03449,18.32419049483349,0.014,CSP9844
B,54003.05395,18.594383601811405,0.016,CSP9844
B,54007.06774,19.069720058585624,0.02,CSP9844
B,54008.0311,19.166143261982548,0.024,CSP9844
B,54014.03499,19.88481505154222,0.146,CSP9844
B,54018.03914,20.037368048937672,0.044,CSP9844
B,54023.00088,20.285542379513025,0.025,CSP9844
B,54024.00359,20.39610528976,0.028,CSP9844
B,54025.0346,20.4100294847026,0.05,CSP9844
B,54038.01155,20.823935101798945,0.116,CSP9844
