Filter,MJD,Mag,Sigma,Code
V,53998.31932,17.65016262859983,0.01,CSP9844
V,54001.3575,17.57005436017952,0.015,CSP9844
V,54003.38184,17.56077850075897,0.012,CSP9844
V,54007.32367,17.740453231972303,0.012,CSP9844
V,54013.2703,18.16808264626967,0.026,CSP9844
V,54029.25108,19.510853656267884,0.045,CSP9844
V,54036.26381,19.764325276072114,0.041,CSP9844
V,54038.30257,19.966,0.045,CSP9844
V,54039.28978,19.946,0.052,CSP9844
V,54042.19491,20.146,0.082,CSP9844
V,54048.22291,20.349,0.086,CSP9844
V,54052.21572,20.421,0.069,CSP9844
V,54056.17207,20.535,0.066,CSP9844
V,54060.21532,20.596,0.064,CSP9844
V,54066.27314,20.811,0.087,CSP9844
V,54069.15079,20.925,0.112,CSP9844
V,54079.21466,21.224,0.149,CSP9844
V,54084.19787,21.178,0.112,CSP9844
V,54096.09075,21.786,0.233,CSP9844
r,53998.31932,17.60681187298993,0.008,CSP9844
r,54001.3575,17.543714641052468,0.012,CSP9844
r,54003.38184,17.55143232472885,0.009,CSP9844
r,54007.32367,17.82503025451429,0.011,CSP9844
r,54013.2703,18.131694403036345,0.014,CSP9844
r,54029.25108,19.114189236113116,0.017,CSP9844
r,54036.26381,19.429993563767653,0.024,CSP9844
r,54038.30257,19.469,0.029,CSP9844
r,54039.28978,19.451,0.022,CSP9844
r,54042.19491,19.585,0.035,CSP9844
r,54048.22291,19.798,0.047,CSP9844
r,54052.21572,19.927,0.034,CSP9844
r,54056.17207,20.119,0.049,CSP9844
r,54060.21532,20.227,0.04,CSP9844
r,54066.27314,20.502,0.06,CSP9844
r,54069.15079,20.534,0.068,CSP9844
r,54079.21466,21.051,0.115,CSP9844
r,54084.19787,21.191,0.094,CSP9844
r,54096.09075,21.619,0.174,CSP9844
i,53998.31932,17.718580483735593,0.013,CSP9844
i,54001.3575,17.737252834189782,0.015,CSP9844
i,54003.38184,17.755037196975476,0.017,CSP9844
i,54007.32367,18.034245909201296,0.015,CSP9844
i,54013.2703,18.109931802064057,0.017,CSP9844
i,54029.25108,18.856751189981033,0.023,CSP9844
i,54036.26381,19.312625584348034,0.036,CSP9844
i,54038.30257,19.431,0.04,CSP9844
i,54039.28978,19.467,0.036,CSP9844
i,54042.19491,19.579,0.047,CSP9844
i,54048.22291,19.899,0.052,CSP9844
i,54052.21572,19.973,0.043,CSP9844
i,54056.17207,20.15,0.061,CSP9844
i,54060.21532,20.187,0.058,CSP9844
i,54066.27314,20.576,0.105,CSP9844
i,54069.15079,20.481,0.089,CSP9844
i,54079.21466,20.885,0.153,CSP9844
i,54084.19787,21.171,0.168,CSP9844
i,54096.09075,21.407,0.204,CSP9844
B,53998.31932,18.02227135037543,0.012,CSP9844
B,54001.3575,18.004325571800493,0.014,CSP9844
B,54003.38184,18.130836842286136,0.014,CSP9844
B,54007.32367,18.5363313293549,0.02,CSP9844
B,54013.2703,19.370288968351957,0.06,CSP9844
B,54029.25108,20.914495980796012,0.131,CSP9844
B,54036.26381,21.15087372695124,0.126,CSP9844
B,54038.30257,21.289,0.122,CSP9844
B,54039.28978,21.355,0.184,CSP9844
B,54042.19491,21.369,0.254,CSP9844
B,54048.22291,21.412,0.247,CSP9844
B,54052.21572,21.603,0.166,CSP9844
B,54056.17207,21.268,0.109,CSP9844
B,54060.21532,21.677,0.174,CSP9844
B,54066.27314,21.664,0.141,CSP9844
B,54069.15079,21.544,0.163,CSP9844
B,54079.21466,22.084,0.279,CSP9844
B,54084.19787,21.773,0.132,CSP9844
B,54096.09075,22.358,0.281,CSP9844
