Filter,MJD,Mag,Sigma,Code
V,54013.30649,15.933385662985955,0.005,CSP9844
V,54014.34893,15.985099785306318,0.009,CSP9844
V,54017.35022,16.25250286105097,0.011,CSP9844
V,54018.34435,16.321879967027918,0.007,CSP9844
V,54020.37258,16.487022693089244,0.009,CSP9844
V,54025.32801,16.871506265735853,0.008,CSP9844
V,54029.31922,17.196602458122157,0.009,CSP9844
V,54038.33992,17.593645786294115,0.01,CSP9844
V,54042.28892,17.837,0.013,CSP9844
V,54049.30913,18.01,0.015,CSP9844
V,54068.2856,18.534,0.016,CSP9844
V,54076.23046,18.723,0.024,CSP9844
V,54085.19623,18.975,0.019,CSP9844
V,54091.26308,19.106,0.022,CSP9844
V,54096.18247,19.238,0.022,CSP9844
V,54099.16328,19.389,0.068,CSP9844
V,54104.2437,19.331,0.071,CSP9844
V,54108.20787,19.539,0.034,CSP9844
V,54119.1474,19.778,0.032,CSP9844
V,54121.14554,19.817,0.034,CSP9844
V,54125.1025,19.916,0.038,CSP9844
V,54133.12152,19.968,0.105,CSP9844
V,54136.14716,19.955,0.062,CSP9844
V,54143.08069,20.245,0.044,CSP9844
r,54013.30649,16.088759982246426,0.005,CSP9844
r,54017.35022,16.238196560487886,0.012,CSP9844
r,54018.34435,16.270489429266746,0.008,CSP9844
r,54020.37258,16.327714186459502,0.007,CSP9844
r,54025.32801,16.6573666947018,0.006,CSP9844
r,54029.31922,17.02270103128289,0.008,CSP9844
r,54038.33992,17.498155839834382,0.009,CSP9844
r,54040.29174,17.607230710385068,0.012,CSP9844
r,54042.28892,17.574,0.01,CSP9844
r,54049.30913,17.839,0.011,CSP9844
r,54068.2856,18.534,0.016,CSP9844
r,54076.23046,18.8,0.018,CSP9844
r,54085.19623,19.154,0.019,CSP9844
r,54091.26308,19.374,0.022,CSP9844
r,54096.18247,19.555,0.018,CSP9844
r,54099.16328,19.668,0.034,CSP9844
r,54104.2437,19.789,0.067,CSP9844
r,54108.20787,19.996,0.04,CSP9844
r,54119.1474,20.307,0.039,CSP9844
r,54121.14554,20.322,0.035,CSP9844
r,54125.1025,20.459,0.047,CSP9844
r,54131.17299,20.652,0.082,CSP9844
r,54133.12152,20.568,0.111,CSP9844
r,54136.14716,20.637,0.08,CSP9844
r,54143.08069,20.938,0.068,CSP9844
i,54013.30649,16.250281345960836,0.007,CSP9844
i,54017.35022,16.227110714167924,0.018,CSP9844
i,54018.34435,16.2709718604071,0.011,CSP9844
i,54020.37258,16.277512634620695,0.009,CSP9844
i,54025.32801,16.3910357335167,0.008,CSP9844
i,54029.31922,16.842429765535776,0.009,CSP9844
i,54038.33992,17.53712542457992,0.01,CSP9844
i,54040.29174,17.65237233883732,0.015,CSP9844
i,54042.28892,17.667,0.014,CSP9844
i,54049.30913,17.967,0.014,CSP9844
i,54068.2856,18.685,0.018,CSP9844
i,54076.23046,18.91,0.026,CSP9844
i,54085.19623,19.193,0.024,CSP9844
i,54091.26308,19.417,0.032,CSP9844
i,54096.18247,19.51,0.03,CSP9844
i,54099.16328,19.615,0.043,CSP9844
i,54104.2437,19.7,0.071,CSP9844
i,54108.20787,19.842,0.042,CSP9844
i,54119.1474,20.066,0.057,CSP9844
i,54121.14554,20.208,0.065,CSP9844
i,54125.1025,20.201,0.052,CSP9844
i,54131.17299,20.399,0.074,CSP9844
i,54133.12152,20.278,0.103,CSP9844
i,54136.14716,20.448,0.086,CSP9844
i,54143.08069,20.551,0.063,CSP9844
B,54013.30649,16.669265712886492,0.007,CSP9844
B,54014.34893,16.81011550486077,0.008,CSP9844
B,54017.35022,17.25521477523894,0.012,CSP9844
B,54018.34435,17.372681824154938,0.01,CSP9844
B,54020.37258,17.61512737409906,0.009,CSP9844
B,54025.32801,18.056214768372666,0.009,CSP9844
B,54029.31922,18.308098623245428,0.012,CSP9844
B,54038.33992,18.67279025121745,0.013,CSP9844
B,54042.28892,18.741,0.018,CSP9844
B,54049.30913,18.926,0.018,CSP9844
B,54068.2856,19.272,0.018,CSP9844
B,54076.23046,19.439,0.047,CSP9844
B,54085.19623,19.585,0.023,CSP9844
B,54091.26308,19.645,0.025,CSP9844
B,54096.18247,19.728,0.028,CSP9844
B,54099.16328,19.788,0.055,CSP9844
B,54104.2437,19.727,0.091,CSP9844
B,54108.20787,19.919,0.033,CSP9844
B,54119.1474,20.141,0.023,CSP9844
B,54121.14554,20.197,0.027,CSP9844
B,54125.1025,20.303,0.028,CSP9844
B,54133.12152,20.44,0.133,CSP9844
B,54136.14716,20.351,0.064,CSP9844
B,54143.08069,20.615,0.033,CSP9844
