Filter,MJD,Mag,Sigma,Code
V,54036.30016,16.925396085444284,0.007,CSP9844
V,54038.26588,16.72724802092292,0.007,CSP9844
V,54039.23876,16.671217106419817,0.007,CSP9844
V,54042.22302,16.605408215945154,0.009,CSP9844
V,54048.26265,16.749194343365772,0.007,CSP9844
V,54052.26575,17.05584153025775,0.007,CSP9844
V,54056.20111,17.349665974945246,0.008,CSP9844
V,54060.17436,17.628653315818696,0.009,CSP9844
V,54065.20214,18.013219406905236,0.012,CSP9844
V,54068.20135,18.254603723766444,0.017,CSP9844
V,54069.19648,18.351091365805544,0.017,CSP9844
V,54075.19124,18.648030810721274,0.033,CSP9844
V,54080.20086,18.79041587452542,0.023,CSP9844
V,54084.13564,19.019,0.017,CSP9844
V,54087.15745,19.133,0.017,CSP9844
V,54091.17336,19.248,0.022,CSP9844
V,54096.11748,19.378,0.032,CSP9844
V,54102.12904,19.553,0.098,CSP9844
V,54119.09634,19.982,0.028,CSP9844
V,54127.1274,20.254,0.06,CSP9844
r,54036.30016,16.837905063357475,0.007,CSP9844
r,54038.26588,16.685011742686502,0.007,CSP9844
r,54039.23876,16.66300688845982,0.006,CSP9844
r,54042.22302,16.632972912456164,0.007,CSP9844
r,54048.26265,16.915500355802575,0.006,CSP9844
r,54052.26575,17.196389998737324,0.008,CSP9844
r,54056.20111,17.320253593414588,0.006,CSP9844
r,54060.17436,17.40959698349989,0.009,CSP9844
r,54065.20214,17.76747710919023,0.01,CSP9844
r,54068.20135,18.03710054000401,0.011,CSP9844
r,54069.19648,18.11691142438314,0.012,CSP9844
r,54075.19124,18.420166832881094,0.015,CSP9844
r,54080.20086,18.63386259660019,0.016,CSP9844
r,54084.13564,18.741,0.014,CSP9844
r,54087.15745,18.841,0.013,CSP9844
r,54091.17336,18.992,0.018,CSP9844
r,54096.11748,19.146,0.026,CSP9844
r,54102.12904,19.403,0.072,CSP9844
r,54119.09634,19.945,0.026,CSP9844
r,54123.15767,20.09,0.04,CSP9844
r,54127.1274,20.378,0.067,CSP9844
i,54036.30016,16.980740871394374,0.007,CSP9844
i,54038.26588,16.903549823459333,0.009,CSP9844
i,54039.23876,16.87511997341023,0.008,CSP9844
i,54042.22302,16.934590762437058,0.009,CSP9844
i,54048.26265,17.269537230657754,0.009,CSP9844
i,54052.26575,17.40471053828933,0.009,CSP9844
i,54056.20111,17.296185581360312,0.009,CSP9844
i,54060.17436,17.274330499919582,0.01,CSP9844
i,54065.20214,17.441933115544913,0.013,CSP9844
i,54068.20135,17.73892771623853,0.013,CSP9844
i,54069.19648,17.855754129087483,0.012,CSP9844
i,54075.19124,18.28969933193646,0.02,CSP9844
i,54080.20086,18.624217588497647,0.022,CSP9844
i,54084.13564,18.774,0.019,CSP9844
i,54087.15745,18.938,0.02,CSP9844
i,54091.17336,19.117,0.024,CSP9844
i,54096.11748,19.365,0.036,CSP9844
i,54102.12904,19.48,0.086,CSP9844
i,54119.09634,20.242,0.05,CSP9844
i,54127.1274,20.439,0.11,CSP9844
B,54036.30016,17.115230520007543,0.007,CSP9844
B,54038.26588,16.94152538034227,0.007,CSP9844
B,54039.23876,16.875834874453812,0.007,CSP9844
B,54042.22302,16.860050038691554,0.009,CSP9844
B,54048.26265,17.29091273839859,0.009,CSP9844
B,54052.26575,17.82930615888856,0.009,CSP9844
B,54056.20111,18.397117992246383,0.01,CSP9844
B,54060.17436,18.888138917856505,0.014,CSP9844
B,54065.20214,19.393051488658365,0.023,CSP9844
B,54068.20135,19.57411754923498,0.041,CSP9844
B,54069.19648,19.58905950755971,0.035,CSP9844
B,54075.19124,19.74146822648298,0.092,CSP9844
B,54080.20086,20.091448537770034,0.054,CSP9844
B,54084.13564,20.155,0.039,CSP9844
B,54087.15745,20.233,0.038,CSP9844
B,54091.17336,20.194,0.04,CSP9844
B,54096.11748,20.311,0.072,CSP9844
B,54102.12904,20.223,0.15,CSP9844
B,54119.09634,20.868,0.049,CSP9844
B,54127.1274,21.136,0.176,CSP9844
