Filter,MJD,Mag,Sigma,Code
V,54040.3211,17.941379833232176,0.01,CSP9844
V,54042.32148,18.003677689524494,0.011,CSP9844
V,54046.27243,18.18215878334746,0.022,CSP9844
V,54048.37585,18.205641001794675,0.034,CSP9844
V,54056.32021,18.766231154859806,0.015,CSP9844
V,54060.35134,18.928563198665266,0.019,CSP9844
V,54065.32933,19.190362485252916,0.023,CSP9844
V,54068.33083,19.340633853335802,0.027,CSP9844
V,54071.31134,19.510369837449144,0.025,CSP9844
V,54073.32706,19.537651228396612,0.04,CSP9844
V,54076.32536,19.61763014511228,0.056,CSP9844
V,54084.25591,19.934126380893183,0.034,CSP9844
V,54087.28105,20.08594105323141,0.027,CSP9844
V,54091.34277,20.23693300031443,0.035,CSP9844
V,54099.34531,20.39207043265986,0.03,CSP9844
V,54100.29911,20.415158216906427,0.04,CSP9844
V,54104.29859,20.391301194812478,0.081,CSP9844
V,54106.28247,20.50322307108346,0.076,CSP9844
V,54110.30051,20.623,0.081,CSP9844
V,54112.35057,20.741,0.037,CSP9844
V,54121.27083,20.918,0.036,CSP9844
V,54125.2998,20.956,0.042,CSP9844
V,54131.24436,21.029,0.065,CSP9844
r,54040.3211,18.056794743608503,0.009,CSP9844
r,54042.32148,18.122687271053152,0.012,CSP9844
r,54044.365,18.19038597804917,0.021,CSP9844
r,54046.27243,18.315632845252175,0.02,CSP9844
r,54056.32021,18.80920979430301,0.011,CSP9844
r,54060.35134,19.025228255240407,0.027,CSP9844
r,54065.32933,19.243699030173715,0.025,CSP9844
r,54068.33083,19.411332214714314,0.025,CSP9844
r,54071.31134,19.584268472455516,0.015,CSP9844
r,54073.32706,19.704470365013194,0.024,CSP9844
r,54076.32536,19.810136258984706,0.03,CSP9844
r,54084.25591,20.09852824116423,0.025,CSP9844
r,54087.28105,20.186690468682187,0.021,CSP9844
r,54091.34277,20.28330821280856,0.028,CSP9844
r,54099.34531,20.430096873667594,0.061,CSP9844
r,54100.29911,20.517231588410922,0.024,CSP9844
r,54104.29859,20.590973440962514,0.055,CSP9844
r,54106.28247,20.723240473431954,0.041,CSP9844
r,54110.30051,20.629,0.489,CSP9844
r,54121.27083,20.749,0.028,CSP9844
r,54125.2998,20.886,0.035,CSP9844
r,54130.21164,20.982,0.051,CSP9844
r,54131.24436,21.033,0.056,CSP9844
i,54040.3211,18.725063451843674,0.017,CSP9844
i,54042.32148,18.808996956848056,0.02,CSP9844
i,54044.365,18.883801445087816,0.046,CSP9844
i,54046.27243,18.80509359735018,0.036,CSP9844
i,54056.32021,18.94703785460082,0.019,CSP9844
i,54060.35134,18.78200713031171,0.147,CSP9844
i,54065.32933,18.996819852651747,0.066,CSP9844
i,54068.33083,18.953795531400473,0.051,CSP9844
i,54071.31134,19.163247476510026,0.024,CSP9844
i,54073.32706,19.172601918026473,0.044,CSP9844
i,54076.32536,19.450707552526612,0.04,CSP9844
i,54084.25591,19.91809571739902,0.043,CSP9844
i,54087.28105,20.147089008555618,0.036,CSP9844
i,54091.34277,20.239632247781948,0.06,CSP9844
i,54099.34531,20.530782340758904,0.236,CSP9844
i,54100.29911,20.643210064227873,0.058,CSP9844
i,54104.29859,20.931451879764886,0.089,CSP9844
i,54106.28247,20.89226432135478,0.076,CSP9844
i,54121.27083,21.245,0.068,CSP9844
i,54125.2998,21.202,0.094,CSP9844
i,54130.21164,21.15,0.126,CSP9844
B,54040.3211,18.112529608821557,0.011,CSP9844
B,54042.32148,18.229825363637552,0.01,CSP9844
B,54046.27243,18.373095894666506,0.028,CSP9844
B,54052.32707,19.09686227496493,0.02,CSP9844
B,54056.32021,19.494527136360524,0.024,CSP9844
B,54060.35134,19.957888929113523,0.047,CSP9844
B,54065.32933,20.33609335782261,0.03,CSP9844
B,54068.33083,20.52227759096263,0.031,CSP9844
B,54071.31134,20.611300617693644,0.033,CSP9844
B,54073.32706,20.5631979327034,0.065,CSP9844
B,54076.32536,20.644607399908686,0.118,CSP9844
B,54084.25591,21.011773351284234,0.055,CSP9844
B,54085.31376,21.105608834483114,0.075,CSP9844
B,54087.28105,21.135080799188554,0.039,CSP9844
B,54099.34531,21.243305032825617,0.056,CSP9844
B,54100.29911,21.279087965438745,0.051,CSP9844
B,54104.29859,21.23988792848616,0.206,CSP9844
B,54106.28247,21.120653251889284,0.134,CSP9844
B,54110.30051,21.538,0.113,CSP9844
B,54112.35057,21.57,0.088,CSP9844
B,54121.27083,21.66,0.073,CSP9844
B,54125.2998,21.739,0.06,CSP9844
