Filter,MJD,Mag,Sigma
i,54046.16501,15.4964018047,0.008
i,54048.29948,14.9716739604,0.006
i,54049.20598,14.8254543221,0.011
i,54052.24351,14.5560302734,0.013
i,54056.23198,14.5465154658,0.008
i,54060.25838,14.8283219572,0.015
i,54065.24617,15.3380220295,0.013
i,54066.31424,15.4491140062,0.009
i,54068.25035,15.5765947581,0.014
i,54071.15779,15.8280516227,0.018
i,54073.21282,15.9565824117,0.012
i,54076.20914,16.1599388659,0.016
i,54080.25767,16.3955130434,0.011
i,54084.16336,16.5897032351,0.012
i,54087.11973,16.7269039783,0.025
i,54092.15775,16.959,0.028
i,54096.14568,17.072,0.021
i,54099.11396,17.18,0.018
i,54100.13156,17.242,0.014
i,54104.21454,17.355,0.022
i,54106.14052,17.429,0.021
i,54108.14292,17.497,0.035
i,54110.08657,17.556,0.033
i,54118.16719,17.722,0.037
i,54123.11705,17.878,0.038
i,54130.05575,18.109,0.039
i,54133.09138,18.187,0.039
i,54136.1166,18.258,0.044
i,54143.05057,18.493,0.058
i,54147.05626,18.731,0.061
r,54046.16501,15.4850615069,0.007
r,54048.29948,14.8900540692,0.004
r,54049.20598,14.712000613,0.013
r,54052.24351,14.4154606569,0.016
r,54056.23198,14.4971865788,0.008
r,54060.25838,14.901338327,0.014
r,54065.24617,15.4728693134,0.011
r,54066.31424,15.5744695853,0.009
r,54068.25035,15.727833304,0.016
r,54071.15779,15.9719731542,0.013
r,54073.21282,16.1199861639,0.009
r,54076.20914,16.3202798326,0.009
r,54080.25767,16.58310518,0.011
r,54084.16336,16.8373513507,0.013
r,54087.11973,16.9867428314,0.026
r,54092.15775,17.26,0.029
r,54096.14568,17.58,0.029
r,54099.11396,17.698,0.018
r,54100.13156,17.76,0.021
r,54104.21454,17.987,0.024
r,54106.14052,18.118,0.024
r,54108.14292,18.182,0.037
r,54110.08657,18.316,0.062
r,54118.16719,18.923,0.063
r,54123.11705,18.919,0.055
r,54127.17801,19.125,0.083
r,54130.05575,19.418,0.084
r,54133.09138,19.637,0.095
r,54136.1166,19.566,0.079
r,54143.05057,19.952,0.114
r,54147.05626,20.198,0.127
B,54046.16501,16.0536120494,0.011
B,54048.29948,15.5738598423,0.006
B,54049.20598,15.4610786715,0.012
B,54052.24351,15.5135322262,0.012
B,54056.23198,16.2164838863,0.009
B,54060.25838,16.8237949589,0.025
B,54065.24617,17.203911644,0.027
B,54066.31424,17.250140875,0.029
B,54068.25035,17.3808545924,0.027
B,54071.15779,17.5144539498,0.025
B,54073.21282,17.5873433627,0.019
B,54076.20914,17.7030515289,0.022
B,54080.25767,17.8165860938,0.022
B,54084.16336,17.9452622884,0.043
B,54087.11973,18.0365198346,0.044
B,54092.15775,18.211,0.061
B,54096.14568,18.317,0.039
B,54099.11396,18.411,0.024
B,54100.13156,18.436,0.04
B,54104.21454,18.452,0.033
B,54106.14052,18.581,0.03
B,54108.14292,18.64,0.065
B,54110.08657,18.715,0.08
B,54118.16719,18.816,0.039
B,54123.11705,19.089,0.048
B,54127.17801,19.204,0.045
B,54130.05575,19.485,0.178
B,54133.09138,19.373,0.067
B,54136.1166,19.126,0.066
B,54143.05057,19.663,0.102
B,54147.05626,19.915,0.084
V,54046.16501,15.5465339689,0.011
V,54048.29948,14.9845186846,0.006
V,54049.20598,14.8126722402,0.014
V,54052.24351,14.602830288,0.01
V,54056.23198,14.9002013709,0.006
V,54060.25838,15.3987311968,0.024
V,54065.24617,15.8842088363,0.022
V,54066.31424,15.9648803491,0.015
V,54068.25035,16.0807996699,0.021
V,54071.15779,16.2719844425,0.019
V,54073.21282,16.3973134783,0.013
V,54076.20914,16.5510184487,0.016
V,54080.25767,16.7594459585,0.014
V,54084.16336,16.9284385611,0.021
V,54087.11973,17.032516361,0.044
V,54092.15775,17.276,0.043
V,54096.14568,17.453,0.029
V,54099.11396,17.591,0.016
V,54100.13156,17.593,0.033
V,54104.21454,17.716,0.02
V,54106.14052,17.804,0.022
V,54108.14292,17.886,0.051
V,54110.08657,18.035,0.063
V,54118.16719,18.28,0.032
V,54123.11705,18.481,0.058
V,54127.17801,18.705,0.057
V,54130.05575,18.852,0.06
V,54133.09138,18.913,0.068
V,54136.1166,18.945,0.056
V,54143.05057,19.221,0.131
V,54147.05626,19.424,0.087
