Filter,MJD,Mag,Sigma,Code
V,54060.12911,18.434602055353466,0.014,CSP9844
V,54065.06558,18.298195691840768,0.012,CSP9844
V,54073.09504,18.668284315278818,0.026,CSP9844
V,54075.10564,18.789754210944487,0.027,CSP9844
V,54079.13473,19.0833102221144,0.025,CSP9844
V,54084.05179,19.41899935257682,0.042,CSP9844
V,54087.05476,19.71451171788847,0.038,CSP9844
V,54092.06575,20.144164910350256,0.045,CSP9844
V,54100.03799,20.52377807864844,0.244,CSP9844
V,54104.04623,20.643824655977827,0.114,CSP9844
V,54108.05758,20.725598763574183,0.052,CSP9844
V,54112.05912,20.722528314133253,0.057,CSP9844
V,54121.05617,21.041,0.124,CSP9844
r,54060.12911,18.575266080826857,0.013,CSP9844
r,54065.06558,18.416539570741417,0.011,CSP9844
r,54073.09504,18.760025381017485,0.024,CSP9844
r,54075.10564,18.92745981368546,0.022,CSP9844
r,54079.13473,19.12994657266089,0.015,CSP9844
r,54084.05179,19.500289344379773,0.025,CSP9844
r,54087.05476,19.78842963934447,0.024,CSP9844
r,54092.06575,20.168825518081732,0.031,CSP9844
r,54100.03799,20.463277100424413,0.101,CSP9844
r,54104.04623,20.713787558593516,0.061,CSP9844
r,54108.05758,20.740365308625876,0.029,CSP9844
r,54112.05912,20.847901966290916,0.04,CSP9844
r,54121.05617,20.661,0.063,CSP9844
i,54060.12911,18.64395495473363,0.018,CSP9844
i,54065.06558,18.546113157908515,0.021,CSP9844
i,54073.09504,18.990676142493516,0.038,CSP9844
i,54075.10564,19.20122923406309,0.033,CSP9844
i,54079.13473,19.168301083099617,0.031,CSP9844
i,54084.05179,19.329453961274915,0.04,CSP9844
i,54087.05476,19.570086576977815,0.028,CSP9844
i,54092.06575,20.06086376783091,0.041,CSP9844
i,54100.03799,20.364866211645374,0.136,CSP9844
i,54104.04623,20.57561098733667,0.081,CSP9844
i,54108.05758,20.82469442872163,0.062,CSP9844
i,54112.05912,20.828164608538195,0.09,CSP9844
i,54121.05617,20.846,0.117,CSP9844
B,54060.12911,18.487284805984082,0.012,CSP9844
B,54065.06558,18.42812330289025,0.013,CSP9844
B,54073.09504,19.09226701195673,0.052,CSP9844
B,54075.10564,19.37189532870265,0.046,CSP9844
B,54079.13473,19.91127295792934,0.038,CSP9844
B,54084.05179,20.42651212604529,0.084,CSP9844
B,54087.05476,20.83754993166585,0.05,CSP9844
B,54092.06575,21.038414563374978,0.063,CSP9844
B,54100.03799,21.34453688957321,0.272,CSP9844
B,54104.04623,21.33648395946284,0.242,CSP9844
B,54108.05758,21.663445092918757,0.11,CSP9844
B,54112.05912,21.763180591693445,0.104,CSP9844
B,54121.05617,22.213,0.23,CSP9844
