Filter,MJD,Mag,Sigma,Code
V,54066.17714,17.692803505443955,0.009,CSP9844
V,54069.1081,17.715299076739143,0.012,CSP9844
V,54073.13417,17.869448395310954,0.022,CSP9844
V,54075.13391,18.020898446527603,0.019,CSP9844
V,54080.14859,18.273937593219763,0.013,CSP9844
V,54084.1088,18.506468716926648,0.016,CSP9844
V,54087.08792,18.623020169333643,0.016,CSP9844
V,54091.0872,18.880310439674457,0.02,CSP9844
V,54096.0626,19.20693015387222,0.041,CSP9844
V,54105.08807,19.537893357686414,0.051,CSP9844
V,54108.09927,19.651872576039235,0.031,CSP9844
V,54121.09785,19.99660086207574,0.041,CSP9844
V,54128.05898,20.26822544217155,0.106,CSP9844
V,54133.05395,20.447900726842335,0.192,CSP9844
r,54066.17714,17.633063149556623,0.007,CSP9844
r,54069.1081,17.67296795693327,0.01,CSP9844
r,54073.13417,17.884760579567832,0.016,CSP9844
r,54075.13391,18.027739175254066,0.012,CSP9844
r,54080.14859,18.232708891062472,0.01,CSP9844
r,54084.1088,18.28615850415529,0.011,CSP9844
r,54087.08792,18.331274306152554,0.012,CSP9844
r,54091.0872,18.48858432903743,0.012,CSP9844
r,54096.0626,18.818252338022333,0.017,CSP9844
r,54105.08807,19.261834817593662,0.021,CSP9844
r,54108.09927,19.439013627146274,0.015,CSP9844
r,54121.09785,19.806833622675285,0.023,CSP9844
r,54128.05898,20.16799840653567,0.052,CSP9844
r,54133.05395,20.37111628691856,0.075,CSP9844
i,54066.17714,17.995931989446397,0.012,CSP9844
i,54069.1081,18.007860465396995,0.014,CSP9844
i,54073.13417,18.20013960331649,0.027,CSP9844
i,54075.13391,18.283868231705917,0.021,CSP9844
i,54080.14859,18.320962424212592,0.018,CSP9844
i,54084.1088,18.228869658165756,0.017,CSP9844
i,54087.08792,18.199172951492045,0.017,CSP9844
i,54091.0872,18.19817379997769,0.015,CSP9844
i,54096.0626,18.427790974867033,0.03,CSP9844
i,54105.08807,19.01926911868845,0.025,CSP9844
i,54108.09927,19.178442517147282,0.028,CSP9844
i,54121.09785,19.810777507111617,0.048,CSP9844
i,54128.05898,20.04176506000168,0.071,CSP9844
i,54133.05395,20.43170462240921,0.112,CSP9844
B,54066.17714,18.21327803217417,0.012,CSP9844
B,54069.1081,18.30314664337919,0.018,CSP9844
B,54073.13417,18.64012459478143,0.053,CSP9844
B,54075.13391,18.84359848127925,0.041,CSP9844
B,54080.14859,19.391560839390188,0.027,CSP9844
B,54084.1088,19.82158801734036,0.034,CSP9844
B,54087.08792,20.130970743034233,0.038,CSP9844
B,54091.0872,20.48673939216804,0.067,CSP9844
B,54096.0626,20.557249001106022,0.089,CSP9844
B,54105.08807,21.2572016776453,0.199,CSP9844
B,54108.09927,21.357896933697287,0.115,CSP9844
B,54121.09785,21.823226272284757,0.155,CSP9844
