Filter,MJD,Mag,Sigma,Code
V,54065.15843,17.87201288943852,0.014,CSP9844
V,54066.20581,17.906810055215317,0.013,CSP9844
V,54069.065,17.97996432048761,0.015,CSP9844
V,54071.12508,18.046753795066856,0.016,CSP9844
V,54073.1353,18.107297992094846,0.017,CSP9844
V,54075.162,18.192595208667047,0.017,CSP9844
V,54079.17918,18.385419422820213,0.017,CSP9844
V,54084.08135,18.646595433714296,0.023,CSP9844
V,54091.13045,19.02186387591479,0.025,CSP9844
V,54096.03434,19.34975068973396,0.048,CSP9844
V,54099.06512,19.400534699398108,0.056,CSP9844
V,54106.07242,19.71218985014668,0.05,CSP9844
V,54112.15036,19.745094028753698,0.049,CSP9844
V,54119.05341,19.911856035504513,0.034,CSP9844
V,54123.0716,20.03903367900667,0.05,CSP9844
V,54127.06969,20.011392130243244,0.052,CSP9844
V,54131.10441,20.035223125936838,0.066,CSP9844
r,54065.15843,18.173704553295536,0.013,CSP9844
r,54066.20581,18.130106403115978,0.012,CSP9844
r,54069.065,18.121019121822627,0.014,CSP9844
r,54071.12508,18.200976857877748,0.014,CSP9844
r,54073.1353,18.24793338291373,0.014,CSP9844
r,54075.162,18.279080801673498,0.015,CSP9844
r,54079.17918,18.4734587800814,0.013,CSP9844
r,54084.08135,18.677363015036136,0.017,CSP9844
r,54091.13045,19.122271537624577,0.02,CSP9844
r,54096.03434,19.41764337385296,0.022,CSP9844
r,54099.06512,19.555030344928184,0.029,CSP9844
r,54106.07242,19.773385118827495,0.028,CSP9844
r,54112.15036,19.90842668415857,0.03,CSP9844
r,54119.05341,20.01835743738966,0.025,CSP9844
r,54123.0716,20.092154520073784,0.025,CSP9844
r,54127.06969,20.159451677765432,0.032,CSP9844
i,54065.15843,18.35344847765387,0.017,CSP9844
i,54066.20581,18.345010419451306,0.016,CSP9844
i,54069.065,18.338673615468664,0.017,CSP9844
i,54071.12508,18.448845809170464,0.021,CSP9844
i,54073.1353,18.45198941772275,0.021,CSP9844
i,54075.162,18.55998249347557,0.022,CSP9844
i,54079.17918,18.585349895488964,0.021,CSP9844
i,54084.08135,18.442593976119472,0.022,CSP9844
i,54091.13045,18.5742784533867,0.023,CSP9844
i,54096.03434,18.71201013061004,0.025,CSP9844
i,54099.06512,18.914913095909192,0.03,CSP9844
i,54106.07242,19.17668026027423,0.033,CSP9844
i,54112.15036,19.40767360190444,0.049,CSP9844
i,54119.05341,19.711232675275436,0.032,CSP9844
i,54123.0716,19.78006960237545,0.035,CSP9844
i,54127.06969,20.014342538027357,0.052,CSP9844
B,54065.15843,18.16137447440265,0.017,CSP9844
B,54066.20581,18.185429583303293,0.012,CSP9844
B,54069.065,18.286115552262558,0.018,CSP9844
B,54071.12508,18.444121218828368,0.019,CSP9844
B,54073.1353,18.567960729132682,0.029,CSP9844
B,54075.162,18.757331340975433,0.03,CSP9844
B,54079.17918,19.063604772474758,0.025,CSP9844
B,54084.08135,19.478002512327173,0.027,CSP9844
B,54091.13045,20.075867359079133,0.049,CSP9844
B,54096.03434,20.309003117530416,0.077,CSP9844
B,54099.06512,20.56781967489119,0.14,CSP9844
B,54106.07242,20.68805341949603,0.08,CSP9844
B,54112.15036,20.829241072331,0.077,CSP9844
B,54119.05341,20.878143494453333,0.051,CSP9844
B,54123.0716,20.810277429008426,0.063,CSP9844
B,54127.06969,20.930705395152895,0.085,CSP9844
B,54131.10441,20.92597435822665,0.19,CSP9844
