Filter,MJD,Mag,Sigma,Code
V,54069.01665,18.052981590653925,0.018,CSP9844
V,54073.01406,18.10631029694125,0.034,CSP9844
V,54075.05188,18.08562185708148,0.016,CSP9844
V,54080.02175,18.219066861762936,0.023,CSP9844
V,54084.01659,18.52113359058778,0.019,CSP9844
V,54087.02709,18.66003988625479,0.014,CSP9844
r,54069.01665,18.18878568175398,0.013,CSP9844
r,54073.01406,18.163797080256163,0.015,CSP9844
r,54075.05188,18.186959786027984,0.012,CSP9844
r,54080.02175,18.355173934838486,0.01,CSP9844
r,54084.01659,18.59748375853153,0.021,CSP9844
r,54087.02709,18.768333592571118,0.015,CSP9844
r,54091.02821,18.88201855611706,0.019,CSP9844
i,54069.01665,18.392452247751596,0.024,CSP9844
i,54073.01406,18.348848493823922,0.035,CSP9844
i,54075.05188,18.354720002363308,0.022,CSP9844
i,54080.02175,18.683431514086166,0.02,CSP9844
i,54084.01659,18.92684943237999,0.051,CSP9844
i,54087.02709,19.041714399479062,0.031,CSP9844
i,54091.02821,19.111744579634976,0.035,CSP9844
B,54069.01665,18.230737284592628,0.018,CSP9844
B,54073.01406,18.21135705387924,0.031,CSP9844
B,54075.05188,18.29948474327469,0.024,CSP9844
B,54080.02175,18.570721750073723,0.017,CSP9844
B,54084.01659,19.016672931014455,0.024,CSP9844
B,54087.02709,19.36006647714293,0.029,CSP9844
B,54091.02821,19.634511524298894,0.182,CSP9844
