Filter,MJD,Mag,Sigma,Code
V,54108.02776,15.95097966447794,0.007,CSP9844
V,54110.03096,15.822581612662876,0.007,CSP9844
V,54112.02442,15.719866741439885,0.008,CSP9844
V,54119.02593,15.818399770401857,0.005,CSP9844
V,54121.03027,15.881752790105143,0.006,CSP9844
V,54127.02706,16.23706966893011,0.013,CSP9844
V,54131.02397,16.461730650722593,0.019,CSP9844
V,54133.02112,16.500088919030308,0.017,CSP9844
r,54108.02776,15.977961271136708,0.008,CSP9844
r,54110.03096,15.91043008731405,0.008,CSP9844
r,54112.02442,15.854894695989728,0.006,CSP9844
r,54119.02593,15.970952604292675,0.007,CSP9844
r,54121.03027,16.06437801098667,0.008,CSP9844
r,54123.0239,16.234404599952526,0.009,CSP9844
r,54128.02508,16.558794021024163,0.01,CSP9844
r,54133.02112,16.61636915995082,0.013,CSP9844
i,54108.02776,16.152749231011832,0.007,CSP9844
i,54110.03096,16.098699924446272,0.014,CSP9844
i,54112.02442,16.12637848461104,0.008,CSP9844
i,54119.02593,16.412736120302533,0.009,CSP9844
i,54121.03027,16.51929401164691,0.009,CSP9844
i,54123.0239,16.681930057397246,0.013,CSP9844
i,54127.02706,16.89221586669027,0.015,CSP9844
i,54128.02508,16.904703098935556,0.016,CSP9844
i,54133.02112,16.781173945955928,0.018,CSP9844
B,54108.02776,16.131500589757778,0.013,CSP9844
B,54110.03096,16.0721069876841,0.011,CSP9844
B,54112.02442,16.000262248746317,0.008,CSP9844
B,54119.02593,16.206923451222742,0.007,CSP9844
B,54121.03027,16.33707603176559,0.007,CSP9844
B,54127.02706,16.80492031593174,0.017,CSP9844
B,54131.02397,17.332552627207356,0.043,CSP9844
