Filter,MJD,Mag,Sigma,Code
V,54123.31229,17.237051621516002,0.01,CSP9844
V,54125.36978,17.152817351612356,0.008,CSP9844
V,54127.30881,17.181313351241812,0.008,CSP9844
V,54128.30912,17.242872718159383,0.009,CSP9844
V,54131.29447,17.569482607946245,0.011,CSP9844
V,54133.29966,17.845373455333018,0.016,CSP9844
V,54143.30612,18.750810403711498,0.02,CSP9844
V,54147.25164,18.904078678295843,0.03,CSP9844
V,54153.30281,19.254924390830922,0.021,CSP9844
V,54154.27515,19.283226026633777,0.023,CSP9844
V,54158.27907,19.411914538443575,0.026,CSP9844
V,54160.29168,19.579764951609604,0.043,CSP9844
V,54161.21659,19.684,0.057,CSP9844
V,54169.22854,19.969,0.045,CSP9844
V,54174.27457,20.145,0.042,CSP9844
V,54181.27189,20.326,0.047,CSP9844
V,54185.23018,20.348,0.05,CSP9844
V,54190.2267,20.315,0.099,CSP9844
V,54199.20237,20.803,0.086,CSP9844
V,54200.31917,20.909,0.147,CSP9844
V,54203.28065,20.979,0.055,CSP9844
V,54207.12946,21.086,0.063,CSP9844
V,54213.15185,21.257,0.085,CSP9844
r,54123.31229,17.185824198877462,0.01,CSP9844
r,54125.36978,17.029396011867206,0.01,CSP9844
r,54127.30881,16.981544936636233,0.008,CSP9844
r,54128.30912,17.01065480823682,0.007,CSP9844
r,54131.29447,17.228346442510237,0.01,CSP9844
r,54133.29966,17.43632451020192,0.011,CSP9844
r,54143.30612,18.31709920270643,0.013,CSP9844
r,54147.25164,18.61148794224667,0.04,CSP9844
r,54154.27515,18.962838155376957,0.018,CSP9844
r,54158.27907,19.157981602053468,0.021,CSP9844
r,54160.29168,19.485266791117034,0.031,CSP9844
r,54161.21659,19.354,0.035,CSP9844
r,54169.22854,19.759,0.03,CSP9844
r,54174.27457,20.056,0.032,CSP9844
r,54181.27189,20.355,0.046,CSP9844
r,54185.23018,20.437,0.045,CSP9844
r,54190.2267,20.587,0.116,CSP9844
r,54199.20237,21.266,0.095,CSP9844
r,54200.31917,21.444,0.194,CSP9844
r,54203.28065,21.279,0.077,CSP9844
r,54207.12946,21.593,0.084,CSP9844
r,54213.15185,21.958,0.125,CSP9844
i,54123.31229,17.305075133515732,0.013,CSP9844
i,54125.36978,17.120909172877674,0.031,CSP9844
i,54127.30881,16.991029842875022,0.009,CSP9844
i,54128.30912,16.967083946130373,0.008,CSP9844
i,54131.29447,16.964833304370703,0.013,CSP9844
i,54133.29966,17.048856507006736,0.012,CSP9844
i,54143.30612,17.895785413775602,0.017,CSP9844
i,54147.25164,18.15327476249336,0.031,CSP9844
i,54154.27515,18.629424284603246,0.018,CSP9844
i,54158.27907,18.858609698307603,0.021,CSP9844
i,54160.29168,19.107558548783466,0.029,CSP9844
i,54161.21659,19.043,0.027,CSP9844
i,54169.22854,19.341,0.03,CSP9844
i,54174.27457,19.598,0.036,CSP9844
i,54181.27189,19.738,0.038,CSP9844
i,54185.23018,19.89,0.049,CSP9844
i,54190.2267,20.101,0.088,CSP9844
i,54199.20237,20.202,0.064,CSP9844
i,54200.31917,20.094,0.084,CSP9844
i,54203.28065,20.318,0.055,CSP9844
i,54207.12946,20.277,0.044,CSP9844
i,54213.15185,20.612,0.051,CSP9844
B,54123.31229,18.27789102162137,0.013,CSP9844
B,54125.36978,18.340218156040468,0.016,CSP9844
B,54127.30881,18.565945024037458,0.014,CSP9844
B,54128.30912,18.72881383621685,0.016,CSP9844
B,54131.29447,19.207466362411957,0.03,CSP9844
B,54133.29966,19.57385805745689,0.067,CSP9844
B,54143.30612,20.253682633611206,0.037,CSP9844
B,54147.25164,20.346464523597636,0.101,CSP9844
B,54153.30281,20.693399898286053,0.058,CSP9844
B,54154.27515,20.602653915162115,0.05,CSP9844
B,54158.27907,20.71702118549254,0.056,CSP9844
B,54160.29168,20.630284421823816,0.11,CSP9844
B,54161.21659,20.587,0.122,CSP9844
B,54169.22854,21.063,0.111,CSP9844
B,54174.27457,21.13,0.082,CSP9844
B,54181.27189,21.343,0.103,CSP9844
B,54185.23018,21.54,0.123,CSP9844
B,54199.20237,21.733,0.181,CSP9844
B,54203.28065,21.634,0.073,CSP9844
B,54207.12946,21.776,0.074,CSP9844
B,54213.15185,21.873,0.093,CSP9844
