Filter,MJD,Mag,Sigma,Code
V,54133.32905,16.486128653255285,0.011,CSP9844
V,54137.28674,15.844733017106774,0.006,CSP9844
V,54143.25065,15.518756121120036,0.011,CSP9844
V,54153.26082,15.642286716167003,0.005,CSP9844
V,54154.14111,15.683630799037672,0.007,CSP9844
V,54158.19082,15.906429573707195,0.007,CSP9844
V,54160.15667,16.029006658277932,0.007,CSP9844
V,54161.16072,16.07123418981955,0.007,CSP9844
V,54165.20584,16.23890464671849,0.008,CSP9844
V,54166.1478,16.271195266295734,0.008,CSP9844
V,54169.17458,16.393116382102875,0.009,CSP9844
V,54174.23082,16.612857509269098,0.006,CSP9844
V,54185.1745,17.24682322683865,0.009,CSP9844
V,54194.11392,17.55302342431208,0.014,CSP9844
V,54199.09091,17.680811995091084,0.016,CSP9844
V,54203.19049,17.787373664093593,0.012,CSP9844
V,54213.11163,18.06200416225727,0.014,CSP9844
V,54246.02938,18.888,0.032,CSP9844
r,54133.32905,16.396330707043333,0.01,CSP9844
r,54137.28674,15.77563615283756,0.006,CSP9844
r,54143.25065,15.473100728558,0.012,CSP9844
r,54147.21734,15.459855150285144,0.004,CSP9844
r,54154.14111,15.724348837536116,0.007,CSP9844
r,54158.19082,15.997145524240052,0.008,CSP9844
r,54160.15667,16.078744727932136,0.005,CSP9844
r,54161.16072,16.110045593696356,0.006,CSP9844
r,54165.20584,16.156971279189847,0.008,CSP9844
r,54166.1478,16.16150325670937,0.005,CSP9844
r,54169.17458,16.1955920507207,0.007,CSP9844
r,54174.23082,16.26264975308146,0.006,CSP9844
r,54185.1745,16.88557186101355,0.009,CSP9844
r,54194.11392,17.26186414642614,0.008,CSP9844
r,54199.09091,17.416825640384047,0.012,CSP9844
r,54203.19049,17.535506659716354,0.009,CSP9844
r,54213.11163,17.834513698574526,0.01,CSP9844
r,54224.05379,18.095,0.016,CSP9844
r,54246.02938,18.719,0.026,CSP9844
i,54133.32905,16.44991531585466,0.012,CSP9844
i,54137.28674,15.873492320829486,0.006,CSP9844
i,54143.25065,15.752127204854222,0.016,CSP9844
i,54147.21734,15.883803086475028,0.007,CSP9844
i,54154.14111,16.18659219321278,0.008,CSP9844
i,54158.19082,16.379682985394204,0.01,CSP9844
i,54160.15667,16.417575273882406,0.007,CSP9844
i,54161.16072,16.38390947870593,0.01,CSP9844
i,54165.20584,16.299280161995938,0.009,CSP9844
i,54166.1478,16.289238222178422,0.008,CSP9844
i,54169.17458,16.251588155099576,0.009,CSP9844
i,54174.23082,16.193175028197004,0.006,CSP9844
i,54185.1745,16.67938392358093,0.009,CSP9844
i,54194.11392,17.16159000438192,0.01,CSP9844
i,54199.09091,17.456621866625994,0.015,CSP9844
i,54203.19049,17.645783777260178,0.012,CSP9844
i,54213.11163,17.99764801509604,0.014,CSP9844
i,54224.05379,18.332,0.017,CSP9844
i,54246.02938,18.99,0.035,CSP9844
B,54133.32905,16.867697099519784,0.015,CSP9844
B,54137.28674,16.20450805531199,0.006,CSP9844
B,54143.25065,15.919796101889801,0.009,CSP9844
B,54153.26082,16.290713162608505,0.004,CSP9844
B,54154.14111,16.360850406788003,0.007,CSP9844
B,54158.19082,16.687072576520766,0.008,CSP9844
B,54160.15667,16.87976648504079,0.009,CSP9844
B,54161.16072,16.99302096873197,0.01,CSP9844
B,54165.20584,17.372720231093258,0.012,CSP9844
B,54166.1478,17.4453298700941,0.037,CSP9844
B,54169.17458,17.689858024236685,0.011,CSP9844
B,54174.23082,18.05048367449193,0.013,CSP9844
B,54185.1745,18.671840962903325,0.017,CSP9844
B,54194.11392,18.849778590072592,0.032,CSP9844
B,54199.09091,18.925975020610103,0.019,CSP9844
B,54203.19049,19.025243767601626,0.016,CSP9844
B,54213.11163,19.140185922125767,0.018,CSP9844
B,54246.02938,19.445,0.08,CSP9844
