Filter,MJD,Mag,Sigma
i,54165.26943,14.2497466997,0.006
i,54166.28117,14.0661205895,0.006
i,54169.2953,13.7530851122,0.008
i,54170.29985,13.7103020989,0.008
i,54171.30832,13.6960664664,0.011
i,54172.30469,13.7141096047,0.011
i,54174.33222,13.782501389,0.01
i,54178.2605,13.9250685978,0.009
i,54179.31863,13.9871156785,0.01
i,54181.29715,14.0787739382,0.01
i,54182.27129,14.1601597758,0.01
i,54185.30802,14.4103999346,0.006
i,54190.2587,14.4592824911,0.006
i,54194.28338,14.3609579951,0.008
i,54197.27846,14.3163476325,0.009
i,54199.22376,14.2999782068,0.008
i,54202.31859,14.3286123766,0.008
i,54204.33321,14.4204557616,0.01
i,54207.24712,14.6483384326,0.01
i,54211.26709,14.9185589839,0.006
i,54213.23198,15.0267878675,0.009
i,54218.24702,15.2842308153,0.006
i,54224.26564,15.515604735,0.009
i,54226.29718,15.6088207835,0.007
i,54231.27117,15.7911881131,0.006
i,54239.18637,16.0709089461,0.007
i,54246.15851,16.3150342778,0.008
i,54256.17932,16.638,0.007
r,54165.26943,13.976964297,0.009
r,54166.28117,13.8113554087,0.005
r,54169.2953,13.434629564,0.006
r,54170.29985,13.3762108818,0.007
r,54171.30832,13.3135005575,0.007
r,54172.30469,13.2787215192,0.008
r,54174.33222,13.2450139487,0.008
r,54178.2605,13.2460053456,0.007
r,54179.31863,13.3001592389,0.008
r,54181.29715,13.3877391522,0.008
r,54182.27129,13.4414979407,0.011
r,54185.30802,13.6760393474,0.006
r,54190.2587,13.9084668488,0.005
r,54194.28338,13.9846258246,0.006
r,54197.27846,14.0576917251,0.006
r,54199.22376,14.1124875252,0.007
r,54202.31859,14.247585909,0.007
r,54204.33321,14.3808784147,0.009
r,54207.24712,14.6131747447,0.008
r,54211.26709,14.8792413989,0.006
r,54213.23198,14.9667444843,0.007
r,54218.24702,15.1795291042,0.005
r,54224.26564,15.3946129078,0.007
r,54226.29718,15.4567045472,0.006
r,54231.27117,15.6241001446,0.006
r,54239.18637,15.8745933054,0.006
r,54246.15851,16.0853867011,0.006
r,54256.17932,16.384,0.005
B,54165.26943,14.0827359284,0.006
B,54166.28117,13.898956506,0.006
B,54169.2953,13.48485009,0.006
B,54170.29985,13.4148068525,0.007
B,54171.30832,13.3526268603,0.007
B,54172.30469,13.3078613101,0.009
B,54174.33222,13.2870674848,0.007
B,54178.2605,13.4293741475,0.008
B,54179.31863,13.4913247959,0.006
B,54181.29715,13.6351550628,0.006
B,54182.27129,13.7188810336,0.008
B,54185.30802,14.0221265277,0.006
B,54190.2587,14.5987296848,0.007
B,54194.28338,15.0478854196,0.006
B,54197.27846,15.3152195173,0.006
B,54199.22376,15.4767189826,0.007
B,54202.31859,15.7138458436,0.008
B,54204.33321,15.8508491918,0.008
B,54207.24712,16.0198292861,0.009
B,54211.26709,16.2187973541,0.008
B,54213.23198,16.2903089847,0.009
B,54218.24702,16.4293895943,0.007
B,54224.26564,16.5335641922,0.01
B,54226.29718,16.5798438006,0.009
B,54231.27117,16.6485680481,0.008
B,54239.18637,16.780453888,0.009
B,54246.15851,16.8566192071,0.007
B,54256.17932,17.009,0.008
V,54165.26943,14.0339612756,0.006
V,54166.28117,13.8547826665,0.005
V,54169.2953,13.443346949,0.006
V,54170.29985,13.3639460402,0.008
V,54171.30832,13.2959804502,0.008
V,54172.30469,13.2381546199,0.008
V,54174.33222,13.2051662712,0.009
V,54179.31863,13.248200369,0.008
V,54181.29715,13.317674734,0.007
V,54182.27129,13.3476998514,0.008
V,54185.30802,13.5191428884,0.007
V,54190.2587,13.8446421807,0.006
V,54194.28338,14.0944432287,0.008
V,54197.27846,14.2572955648,0.007
V,54199.22376,14.3594643442,0.009
V,54202.31859,14.5567597517,0.008
V,54204.33321,14.7049838829,0.007
V,54207.24712,14.9116474816,0.008
V,54211.26709,15.1356404231,0.007
V,54213.23198,15.2203482822,0.008
V,54218.24702,15.385375788,0.006
V,54224.26564,15.5656890625,0.007
V,54226.29718,15.6243097495,0.007
V,54231.27117,15.7346134237,0.006
V,54239.18637,15.9247103732,0.007
V,54246.15851,16.1013450132,0.007
V,54256.17932,16.35,0.006
