Filter,MJD,Mag,Sigma,Code
V,54181.18515,15.848759412833038,0.006,CSP9844
V,54182.20814,15.827069795328946,0.007,CSP9844
V,54185.11216,15.843610923141592,0.006,CSP9844
V,54190.18526,16.05437436472758,0.006,CSP9844
V,54194.05655,16.32430739089368,0.007,CSP9844
V,54197.07994,16.50151729788321,0.007,CSP9844
V,54203.23173,16.77773993790328,0.007,CSP9844
V,54207.06782,17.035791355753005,0.009,CSP9844
V,54213.02164,17.511555308696728,0.009,CSP9844
V,54218.09402,17.74817574126825,0.013,CSP9844
V,54223.96733,17.925871498816683,0.016,CSP9844
V,54227.08494,18.04604193450038,0.015,CSP9844
V,54229.03393,18.131318524210226,0.013,CSP9844
V,54231.06766,18.172950065118666,0.016,CSP9844
V,54235.98684,18.348058935641678,0.026,CSP9844
V,54239.00711,18.398509632778797,0.013,CSP9844
V,54243.04277,18.552773898378092,0.021,CSP9844
V,54245.01582,18.584254062991352,0.017,CSP9844
V,54258.97921,18.958,0.019,CSP9844
r,54181.18515,16.204759933903887,0.009,CSP9844
r,54182.20814,16.191872889059734,0.01,CSP9844
r,54185.11216,16.218847895846984,0.008,CSP9844
r,54190.18526,16.578473233406037,0.008,CSP9844
r,54194.05655,16.878500279956697,0.009,CSP9844
r,54197.07994,16.969933408397743,0.011,CSP9844
r,54203.23173,16.968905527483706,0.011,CSP9844
r,54207.06782,17.125248611596692,0.01,CSP9844
r,54213.02164,17.556075744786803,0.01,CSP9844
r,54218.09402,17.87732974568349,0.011,CSP9844
r,54223.96733,18.092380453408744,0.012,CSP9844
r,54227.08494,18.214917119124085,0.012,CSP9844
r,54229.03393,18.288498669088916,0.011,CSP9844
r,54231.06766,18.30884641726483,0.014,CSP9844
r,54235.98684,18.509304753197725,0.013,CSP9844
r,54239.00711,18.652312827014498,0.012,CSP9844
r,54243.04277,18.781358065965634,0.016,CSP9844
r,54245.01582,18.813511744608974,0.017,CSP9844
r,54258.97921,19.145,0.02,CSP9844
i,54181.18515,16.651087299267125,0.009,CSP9844
i,54182.20814,16.692617050242927,0.011,CSP9844
i,54185.11216,16.77374421212849,0.009,CSP9844
i,54190.18526,17.164028922592053,0.01,CSP9844
i,54194.05655,17.354951677789018,0.011,CSP9844
i,54197.07994,17.329498708701706,0.012,CSP9844
i,54203.23173,17.06337940069216,0.011,CSP9844
i,54207.06782,17.037618239020865,0.011,CSP9844
i,54213.02164,17.440648605342048,0.011,CSP9844
i,54218.09402,17.778027228080674,0.013,CSP9844
i,54223.96733,18.092427363995757,0.013,CSP9844
i,54227.08494,18.258039875292397,0.017,CSP9844
i,54229.03393,18.367383030544566,0.014,CSP9844
i,54231.06766,18.471310475714688,0.017,CSP9844
i,54235.98684,18.727522848360373,0.02,CSP9844
i,54239.00711,18.867547234189733,0.026,CSP9844
i,54243.04277,19.05440885298256,0.027,CSP9844
i,54245.01582,19.139215842178913,0.028,CSP9844
i,54258.97921,19.505,0.044,CSP9844
B,54181.18515,16.018923409268034,0.005,CSP9844
B,54182.20814,16.033681285685333,0.005,CSP9844
B,54185.11216,16.142453305867797,0.006,CSP9844
B,54190.18526,16.516628737922247,0.007,CSP9844
B,54194.05655,16.956368242680824,0.009,CSP9844
B,54197.07994,17.340597569353623,0.009,CSP9844
B,54203.23173,17.99399234302628,0.011,CSP9844
B,54207.06782,18.35388769600591,0.012,CSP9844
B,54213.02164,18.792552952124673,0.02,CSP9844
B,54218.09402,19.014364248245364,0.04,CSP9844
B,54223.96733,19.153815110717126,0.044,CSP9844
B,54227.08494,19.203512551364668,0.04,CSP9844
B,54229.03393,19.241851845058086,0.023,CSP9844
B,54231.06766,19.2000058630804,0.02,CSP9844
B,54235.98684,19.33586413099804,0.032,CSP9844
B,54239.00711,19.35437016884306,0.022,CSP9844
B,54243.04277,19.42545476814515,0.032,CSP9844
B,54245.01582,19.424229863606104,0.04,CSP9844
B,54258.97921,19.602,0.034,CSP9844
