Filter,MJD,Mag,Sigma,Code
V,54185.05157,16.008958361921493,0.006,CSP9844
V,54190.10517,15.630106907479952,0.006,CSP9844
V,54194.00887,15.881186125498832,0.006,CSP9844
V,54197.05105,16.25890766230885,0.008,CSP9844
V,54206.98559,17.209630935382314,0.016,CSP9844
V,54212.96429,17.49988622661455,0.016,CSP9844
V,54218.96464,17.7421180948254,0.019,CSP9844
V,54223.96025,17.998227117240678,0.019,CSP9844
V,54228.96966,18.274,0.022,CSP9844
V,54234.95241,18.516,0.026,CSP9844
V,54238.95024,18.578,0.024,CSP9844
V,54245.95085,18.812,0.042,CSP9844
r,54185.05157,15.96850853611664,0.007,CSP9844
r,54190.10517,15.545532287750618,0.005,CSP9844
r,54194.00887,15.655910255443596,0.005,CSP9844
r,54197.05105,15.939449465240537,0.006,CSP9844
r,54206.98559,16.891757798831858,0.012,CSP9844
r,54212.96429,17.24756331217708,0.011,CSP9844
r,54218.96464,17.485815137114493,0.013,CSP9844
r,54223.96025,17.759386293980015,0.016,CSP9844
r,54228.96966,18.032,0.019,CSP9844
r,54234.95241,18.393,0.023,CSP9844
r,54238.95024,18.562,0.028,CSP9844
r,54245.95085,18.837,0.037,CSP9844
i,54185.05157,16.146460587819156,0.009,CSP9844
i,54190.10517,15.60954782775446,0.006,CSP9844
i,54194.00887,15.539424824774377,0.008,CSP9844
i,54197.05105,15.669391284851462,0.008,CSP9844
i,54206.98559,16.60888817353062,0.016,CSP9844
i,54212.96429,16.926061555948777,0.012,CSP9844
i,54218.00288,17.23176880914053,0.019,CSP9844
i,54223.96025,17.596739785626482,0.019,CSP9844
i,54228.96966,17.792,0.024,CSP9844
i,54234.95241,18.211,0.029,CSP9844
i,54238.95024,18.336,0.031,CSP9844
i,54245.95085,18.433,0.045,CSP9844
B,54185.05157,16.651898303300694,0.008,CSP9844
B,54190.10517,16.598006371506777,0.01,CSP9844
B,54194.00887,17.190116328478602,0.011,CSP9844
B,54197.05105,17.707526235625295,0.015,CSP9844
B,54206.98559,18.60397954221486,0.071,CSP9844
B,54212.96429,18.723866331295355,0.026,CSP9844
B,54218.96464,18.90314886450276,0.039,CSP9844
B,54223.96025,19.104500632132435,0.045,CSP9844
B,54228.96966,19.235,0.037,CSP9844
B,54234.95241,19.419,0.036,CSP9844
B,54238.95024,19.487,0.04,CSP9844
B,54245.95085,19.531,0.074,CSP9844
