Filter,MJD,Mag,Sigma,Code
V,54197.14053,16.031589409176583,0.008,CSP9844
V,54199.14677,15.950390486661401,0.008,CSP9844
V,54202.16333,15.924751160016472,0.006,CSP9844
V,54203.15375,15.923988436291678,0.007,CSP9844
V,54224.09819,17.04702749527815,0.017,CSP9844
V,54227.11415,17.265072340730896,0.013,CSP9844
V,54231.10962,17.57118004120732,0.013,CSP9844
V,54232.11757,17.610795819230205,0.013,CSP9844
V,54235.03558,17.785204196900242,0.012,CSP9844
V,54259.01451,18.495699766999216,0.019,CSP9844
r,54197.14053,16.148784499851118,0.01,CSP9844
r,54199.14677,16.099897019248566,0.009,CSP9844
r,54202.16333,16.094307078328438,0.008,CSP9844
r,54203.15375,16.088257069301896,0.009,CSP9844
r,54224.09819,16.92616631061989,0.015,CSP9844
r,54227.11415,17.043587013584457,0.011,CSP9844
r,54231.10962,17.360662665089805,0.012,CSP9844
r,54232.11757,17.429775062400385,0.016,CSP9844
r,54235.03558,17.613068083667365,0.011,CSP9844
r,54259.01451,18.487115156165515,0.015,CSP9844
i,54197.14053,16.454755600917427,0.015,CSP9844
i,54199.14677,16.521408987864355,0.013,CSP9844
i,54202.16333,16.658572479953623,0.014,CSP9844
i,54203.15375,16.668820245687996,0.014,CSP9844
i,54224.09819,16.890060540678235,0.021,CSP9844
i,54227.11415,16.94971548377303,0.015,CSP9844
i,54231.10962,17.262797130525257,0.017,CSP9844
i,54232.11757,17.303327999227594,0.021,CSP9844
i,54235.03558,17.54275943610953,0.016,CSP9844
i,54259.01451,18.692399280958465,0.025,CSP9844
B,54197.14053,16.194728427617285,0.011,CSP9844
B,54199.14677,16.12565967217601,0.011,CSP9844
B,54202.16333,16.09605536433403,0.012,CSP9844
B,54203.15375,16.15222224488442,0.014,CSP9844
B,54224.09819,18.535827355192954,0.135,CSP9844
B,54231.10962,18.874964989054927,0.022,CSP9844
B,54232.11757,18.925572360237286,0.033,CSP9844
B,54235.03558,19.024245207487176,0.022,CSP9844
B,54259.01451,19.618979691756444,0.036,CSP9844
