Filter,MJD,Mag,Sigma,Code
V,54224.15884,14.132484637213402,0.005,CSP9844
V,54227.13997,14.110777737603469,0.006,CSP9844
V,54229.06696,14.146523992519803,0.004,CSP9844
V,54231.14957,14.217068512708492,0.006,CSP9844
V,54235.07968,14.434391360236736,0.008,CSP9844
V,54239.09785,14.69816131033885,0.004,CSP9844
V,54241.03724,14.826507180307624,0.006,CSP9844
V,54249.03689,15.247114421323786,0.006,CSP9844
V,54255.05748,15.677910970704469,0.005,CSP9844
V,54259.04623,15.91926831729029,0.006,CSP9844
r,54224.15884,14.098443421590266,0.007,CSP9844
r,54227.13997,14.106272367549996,0.006,CSP9844
r,54229.06696,14.127012721952342,0.003,CSP9844
r,54231.14957,14.238043719072014,0.005,CSP9844
r,54235.07968,14.510351599710662,0.009,CSP9844
r,54239.09785,14.679392991352973,0.005,CSP9844
r,54241.03724,14.71905736082541,0.005,CSP9844
r,54249.03689,14.905857053405816,0.004,CSP9844
r,54255.05748,15.27874686497327,0.004,CSP9844
r,54259.04623,15.550440088589998,0.007,CSP9844
i,54224.15884,14.309622491954354,0.007,CSP9844
i,54227.13997,14.433100079303454,0.006,CSP9844
i,54229.06696,14.453412917857442,0.005,CSP9844
i,54231.14957,14.550405704365428,0.007,CSP9844
i,54235.07968,14.737014278781805,0.008,CSP9844
i,54239.09785,14.714147153572956,0.007,CSP9844
i,54241.03724,14.67006580730618,0.006,CSP9844
i,54249.03689,14.630340511190289,0.004,CSP9844
i,54255.05748,14.903747916013254,0.005,CSP9844
i,54259.04623,15.21083307303009,0.007,CSP9844
B,54224.15884,14.677487038684008,0.004,CSP9844
B,54227.13997,14.739608507456172,0.004,CSP9844
B,54229.06696,14.8327588126137,0.004,CSP9844
B,54231.14957,14.979413860709924,0.004,CSP9844
B,54235.07968,15.34148590461359,0.006,CSP9844
B,54239.09785,15.832421100802886,0.005,CSP9844
B,54241.03724,16.0798485929158,0.006,CSP9844
B,54249.03689,16.915498567548298,0.014,CSP9844
B,54255.05748,17.338586957060684,0.01,CSP9844
B,54259.04623,17.528872489901843,0.01,CSP9844
