Filter,MJD,Mag,Sigma,Code
V,54218.16877,16.597084838530257,0.008,CSP9844
V,54224.20178,15.906427858441031,0.007,CSP9844
V,54227.21575,15.83033341093626,0.007,CSP9844
V,54229.17624,15.838740713065937,0.006,CSP9844
V,54231.22935,15.856790583223477,0.006,CSP9844
V,54232.18573,15.882070983565427,0.006,CSP9844
V,54235.15065,15.98993774634219,0.009,CSP9844
V,54239.1558,16.18083128328176,0.006,CSP9844
V,54243.188,16.406282758758543,0.006,CSP9844
V,54246.13015,16.534592225849924,0.008,CSP9844
V,54255.18582,16.96966748649558,0.008,CSP9844
V,54259.1089,17.19773352893626,0.01,CSP9844
r,54218.16877,16.49601403523549,0.006,CSP9844
r,54224.20178,15.930907626221535,0.009,CSP9844
r,54227.21575,15.868546727827328,0.005,CSP9844
r,54229.17624,15.869913928567543,0.004,CSP9844
r,54231.22935,15.920918556480473,0.004,CSP9844
r,54232.18573,15.942772478330204,0.004,CSP9844
r,54235.15065,16.08426815228117,0.007,CSP9844
r,54239.1558,16.38094992744974,0.006,CSP9844
r,54243.188,16.60327304892143,0.005,CSP9844
r,54246.13015,16.662480518955665,0.005,CSP9844
r,54255.18582,16.764163538363505,0.006,CSP9844
r,54259.1089,16.88623786494673,0.006,CSP9844
i,54218.16877,16.540226725419892,0.006,CSP9844
i,54224.20178,16.10515198759478,0.014,CSP9844
i,54227.21575,16.124805132276958,0.006,CSP9844
i,54229.17624,16.22215781367261,0.005,CSP9844
i,54231.22935,16.338518158187593,0.007,CSP9844
i,54232.18573,16.376781295800754,0.006,CSP9844
i,54235.15065,16.498351384144648,0.01,CSP9844
i,54239.1558,16.802334066964583,0.009,CSP9844
i,54243.188,16.95813096124632,0.007,CSP9844
i,54246.13015,16.89794173423373,0.009,CSP9844
i,54255.18582,16.693100357050767,0.008,CSP9844
i,54259.1089,16.698374850887983,0.009,CSP9844
B,54218.16877,16.896428570367362,0.008,CSP9844
B,54224.20178,16.242503503117938,0.011,CSP9844
B,54227.21575,16.190382493237156,0.007,CSP9844
B,54229.17624,16.21861284325469,0.006,CSP9844
B,54231.22935,16.297547472486713,0.007,CSP9844
B,54232.18573,16.34137102894715,0.006,CSP9844
B,54235.15065,16.494914238363098,0.009,CSP9844
B,54239.1558,16.792477083978888,0.007,CSP9844
B,54243.188,17.188169838518547,0.008,CSP9844
B,54246.13015,17.451312835973788,0.01,CSP9844
B,54255.18582,18.32554137899986,0.022,CSP9844
B,54259.1089,18.589710024240915,0.023,CSP9844
