Filter,MJD,Mag,Sigma,Code
V,54354.24017,19.22844586902717,0.012,CSP9844
V,54357.32089,19.224653947266148,0.022,CSP9844
V,54359.27034,19.196194865071813,0.054,CSP9844
V,54363.17913,19.46462168348699,0.03,CSP9844
V,54365.27044,19.455181439119784,0.03,CSP9844
V,54376.18837,20.002645808329287,0.031,CSP9844
V,54378.28884,20.031849368434525,0.054,CSP9844
V,54380.27722,20.285083971899162,0.053,CSP9844
V,54383.19164,20.39519863312639,0.06,CSP9844
V,54392.2408,20.796142485991496,0.099,CSP9844
V,54403.23056,21.32387934283751,0.218,CSP9844
V,54411.19282,21.35746558821633,0.108,CSP9844
r,54354.24017,19.30157429533761,0.011,CSP9844
r,54357.32089,19.302104645180115,0.017,CSP9844
r,54359.27034,19.36290008319008,0.067,CSP9844
r,54363.17913,19.52375333332473,0.017,CSP9844
r,54365.27044,19.609339548594534,0.022,CSP9844
r,54376.18837,20.176481757662625,0.027,CSP9844
r,54378.28884,20.284682135881354,0.033,CSP9844
r,54380.27722,20.384523310328724,0.031,CSP9844
r,54383.19164,20.53698981753309,0.034,CSP9844
r,54392.2408,20.96745994806836,0.058,CSP9844
r,54395.28436,20.97655602712976,0.301,CSP9844
r,54403.23056,21.43786834231,0.111,CSP9844
r,54411.19282,21.582098870906194,0.064,CSP9844
i,54354.24017,19.418685140903087,0.024,CSP9844
i,54357.32089,19.43013525811596,0.035,CSP9844
i,54359.27034,19.546873217139876,0.107,CSP9844
i,54363.17913,19.682750756077148,0.03,CSP9844
i,54365.27044,19.812421668616622,0.046,CSP9844
i,54376.18837,20.213052608971555,0.043,CSP9844
i,54378.28884,20.27356274392328,0.041,CSP9844
i,54380.27722,20.155198722815992,0.043,CSP9844
i,54383.19164,20.239210628218522,0.048,CSP9844
i,54392.2408,20.793778129685634,0.072,CSP9844
i,54395.28436,20.875324325755997,0.439,CSP9844
i,54403.23056,21.10972257026971,0.129,CSP9844
i,54411.19282,21.546900236019795,0.119,CSP9844
B,54354.24017,19.46207241078647,0.016,CSP9844
B,54357.32089,19.55707655356953,0.029,CSP9844
B,54359.27034,19.480948499288324,0.068,CSP9844
B,54363.17913,19.85806361070039,0.042,CSP9844
B,54365.27044,19.929764094210494,0.042,CSP9844
B,54376.18837,21.107049225261036,0.074,CSP9844
B,54378.28884,21.371599732149857,0.111,CSP9844
B,54380.27722,21.393833977629484,0.071,CSP9844
B,54383.19164,21.54656800065429,0.108,CSP9844
B,54392.2408,21.76733057409205,0.163,CSP9844
B,54403.23056,21.89835050746975,0.304,CSP9844
B,54411.19282,22.339079859142956,0.18,CSP9844
