Filter,MJD,Mag,Sigma,Code
V,54357.26132,17.645013405312156,0.009,CSP9844
V,54359.23094,17.718182481022705,0.011,CSP9844
V,54362.22905,17.86183202740503,0.01,CSP9844
V,54364.17322,17.964464946492818,0.014,CSP9844
V,54368.21436,18.167017206881063,0.039,CSP9844
V,54376.13517,18.55746360939768,0.013,CSP9844
V,54380.17323,18.703972958448315,0.016,CSP9844
V,54386.17218,18.885211876430162,0.009,CSP9844
V,54392.21639,19.07555858861627,0.021,CSP9844
V,54395.21491,19.04904731226766,0.05,CSP9844
V,54403.19758,19.403581792971753,0.043,CSP9844
V,54409.15329,19.56396153489326,0.027,CSP9844
V,54421.13412,19.814327340310772,0.039,CSP9844
V,54428.10553,20.064,0.178,CSP9844
V,54435.07888,20.128,0.032,CSP9844
V,54443.07791,20.277,0.029,CSP9844
r,54357.26132,17.69734025402333,0.007,CSP9844
r,54359.23094,17.757944158022845,0.009,CSP9844
r,54362.22905,17.86376503685416,0.008,CSP9844
r,54364.17322,17.91825165849842,0.009,CSP9844
r,54368.21436,18.125493764829848,0.03,CSP9844
r,54376.13517,18.58128086387118,0.008,CSP9844
r,54380.17323,18.747694362494997,0.012,CSP9844
r,54386.17218,18.954269053131462,0.005,CSP9844
r,54392.21639,19.14917072486373,0.013,CSP9844
r,54395.21491,19.298522241468937,0.028,CSP9844
r,54403.19758,19.522432134790048,0.027,CSP9844
r,54409.15329,19.65195902193674,0.018,CSP9844
r,54421.13412,19.895196559754773,0.026,CSP9844
r,54428.10553,19.649,0.076,CSP9844
r,54435.07888,19.944,0.023,CSP9844
r,54443.07791,20.137,0.021,CSP9844
i,54357.26132,17.81592862727588,0.01,CSP9844
i,54359.23094,17.911927321829985,0.013,CSP9844
i,54362.22905,18.0493362486926,0.012,CSP9844
i,54364.17322,18.163438731621344,0.012,CSP9844
i,54368.21436,18.277205999328554,0.027,CSP9844
i,54376.13517,18.504194742547078,0.01,CSP9844
i,54380.17323,18.592132721064022,0.013,CSP9844
i,54386.17218,18.844458907507878,0.008,CSP9844
i,54392.21639,19.01750143353124,0.021,CSP9844
i,54395.21491,19.041875352211854,0.028,CSP9844
i,54403.19758,19.282106277908504,0.034,CSP9844
i,54409.15329,19.583582725088082,0.029,CSP9844
i,54421.13412,19.856308543704706,0.037,CSP9844
i,54428.10553,19.857,0.105,CSP9844
i,54435.07888,20.168,0.057,CSP9844
i,54443.07791,20.503,0.055,CSP9844
B,54357.26132,17.995885173925213,0.012,CSP9844
B,54359.23094,18.161926638932314,0.017,CSP9844
B,54362.22905,18.403287884378205,0.015,CSP9844
B,54363.17359,18.48303650084089,0.016,CSP9844
B,54364.17322,18.52055217812244,0.025,CSP9844
B,54366.25108,18.753512667477267,0.077,CSP9844
B,54368.21436,18.79111960000584,0.092,CSP9844
B,54376.13517,19.74578259523613,0.035,CSP9844
B,54380.17323,19.92453158369546,0.029,CSP9844
B,54386.17218,20.14181897247765,0.022,CSP9844
B,54392.21639,20.335574603440598,0.059,CSP9844
B,54403.19758,20.596164320809763,0.116,CSP9844
B,54409.15329,20.675244043733258,0.054,CSP9844
B,54421.13412,20.63747176393773,0.075,CSP9844
B,54435.07888,21.122,0.068,CSP9844
B,54443.07791,21.232,0.049,CSP9844
