Filter,MJD,Mag,Sigma,Code
V,54363.30672,17.639287184538453,0.009,CSP9844
V,54364.33985,17.589574105092897,0.008,CSP9844
V,54365.36091,17.55101225892713,0.008,CSP9844
V,54368.32957,17.511046025300637,0.014,CSP9844
V,54376.29012,17.779843645717442,0.008,CSP9844
V,54378.35722,17.914841758296262,0.01,CSP9844
V,54380.34182,18.063946086520176,0.011,CSP9844
V,54383.26442,18.240494031556743,0.012,CSP9844
V,54385.3508,18.30469189882707,0.012,CSP9844
V,54392.33038,18.631947722014207,0.017,CSP9844
V,54394.26627,18.784758255982858,0.018,CSP9844
V,54395.31087,18.89018199004459,0.09,CSP9844
V,54397.24264,18.932947928553375,0.031,CSP9844
V,54403.32169,19.344407946089838,0.044,CSP9844
V,54411.24089,19.712015555594682,0.028,CSP9844
V,54413.23576,19.664694846075633,0.037,CSP9844
V,54417.23275,19.831638407272408,0.033,CSP9844
V,54421.19161,20.01767115113271,0.036,CSP9844
V,54423.17377,19.944083226586343,0.063,CSP9844
V,54425.20951,19.868287503396072,0.089,CSP9844
r,54363.30672,17.781488393605866,0.014,CSP9844
r,54364.33985,17.728435119068994,0.01,CSP9844
r,54365.36091,17.676160547177183,0.01,CSP9844
r,54368.32957,17.641948395844157,0.014,CSP9844
r,54376.29012,18.06534434994291,0.009,CSP9844
r,54378.35722,18.24671718759005,0.014,CSP9844
r,54380.34182,18.347986165772973,0.016,CSP9844
r,54383.26442,18.465413835600422,0.015,CSP9844
r,54385.3508,18.46907812815851,0.016,CSP9844
r,54392.33038,18.510045692325292,0.017,CSP9844
r,54394.26627,18.62130427541285,0.017,CSP9844
r,54395.31087,18.641948631734564,0.031,CSP9844
r,54397.24264,18.783417738627847,0.02,CSP9844
r,54403.32169,19.234655061494323,0.025,CSP9844
r,54411.24089,19.64935003391954,0.033,CSP9844
r,54413.23576,19.844268846122432,0.047,CSP9844
r,54417.23275,19.913588640793243,0.042,CSP9844
r,54421.19161,20.055097547827714,0.046,CSP9844
r,54423.17377,20.047259043235318,0.048,CSP9844
r,54425.20951,20.099504286000503,0.071,CSP9844
i,54363.30672,18.08921767725461,0.019,CSP9844
i,54364.33985,18.102437672962594,0.022,CSP9844
i,54365.36091,18.115294535812957,0.018,CSP9844
i,54368.32957,18.247957782033282,0.025,CSP9844
i,54376.29012,18.8027949512883,0.028,CSP9844
i,54378.35722,18.86277527914394,0.036,CSP9844
i,54380.34182,18.926656693955692,0.038,CSP9844
i,54383.26442,18.876956144430167,0.04,CSP9844
i,54385.3508,18.876449079199404,0.043,CSP9844
i,54392.33038,18.601837370106985,0.032,CSP9844
i,54394.26627,18.596692910817072,0.032,CSP9844
i,54397.24264,18.692732515087442,0.028,CSP9844
i,54403.32169,19.22778811029364,0.043,CSP9844
i,54411.24089,19.69482192764395,0.059,CSP9844
i,54417.23275,19.98559102231353,0.079,CSP9844
i,54421.19161,20.339130101377087,0.108,CSP9844
i,54423.17377,20.494609788792154,0.123,CSP9844
i,54425.20951,20.70509756007842,0.172,CSP9844
B,54363.30672,17.78774479940183,0.009,CSP9844
B,54364.33985,17.73437314056043,0.009,CSP9844
B,54365.36091,17.708238015380015,0.009,CSP9844
B,54368.32957,17.731909240290108,0.016,CSP9844
B,54376.29012,18.281640310749623,0.011,CSP9844
B,54378.35722,18.512019213734632,0.014,CSP9844
B,54380.34182,18.771474450183284,0.019,CSP9844
B,54383.26442,19.067403648068918,0.018,CSP9844
B,54385.3508,19.313795770560105,0.022,CSP9844
B,54392.33038,19.87603738248901,0.029,CSP9844
B,54394.26627,19.990180409949588,0.037,CSP9844
B,54395.31087,20.04973862207145,0.271,CSP9844
B,54397.24264,20.148407163099414,0.097,CSP9844
B,54403.32169,20.456478900388756,0.108,CSP9844
B,54411.24089,20.8270857277436,0.064,CSP9844
B,54413.23576,20.829352543411243,0.074,CSP9844
B,54417.23275,20.89055052086303,0.065,CSP9844
B,54421.19161,20.925848329477834,0.064,CSP9844
B,54423.17377,20.784742600074875,0.104,CSP9844
B,54425.20951,20.861237280678026,0.17,CSP9844
