Filter,MJD,Mag,Sigma,Code
V,54363.34793,18.48537542785037,0.014,CSP9844
V,54364.37982,18.38455179579325,0.016,CSP9844
V,54368.36071,18.286199894554386,0.022,CSP9844
V,54376.33887,18.75898593803062,0.021,CSP9844
V,54378.38505,18.760604803850104,0.108,CSP9844
V,54380.37199,19.060257473454566,0.046,CSP9844
V,54385.38756,19.366339008505083,0.091,CSP9844
V,54392.35478,19.961419605688768,0.078,CSP9844
V,54394.29072,20.224357624054267,0.058,CSP9844
V,54395.34689,20.321653941866458,0.081,CSP9844
V,54425.29183,21.656,0.299,CSP9844
r,54363.34793,18.48635111752712,0.016,CSP9844
r,54364.37982,18.437678122768737,0.015,CSP9844
r,54368.36071,18.32519038708203,0.019,CSP9844
r,54376.33887,18.74987432548445,0.016,CSP9844
r,54378.38505,18.856822469226532,0.017,CSP9844
r,54380.37199,18.938362780734366,0.033,CSP9844
r,54392.35478,19.75480461079396,0.042,CSP9844
r,54394.29072,19.854911685498788,0.045,CSP9844
r,54395.34689,20.0194086609269,0.045,CSP9844
r,54398.34477,19.965071090489563,0.082,CSP9844
r,54409.36064,20.412,0.075,CSP9844
r,54425.29183,21.136,0.223,CSP9844
i,54363.34793,18.790286437893293,0.023,CSP9844
i,54364.37982,18.7707786331989,0.036,CSP9844
i,54368.36071,18.71828642192768,0.041,CSP9844
i,54376.33887,18.85096087472911,0.023,CSP9844
i,54378.38505,18.887854366821287,0.033,CSP9844
i,54380.37199,18.85996017688405,0.025,CSP9844
i,54392.35478,19.583211860855474,0.064,CSP9844
i,54394.29072,19.701887316085866,0.049,CSP9844
i,54395.34689,19.718168737161484,0.068,CSP9844
i,54398.34477,19.802752270854015,0.074,CSP9844
i,54413.29233,20.307,0.116,CSP9844
i,54425.29183,20.465,0.245,CSP9844
B,54363.34793,18.835890011375902,0.019,CSP9844
B,54364.37982,18.788417256848962,0.016,CSP9844
B,54368.36071,18.852756595959924,0.034,CSP9844
B,54376.33887,19.933726787609437,0.047,CSP9844
B,54380.37199,20.662463037631973,0.346,CSP9844
B,54392.35478,21.205815337652776,0.144,CSP9844
B,54394.29072,21.3024843662159,0.089,CSP9844
B,54395.34689,21.598259736720934,0.192,CSP9844
