Filter,MJD,Mag,Sigma,Code
V,54387.27977,15.335397683603953,0.007,CSP9844
V,54388.0522,15.020415289987028,0.005,CSP9844
V,54392.09155,14.127633581024032,0.006,CSP9844
V,54394.08755,13.926916988361386,0.008,CSP9844
V,54395.08741,13.85389839284991,0.006,CSP9844
V,54398.00139,13.736000194654862,0.007,CSP9844
V,54400.08246,13.694211435465252,0.006,CSP9844
V,54403.05252,13.703357299441468,0.006,CSP9844
V,54407.10929,13.829858929962493,0.005,CSP9844
V,54409.06752,13.93492571099519,0.007,CSP9844
V,54411.07127,14.058611002892189,0.006,CSP9844
V,54413.08524,14.195359391581155,0.004,CSP9844
V,54417.12103,14.389289902753191,0.006,CSP9844
V,54426.05222,14.80252684918104,0.006,CSP9844
V,54428.06213,14.911140595202275,0.006,CSP9844
V,54430.04243,15.041688711648092,0.008,CSP9844
V,54435.03446,15.386433016526809,0.006,CSP9844
V,54440.05332,15.598830232810974,0.006,CSP9844
V,54443.12493,15.694272420602427,0.005,CSP9844
V,54445.04304,15.752027559223718,0.008,CSP9844
V,54449.0411,15.875628166556641,0.006,CSP9844
V,54455.02722,16.030176097979663,0.008,CSP9844
V,54456.0445,16.05907849840706,0.008,CSP9844
V,54457.02273,16.104086341012188,0.01,CSP9844
V,54466.02343,16.345592178819885,0.014,CSP9844
V,54470.04005,16.46077000360541,0.01,CSP9844
r,54387.27977,15.182435738759516,0.005,CSP9844
r,54388.0522,14.866086547444809,0.004,CSP9844
r,54392.09155,14.056442298918052,0.007,CSP9844
r,54394.08755,13.882736563101625,0.006,CSP9844
r,54395.08741,13.832652843113387,0.006,CSP9844
r,54398.00139,13.75171208745348,0.006,CSP9844
r,54400.08246,13.719683841896508,0.004,CSP9844
r,54403.05252,13.744755994751523,0.005,CSP9844
r,54407.10929,13.949020228506093,0.004,CSP9844
r,54409.06752,14.090635750120969,0.006,CSP9844
r,54411.07127,14.244762457472607,0.006,CSP9844
r,54413.08524,14.371586934220677,0.004,CSP9844
r,54417.12103,14.447658862917608,0.006,CSP9844
r,54426.05222,14.546318169231252,0.006,CSP9844
r,54428.06213,14.618780207486235,0.004,CSP9844
r,54430.04243,14.718616916605033,0.007,CSP9844
r,54435.03446,15.066931329152872,0.005,CSP9844
r,54440.05332,15.339263555115647,0.005,CSP9844
r,54443.12493,15.454116950530247,0.004,CSP9844
r,54445.04304,15.517148196453325,0.008,CSP9844
r,54449.0411,15.653168061584557,0.004,CSP9844
r,54455.02722,15.8509190132424,0.006,CSP9844
r,54456.0445,15.887483298487629,0.009,CSP9844
r,54457.02273,15.920892529691471,0.007,CSP9844
r,54466.02343,16.208454890277316,0.007,CSP9844
r,54470.04005,16.344986306731116,0.008,CSP9844
i,54387.27977,15.456631633442282,0.007,CSP9844
i,54388.0522,15.129598428422645,0.004,CSP9844
i,54392.09155,14.349991744847348,0.009,CSP9844
i,54394.08755,14.180074621343879,0.008,CSP9844
i,54395.08741,14.137518306729872,0.006,CSP9844
i,54398.00139,14.141855749514253,0.008,CSP9844
i,54400.08246,14.193094364160869,0.006,CSP9844
i,54403.05252,14.296812377085288,0.005,CSP9844
i,54407.10929,14.46100679643555,0.007,CSP9844
i,54409.06752,14.595900467291996,0.009,CSP9844
i,54411.07127,14.741289070470843,0.009,CSP9844
i,54413.08524,14.803147992495482,0.005,CSP9844
i,54417.12103,14.707710304312787,0.008,CSP9844
i,54426.05222,14.501275745153919,0.008,CSP9844
i,54428.06213,14.512726093878488,0.004,CSP9844
i,54430.04243,14.551617373004293,0.009,CSP9844
i,54435.03446,14.920169584899579,0.006,CSP9844
i,54440.05332,15.228126503721114,0.006,CSP9844
i,54443.12493,15.380183814294677,0.006,CSP9844
i,54445.04304,15.478781118070406,0.01,CSP9844
i,54449.0411,15.692670350586718,0.006,CSP9844
i,54455.02722,16.01343425224542,0.009,CSP9844
i,54456.0445,16.04673376678275,0.009,CSP9844
i,54457.02273,16.09144336305497,0.009,CSP9844
i,54466.02343,16.4151259706278,0.009,CSP9844
i,54470.04005,16.60148971864458,0.01,CSP9844
B,54387.27977,15.674024704775826,0.006,CSP9844
B,54388.0522,15.330473440709973,0.005,CSP9844
B,54392.09155,14.367873301486192,0.006,CSP9844
B,54394.08755,14.166636296303876,0.008,CSP9844
B,54395.08741,14.105165859927558,0.008,CSP9844
B,54398.00139,14.02993901993231,0.009,CSP9844
B,54400.08246,14.04066491204115,0.007,CSP9844
B,54403.05252,14.132938204115606,0.007,CSP9844
B,54407.10929,14.37605404937684,0.006,CSP9844
B,54409.06752,14.546117023253016,0.008,CSP9844
B,54411.07127,14.73751959263499,0.006,CSP9844
B,54413.08524,14.94986839847539,0.007,CSP9844
B,54417.12103,15.397043558401268,0.008,CSP9844
B,54426.05222,16.21236172141651,0.01,CSP9844
B,54428.06213,16.385195879509652,0.013,CSP9844
B,54430.04243,16.52323159278839,0.01,CSP9844
B,54435.03446,16.79514402994943,0.009,CSP9844
B,54440.05332,16.942258995262524,0.01,CSP9844
B,54443.12493,17.00570498178751,0.011,CSP9844
B,54445.04304,17.02241794544257,0.011,CSP9844
B,54449.0411,17.060742745167577,0.011,CSP9844
B,54455.02722,17.154121526183047,0.014,CSP9844
B,54456.0445,17.205940110882047,0.017,CSP9844
B,54457.02273,17.196751391933738,0.022,CSP9844
B,54466.02343,17.271173583794628,0.022,CSP9844
B,54470.04005,17.397268896497927,0.013,CSP9844
