Filter,MJD,Mag,Sigma,Code
V,54411.28453,14.166370457143087,0.007,CSP9844
V,54413.31325,13.66059628147976,0.005,CSP9844
V,54417.2052,13.129023698320166,0.006,CSP9844
V,54418.24183,13.096434122395255,0.009,CSP9844
V,54421.2075,12.956960042555654,0.009,CSP9844
V,54422.21833,12.954040405140358,0.005,CSP9844
V,54423.20494,13.024696680437344,0.008,CSP9844
V,54425.22418,13.056870368993978,0.007,CSP9844
V,54426.15644,13.124541722654532,0.009,CSP9844
V,54427.17866,13.205859476424406,0.009,CSP9844
V,54428.21678,13.306152456223627,0.007,CSP9844
V,54429.18392,13.39990815136775,0.008,CSP9844
V,54430.16787,13.479289882367732,0.009,CSP9844
V,54435.16196,13.917250621203705,0.009,CSP9844
V,54440.18856,14.383325737462075,0.008,CSP9844
V,54443.22231,14.62012212173826,0.006,CSP9844
V,54445.2233,14.749593155498767,0.007,CSP9844
V,54447.1492,14.861011606510031,0.008,CSP9844
V,54449.19361,14.950466861951936,0.01,CSP9844
V,54453.13832,15.106217826493332,0.009,CSP9844
V,54455.1139,15.182805962588901,0.008,CSP9844
V,54456.15405,15.212712871189023,0.009,CSP9844
V,54457.12102,15.284,0.008,CSP9844
V,54458.18471,15.325,0.009,CSP9844
V,54462.22076,15.462,0.008,CSP9844
V,54467.12712,15.611,0.009,CSP9844
V,54468.13332,15.652,0.012,CSP9844
V,54470.08788,15.695,0.011,CSP9844
V,54472.10858,15.771,0.013,CSP9844
V,54475.10998,15.849,0.008,CSP9844
V,54476.13697,15.891,0.01,CSP9844
V,54484.08747,16.103,0.01,CSP9844
V,54488.07259,16.232,0.011,CSP9844
V,54490.06978,16.292,0.011,CSP9844
V,54494.11035,16.392,0.009,CSP9844
V,54497.11014,16.488,0.011,CSP9844
V,54499.09598,16.565,0.02,CSP9844
V,54508.09958,16.797,0.012,CSP9844
r,54411.28453,14.251588137413922,0.008,CSP9844
r,54413.31325,13.712658902761877,0.003,CSP9844
r,54417.2052,13.185922500570763,0.005,CSP9844
r,54418.24183,13.167866642339044,0.009,CSP9844
r,54421.2075,13.082099356597416,0.007,CSP9844
r,54422.21833,13.08027848187471,0.005,CSP9844
r,54423.20494,13.13507044936774,0.007,CSP9844
r,54425.22418,13.210618636620568,0.004,CSP9844
r,54426.15644,13.306401326857953,0.007,CSP9844
r,54427.17866,13.348648905013167,0.009,CSP9844
r,54428.21678,13.428970856449753,0.005,CSP9844
r,54429.18392,13.474116935285783,0.006,CSP9844
r,54430.16787,13.524930927203583,0.006,CSP9844
r,54435.16196,13.751383136505032,0.007,CSP9844
r,54440.18856,14.170747823355581,0.007,CSP9844
r,54443.22231,14.447832743379797,0.005,CSP9844
r,54445.2233,14.572723078707819,0.006,CSP9844
r,54447.1492,14.679646748429397,0.008,CSP9844
r,54449.19361,14.789365260416483,0.008,CSP9844
r,54453.13832,14.979488187792205,0.007,CSP9844
r,54455.1139,15.057788577420332,0.008,CSP9844
r,54456.15405,15.097777742959119,0.006,CSP9844
r,54457.12102,15.139,0.007,CSP9844
r,54458.18471,15.186,0.007,CSP9844
r,54462.22076,15.36,0.006,CSP9844
r,54467.12712,15.552,0.007,CSP9844
r,54468.13332,15.587,0.008,CSP9844
r,54470.08788,15.683,0.012,CSP9844
r,54472.10858,15.741,0.012,CSP9844
r,54475.10998,15.877,0.008,CSP9844
r,54476.13697,15.917,0.01,CSP9844
r,54484.08747,16.239,0.01,CSP9844
r,54488.07259,16.403,0.011,CSP9844
r,54490.06978,16.482,0.009,CSP9844
r,54494.11035,16.647,0.009,CSP9844
r,54497.11014,16.749,0.01,CSP9844
r,54499.09598,16.842,0.009,CSP9844
r,54508.09958,17.178,0.012,CSP9844
i,54411.28453,14.304701156389966,0.009,CSP9844
i,54413.31325,13.857168009827037,0.007,CSP9844
i,54417.2052,13.439628593825867,0.007,CSP9844
i,54418.24183,13.451704957126884,0.013,CSP9844
i,54421.2075,13.430931994280126,0.011,CSP9844
i,54422.21833,13.44874166242836,0.007,CSP9844
i,54423.20494,13.535114580587416,0.007,CSP9844
i,54425.22418,13.592865941598191,0.011,CSP9844
i,54426.15644,13.613601135217424,0.008,CSP9844
i,54427.17866,13.644294095336537,0.015,CSP9844
i,54428.21678,13.66124055958079,0.01,CSP9844
i,54429.18392,13.660044246757993,0.011,CSP9844
i,54430.16787,13.646181403489965,0.011,CSP9844
i,54435.16196,13.655795913628955,0.011,CSP9844
i,54440.18856,13.953787399892617,0.01,CSP9844
i,54443.22231,14.260817509757999,0.009,CSP9844
i,54445.2233,14.428242792464326,0.009,CSP9844
i,54447.1492,14.609972773159566,0.011,CSP9844
i,54449.19361,14.73807949630625,0.011,CSP9844
i,54453.13832,14.949385173425707,0.011,CSP9844
i,54455.1139,15.080685706268532,0.011,CSP9844
i,54456.15405,15.1515898633645,0.011,CSP9844
i,54457.12102,15.208,0.011,CSP9844
i,54458.18471,15.257,0.011,CSP9844
i,54462.22076,15.429,0.01,CSP9844
i,54467.12712,15.643,0.011,CSP9844
i,54468.13332,15.684,0.012,CSP9844
i,54470.08788,15.773,0.014,CSP9844
i,54472.10858,15.836,0.015,CSP9844
i,54475.10998,15.952,0.011,CSP9844
i,54476.13697,15.989,0.014,CSP9844
i,54484.08747,16.28,0.014,CSP9844
i,54488.07259,16.425,0.014,CSP9844
i,54490.06978,16.48,0.011,CSP9844
i,54494.11035,16.611,0.011,CSP9844
i,54497.11014,16.709,0.014,CSP9844
i,54499.09598,16.749,0.014,CSP9844
i,54508.09958,17.026,0.014,CSP9844
B,54411.28453,14.199783248367515,0.007,CSP9844
B,54413.31325,13.687671546162393,0.004,CSP9844
B,54417.2052,13.183162403802989,0.008,CSP9844
B,54418.24183,13.170137321586772,0.008,CSP9844
B,54421.2075,13.124817663012132,0.006,CSP9844
B,54422.21833,13.185823049965908,0.006,CSP9844
B,54423.20494,13.28756917116011,0.006,CSP9844
B,54425.22418,13.496949418663602,0.007,CSP9844
B,54426.15644,13.629767845196165,0.008,CSP9844
B,54427.17866,13.799782543341824,0.009,CSP9844
B,54428.21678,13.991569415024385,0.007,CSP9844
B,54429.18392,14.155176185063484,0.008,CSP9844
B,54430.16787,14.321226901031416,0.009,CSP9844
B,54435.16196,15.034451201445131,0.009,CSP9844
B,54440.18856,15.50394102543324,0.009,CSP9844
B,54443.22231,15.715856351131759,0.008,CSP9844
B,54445.2233,15.809713545190997,0.008,CSP9844
B,54447.1492,15.902679182679687,0.009,CSP9844
B,54449.19361,15.980559117601471,0.009,CSP9844
B,54453.13832,16.10568175277627,0.01,CSP9844
B,54455.1139,16.15954516843562,0.009,CSP9844
B,54456.15405,16.200641615106107,0.011,CSP9844
B,54457.12102,16.183,0.011,CSP9844
B,54458.18471,16.213,0.011,CSP9844
B,54462.22076,16.313,0.009,CSP9844
B,54467.12712,16.43,0.01,CSP9844
B,54468.13332,16.464,0.011,CSP9844
B,54470.08788,16.471,0.012,CSP9844
B,54472.10858,16.543,0.013,CSP9844
B,54475.10998,16.591,0.012,CSP9844
B,54476.13697,16.615,0.012,CSP9844
B,54484.08747,16.745,0.014,CSP9844
B,54488.07259,16.855,0.015,CSP9844
B,54490.06978,16.875,0.011,CSP9844
B,54494.11035,16.94,0.01,CSP9844
B,54497.11014,16.994,0.014,CSP9844
B,54499.09598,17.034,0.016,CSP9844
B,54508.09958,17.211,0.014,CSP9844
