Filter,MJD,Mag,Sigma,Code
V,54469.30411,15.771830692899481,0.007,CSP9844
V,54470.16674,15.771786522490325,0.008,CSP9844
V,54475.14676,15.905169132663875,0.008,CSP9844
V,54476.16038,15.97620380187547,0.009,CSP9844
V,54478.15296,16.07934544761936,0.008,CSP9844
V,54480.15306,16.257214804542073,0.01,CSP9844
V,54484.10341,16.461449219666697,0.017,CSP9844
V,54488.145,16.751570676283393,0.035,CSP9844
V,54492.12974,16.923922283580637,0.013,CSP9844
V,54497.12174,17.082739503519,0.021,CSP9844
V,54499.10829,17.153080274822972,0.025,CSP9844
V,54521.07405,18.169687561052584,0.044,CSP9844
V,54523.05138,18.278450736067924,0.043,CSP9844
V,54532.03863,18.41921819301745,0.032,CSP9844
V,54543.0214,18.257,0.048,CSP9844
V,54545.00328,18.654,0.043,CSP9844
V,54546.99601,19.061,0.081,CSP9844
V,54551.99491,19.028,0.044,CSP9844
r,54469.30411,15.848892315444362,0.008,CSP9844
r,54470.16674,15.853905128282019,0.008,CSP9844
r,54475.14676,15.973213461534701,0.013,CSP9844
r,54476.16038,16.202610660214358,0.019,CSP9844
r,54478.15296,16.28201483140253,0.01,CSP9844
r,54480.15306,16.405166601156967,0.012,CSP9844
r,54484.10341,16.423566001781914,0.011,CSP9844
r,54488.145,16.393156103358358,0.02,CSP9844
r,54492.12974,16.65071909303,0.012,CSP9844
r,54497.12174,16.913140452391083,0.012,CSP9844
r,54499.10829,17.23853132886689,0.023,CSP9844
r,54517.07521,18.117165065449164,0.065,CSP9844
r,54521.07405,18.081508679577702,0.033,CSP9844
r,54523.05138,18.051918295080668,0.025,CSP9844
r,54527.04495,18.02347279228438,0.027,CSP9844
r,54532.03863,18.333234638970033,0.028,CSP9844
r,54541.07968,18.006,0.05,CSP9844
r,54543.0214,18.356,0.04,CSP9844
r,54545.00328,18.832,0.095,CSP9844
r,54546.99601,18.617,0.035,CSP9844
r,54551.99491,18.632,0.029,CSP9844
i,54469.30411,16.32969231901633,0.011,CSP9844
i,54470.16674,16.354769059335247,0.014,CSP9844
i,54475.14676,16.5698450193306,0.018,CSP9844
i,54476.16038,16.59064641216883,0.02,CSP9844
i,54478.15296,16.740999466109518,0.025,CSP9844
i,54480.15306,16.77493658827818,0.018,CSP9844
i,54484.10341,16.50959692245857,0.021,CSP9844
i,54488.145,16.44688577207667,0.022,CSP9844
i,54492.12974,16.518819101749337,0.014,CSP9844
i,54497.12174,16.622714934670206,0.016,CSP9844
i,54499.10829,16.814391717751683,0.018,CSP9844
i,54521.07405,18.00364923315643,0.042,CSP9844
i,54523.05138,18.014224496012368,0.04,CSP9844
i,54527.04495,18.350333951796898,0.055,CSP9844
i,54532.03863,18.328604807066256,0.037,CSP9844
i,54543.0214,18.965,0.082,CSP9844
i,54545.00328,18.614,0.046,CSP9844
i,54546.99601,18.865,0.055,CSP9844
i,54551.99491,19.195,0.08,CSP9844
B,54469.30411,16.02501216146829,0.009,CSP9844
B,54470.16674,16.085670849206302,0.008,CSP9844
B,54475.14676,16.4372054625357,0.01,CSP9844
B,54476.16038,16.534157292811933,0.011,CSP9844
B,54478.15296,16.752367420137116,0.011,CSP9844
B,54480.15306,16.976076850617964,0.013,CSP9844
B,54484.10341,17.424691809471664,0.029,CSP9844
B,54488.145,17.82697985780774,0.059,CSP9844
B,54492.12974,18.131346689285955,0.035,CSP9844
B,54497.12174,18.665372567789994,0.057,CSP9844
B,54499.10829,19.02591701448282,0.096,CSP9844
B,54517.07521,19.096749482158362,0.168,CSP9844
B,54521.07405,19.358061327829823,0.112,CSP9844
B,54523.05138,19.52896654119003,0.118,CSP9844
B,54527.04495,19.413251948535752,0.092,CSP9844
B,54532.03863,19.39113393841378,0.058,CSP9844
B,54541.07968,19.677,0.132,CSP9844
B,54543.0214,19.079,0.082,CSP9844
B,54545.00328,19.393,0.084,CSP9844
B,54546.99601,19.617,0.091,CSP9844
B,54551.99491,19.713,0.079,CSP9844
