Filter,MJD,Mag,Sigma,Code
V,54724.3237,14.251852287763354,0.006,CSP9844
V,54725.32016,14.147774589370334,0.006,CSP9844
V,54726.32141,14.074122493361942,0.006,CSP9844
V,54728.31453,13.960456583229714,0.007,CSP9844
V,54729.30238,13.927743717538029,0.006,CSP9844
V,54732.3027,13.933620036795205,0.008,CSP9844
V,54740.30267,14.15605291066153,0.004,CSP9844
V,54744.31379,14.418239916390228,0.005,CSP9844
V,54747.30524,14.594038285292042,0.006,CSP9844
V,54749.30468,14.680974922281177,0.005,CSP9844
V,54751.28175,14.766661239772565,0.013,CSP9844
V,54753.36793,14.861237706790096,0.005,CSP9844
V,54759.34452,15.167349291090627,0.007,CSP9844
V,54760.29968,15.219488087389951,0.007,CSP9844
V,54765.32339,15.555744959323489,0.005,CSP9844
V,54768.31296,15.7070767310615,0.008,CSP9844
V,54770.28675,15.786390608773424,0.005,CSP9844
V,54779.32165,16.07278476359475,0.008,CSP9844
V,54781.31516,16.12975275685566,0.008,CSP9844
V,54783.29234,16.199501391109592,0.008,CSP9844
V,54790.32183,16.38092137830632,0.008,CSP9844
V,54792.25894,16.4258173332029,0.01,CSP9844
V,54795.25207,16.512071472794318,0.01,CSP9844
V,54797.34641,16.576931925876366,0.008,CSP9844
V,54803.31488,16.789080428659684,0.008,CSP9844
V,54809.21786,16.975,0.009,CSP9844
V,54813.31326,17.069,0.009,CSP9844
V,54820.21276,17.236,0.01,CSP9844
r,54724.3237,14.128806301086831,0.008,CSP9844
r,54725.32016,14.040488913012574,0.004,CSP9844
r,54726.32141,13.981776191979748,0.005,CSP9844
r,54728.31453,13.91272243748301,0.006,CSP9844
r,54729.30238,13.888551542086672,0.005,CSP9844
r,54732.3027,13.893982207200198,0.008,CSP9844
r,54740.30267,14.211881714513975,0.004,CSP9844
r,54744.31379,14.509492147126576,0.005,CSP9844
r,54747.30524,14.602285882556991,0.006,CSP9844
r,54749.30468,14.617910959083014,0.005,CSP9844
r,54751.28175,14.649539610045885,0.006,CSP9844
r,54753.36793,14.646096890733387,0.005,CSP9844
r,54759.34452,14.77237199315206,0.007,CSP9844
r,54760.29968,14.803710040194515,0.007,CSP9844
r,54765.32339,15.12343411665828,0.004,CSP9844
r,54768.31296,15.311870395874461,0.009,CSP9844
r,54770.28675,15.41565247692318,0.004,CSP9844
r,54779.32165,15.797604737903368,0.009,CSP9844
r,54781.31516,15.861934179510502,0.008,CSP9844
r,54783.29234,15.930464964152062,0.007,CSP9844
r,54790.32183,16.172141756942484,0.008,CSP9844
r,54792.25894,16.235783770608244,0.008,CSP9844
r,54795.25207,16.325373151965593,0.012,CSP9844
r,54803.31488,16.644043017890425,0.005,CSP9844
r,54809.21786,16.769,0.009,CSP9844
r,54813.31326,16.894,0.008,CSP9844
r,54820.21276,17.101,0.01,CSP9844
i,54724.3237,14.081922235608346,0.008,CSP9844
i,54725.32016,14.019907019913779,0.005,CSP9844
i,54726.32141,13.976182860685158,0.006,CSP9844
i,54728.31453,13.959599841181326,0.006,CSP9844
i,54729.30238,13.953859194830573,0.005,CSP9844
i,54732.3027,14.075436641230905,0.006,CSP9844
i,54740.30267,14.47716112682129,0.004,CSP9844
i,54744.31379,14.707251718872309,0.007,CSP9844
i,54747.30524,14.674298864886165,0.006,CSP9844
i,54749.30468,14.608829837187933,0.006,CSP9844
i,54751.28175,14.55623931460384,0.007,CSP9844
i,54753.36793,14.50047959351295,0.006,CSP9844
i,54759.34452,14.412348626257014,0.008,CSP9844
i,54760.29968,14.416825115292962,0.007,CSP9844
i,54765.32339,14.700733824458185,0.004,CSP9844
i,54768.31296,14.916637547783052,0.009,CSP9844
i,54770.28675,15.029338968782788,0.004,CSP9844
i,54779.32165,15.514259735225652,0.008,CSP9844
i,54781.31516,15.62339467196014,0.009,CSP9844
i,54783.29234,15.729888140309125,0.008,CSP9844
i,54790.32183,16.055599383162917,0.009,CSP9844
i,54792.25894,16.136972917562623,0.01,CSP9844
i,54795.25207,16.270102677366076,0.012,CSP9844
i,54797.34641,16.328807112770956,0.008,CSP9844
i,54803.31488,16.622152642210935,0.006,CSP9844
i,54809.21786,16.773,0.009,CSP9844
i,54813.31326,16.918,0.009,CSP9844
i,54820.21276,17.149,0.011,CSP9844
B,54724.3237,14.923392822187733,0.007,CSP9844
B,54725.32016,14.822871636576144,0.008,CSP9844
B,54726.32141,14.753525996316391,0.007,CSP9844
B,54728.31453,14.645493151879148,0.011,CSP9844
B,54732.3027,14.680955939878594,0.005,CSP9844
B,54740.30267,15.074261279815067,0.005,CSP9844
B,54744.31379,15.444319225490135,0.006,CSP9844
B,54747.30524,15.777068939899145,0.008,CSP9844
B,54749.30468,16.004276625521047,0.006,CSP9844
B,54751.28175,16.20862609149752,0.023,CSP9844
B,54753.36793,16.413295708281886,0.008,CSP9844
B,54759.34452,16.98052493021501,0.01,CSP9844
B,54760.29968,17.041328511493255,0.01,CSP9844
B,54765.32339,17.325474400536162,0.007,CSP9844
B,54768.31296,17.464770618243886,0.011,CSP9844
B,54770.28675,17.527886614168324,0.009,CSP9844
B,54779.32165,17.71706175367616,0.009,CSP9844
B,54781.31516,17.742255320061417,0.009,CSP9844
B,54783.29234,17.779416035502265,0.011,CSP9844
B,54790.32183,17.888353215450756,0.01,CSP9844
B,54792.25894,17.909045737266077,0.012,CSP9844
B,54795.25207,17.94341066430193,0.011,CSP9844
B,54797.34641,17.96342589030864,0.009,CSP9844
B,54803.31488,18.08087008460936,0.009,CSP9844
B,54809.21786,18.127,0.01,CSP9844
B,54813.31326,18.186,0.015,CSP9844
B,54820.21276,18.28,0.012,CSP9844
