Filter,MJD,Mag,Sigma,Code
V,54768.24059,17.88883572550887,0.012,CSP9844
V,54770.236,17.478991301143836,0.008,CSP9844
V,54772.27173,17.181334097332858,0.009,CSP9844
V,54776.21065,16.897571743387672,0.006,CSP9844
V,54779.25623,16.8211188773818,0.01,CSP9844
V,54781.23821,16.834688097770723,0.011,CSP9844
V,54783.22545,16.86105998252488,0.012,CSP9844
V,54786.32834,16.912417931191985,0.01,CSP9844
V,54790.22391,17.116132012947595,0.009,CSP9844
V,54792.17523,17.217240288297646,0.009,CSP9844
V,54793.19285,17.28642264559207,0.009,CSP9844
V,54795.22421,17.41955948344885,0.013,CSP9844
V,54801.26446,17.727129293339477,0.012,CSP9844
V,54802.21004,17.77699114596381,0.011,CSP9844
V,54803.2858,17.812869563002565,0.012,CSP9844
V,54806.21799,18.014314861288426,0.012,CSP9844
V,54808.22362,18.121281714205292,0.014,CSP9844
V,54809.18593,18.21776596497432,0.019,CSP9844
V,54810.19611,18.236298033011575,0.024,CSP9844
V,54813.1172,18.43838996682918,0.03,CSP9844
r,54768.24059,17.992170662652015,0.013,CSP9844
r,54772.27173,17.30671830278518,0.007,CSP9844
r,54776.21065,17.050328090574062,0.006,CSP9844
r,54779.25623,16.98134898175512,0.011,CSP9844
r,54781.23821,17.004533458013363,0.011,CSP9844
r,54783.22545,17.02027240846001,0.01,CSP9844
r,54786.32834,17.14104034612919,0.009,CSP9844
r,54790.22391,17.413705045429023,0.01,CSP9844
r,54792.17523,17.554472218990696,0.008,CSP9844
r,54793.19285,17.60421665904557,0.008,CSP9844
r,54795.22421,17.66391548552628,0.013,CSP9844
r,54801.26446,17.76817587842646,0.009,CSP9844
r,54802.21004,17.77523409335619,0.009,CSP9844
r,54803.2858,17.77934642142651,0.008,CSP9844
r,54806.21799,17.87979902920042,0.009,CSP9844
r,54808.22362,17.933761173148433,0.01,CSP9844
r,54809.18593,17.98932725309792,0.011,CSP9844
r,54810.19611,18.041788453376093,0.015,CSP9844
r,54813.1172,18.214781533710116,0.015,CSP9844
i,54768.24059,18.193872857865465,0.015,CSP9844
i,54772.27173,17.540005543246266,0.01,CSP9844
i,54776.21065,17.383846005757,0.009,CSP9844
i,54779.25623,17.430648540981206,0.012,CSP9844
i,54781.23821,17.510072779239717,0.014,CSP9844
i,54783.22545,17.55688409452942,0.019,CSP9844
i,54786.32834,17.677676978089565,0.013,CSP9844
i,54790.22391,17.98725603886639,0.013,CSP9844
i,54792.17523,18.052922218512272,0.013,CSP9844
i,54793.19285,18.024187122811156,0.014,CSP9844
i,54795.22421,18.04029842369085,0.018,CSP9844
i,54801.26446,17.885523171952116,0.014,CSP9844
i,54802.21004,17.895556446090467,0.013,CSP9844
i,54803.2858,17.829134867552987,0.013,CSP9844
i,54806.21799,17.838967448946114,0.013,CSP9844
i,54808.22362,17.859604683589914,0.012,CSP9844
i,54809.18593,17.863333269855083,0.013,CSP9844
i,54810.19611,17.90168416536966,0.018,CSP9844
i,54813.1172,18.020402285630862,0.015,CSP9844
B,54768.24059,18.076152197493965,0.011,CSP9844
B,54770.236,17.622112171871144,0.009,CSP9844
B,54772.27173,17.309649628399,0.008,CSP9844
B,54776.21065,17.016433717222256,0.007,CSP9844
B,54779.25623,16.98646867223707,0.01,CSP9844
B,54781.23821,17.0136595615516,0.011,CSP9844
B,54783.22545,17.07122998414342,0.011,CSP9844
B,54786.32834,17.229530758949497,0.011,CSP9844
B,54790.22391,17.554577086357224,0.009,CSP9844
B,54792.17523,17.768605890980623,0.01,CSP9844
B,54793.19285,17.877354892496605,0.011,CSP9844
B,54795.22421,18.12568025115925,0.013,CSP9844
B,54801.26446,18.809727746684068,0.016,CSP9844
B,54802.21004,18.874417166755965,0.015,CSP9844
B,54803.2858,18.971763630226214,0.019,CSP9844
B,54806.21799,19.263194690199473,0.022,CSP9844
B,54808.22362,19.434540299543624,0.028,CSP9844
B,54809.18593,19.46685124885508,0.041,CSP9844
B,54810.19611,19.504014955673746,0.068,CSP9844
B,54813.1172,19.8331756476862,0.084,CSP9844
