Filter,MJD,Mag,Sigma,Code
V,54809.25527,16.63330857714695,0.009,CSP9844
V,54810.33148,16.55975575451221,0.009,CSP9844
V,54813.20101,16.49075476670303,0.009,CSP9844
V,54818.22786,16.586300378650897,0.009,CSP9844
V,54821.27591,16.734468882953124,0.009,CSP9844
V,54830.19575,17.30221842744561,0.011,CSP9844
V,54831.23247,17.353657006753068,0.01,CSP9844
V,54834.23865,17.47950325452983,0.012,CSP9844
V,54838.26162,17.806006295870965,0.016,CSP9844
V,54839.20517,17.891114105203712,0.013,CSP9844
V,54840.20037,17.95198661656955,0.014,CSP9844
V,54841.16817,18.064404242270253,0.017,CSP9844
V,54845.35624,18.347397906766368,0.02,CSP9844
V,54855.31562,18.70453567772281,0.028,CSP9844
V,54856.21615,18.735831469006442,0.023,CSP9844
r,54809.25527,16.653704818874196,0.009,CSP9844
r,54810.33148,16.63475076074375,0.009,CSP9844
r,54813.20101,16.551418462044126,0.007,CSP9844
r,54818.22786,16.683707510246947,0.009,CSP9844
r,54821.27591,17.005518079850766,0.021,CSP9844
r,54830.19575,17.34379910073458,0.009,CSP9844
r,54831.23247,17.351544831840286,0.01,CSP9844
r,54834.23865,17.381322680847724,0.009,CSP9844
r,54838.26162,17.69007183602067,0.029,CSP9844
r,54839.20517,17.66671590607923,0.012,CSP9844
r,54840.20037,17.743944798260152,0.011,CSP9844
r,54841.16817,17.799037055362227,0.014,CSP9844
r,54845.35624,18.068917032006244,0.016,CSP9844
r,54855.31562,18.58775283468618,0.019,CSP9844
r,54856.21615,18.58015275532977,0.018,CSP9844
i,54809.25527,16.848926840544543,0.01,CSP9844
i,54810.33148,16.84334860010434,0.01,CSP9844
i,54813.20101,16.947937487066117,0.009,CSP9844
i,54818.22786,17.16541511932035,0.012,CSP9844
i,54821.27591,17.43339797701006,0.021,CSP9844
i,54830.19575,17.392141369535267,0.018,CSP9844
i,54831.23247,17.39141272929659,0.013,CSP9844
i,54834.23865,17.332617933960382,0.017,CSP9844
i,54838.26162,17.339335643400524,0.018,CSP9844
i,54839.20517,17.4357252635796,0.012,CSP9844
i,54840.20037,17.506388928180357,0.017,CSP9844
i,54841.16817,17.632102390962295,0.017,CSP9844
i,54845.35624,18.07947354963493,0.058,CSP9844
i,54855.31562,18.534841869154853,0.03,CSP9844
i,54856.21615,18.407071462972013,0.042,CSP9844
B,54809.25527,16.86754618635925,0.008,CSP9844
B,54810.33148,16.78934444818003,0.009,CSP9844
B,54813.20101,16.774027481751617,0.009,CSP9844
B,54818.22786,16.967019822335363,0.009,CSP9844
B,54821.27591,17.22308699565697,0.009,CSP9844
B,54830.19575,18.30185239709089,0.013,CSP9844
B,54831.23247,18.400216412593252,0.015,CSP9844
B,54834.23865,18.67473392185871,0.021,CSP9844
B,54838.26162,19.09046454900996,0.024,CSP9844
B,54839.20517,19.177282315499976,0.03,CSP9844
B,54840.20037,19.27899486311841,0.035,CSP9844
B,54841.16817,19.359144979646572,0.044,CSP9844
B,54845.35624,19.81240291443939,0.069,CSP9844
B,54855.31562,19.94543518794223,0.044,CSP9844
B,54856.21615,19.90664418982508,0.047,CSP9844
