Filter,MJD,Mag,Sigma,Code
V,54840.06633,16.79056732348601,0.009,CSP9844
V,54841.08729,16.680093627214934,0.009,CSP9844
V,54842.05295,16.60196169050544,0.006,CSP9844
V,54845.15937,16.550220318658397,0.007,CSP9844
V,54848.15548,16.76040448633905,0.009,CSP9844
V,54855.18221,17.613810362020587,0.01,CSP9844
V,54856.14877,17.701710443022634,0.013,CSP9844
V,54859.16371,17.97335470389838,0.014,CSP9844
V,54867.13284,18.44383460455238,0.023,CSP9844
V,54870.10723,18.60470470855932,0.025,CSP9844
V,54871.13354,18.5590939865191,0.028,CSP9844
V,54872.13756,18.73565145772026,0.038,CSP9844
V,54873.07786,18.744167665412814,0.023,CSP9844
V,54879.13118,19.00604004620793,0.025,CSP9844
V,54884.11327,19.204,0.023,CSP9844
r,54840.06633,16.852941052173428,0.007,CSP9844
r,54841.08729,16.74147014436353,0.007,CSP9844
r,54842.05295,16.59132567155881,0.044,CSP9844
r,54845.15937,16.52381536442345,0.006,CSP9844
r,54848.15548,16.650509657944568,0.008,CSP9844
r,54855.18221,17.31338937038948,0.008,CSP9844
r,54856.14877,17.37033377019287,0.009,CSP9844
r,54859.16371,17.653920349633573,0.009,CSP9844
r,54867.13284,18.168688680495915,0.013,CSP9844
r,54871.13354,18.41953976390017,0.023,CSP9844
r,54873.07786,18.488209066286863,0.015,CSP9844
r,54879.13118,19.008422031195252,0.019,CSP9844
r,54884.11327,19.149,0.022,CSP9844
i,54840.06633,16.777335733389897,0.007,CSP9844
i,54841.08729,16.68432419650963,0.009,CSP9844
i,54842.05295,16.609585897372625,0.007,CSP9844
i,54845.15937,16.519195065968162,0.006,CSP9844
i,54848.15548,16.50326810873495,0.009,CSP9844
i,54855.18221,16.88762868752768,0.009,CSP9844
i,54856.14877,17.02345880863537,0.013,CSP9844
i,54859.16371,17.318733789856537,0.011,CSP9844
i,54867.13284,17.846408184024273,0.015,CSP9844
i,54871.13354,18.16842848010318,0.022,CSP9844
i,54873.07786,18.276194711532256,0.017,CSP9844
i,54879.13118,18.73602938721463,0.021,CSP9844
i,54884.11327,18.898,0.025,CSP9844
B,54840.06633,17.437090431017126,0.01,CSP9844
B,54841.08729,17.406809132507593,0.012,CSP9844
B,54842.05295,17.396272659093555,0.01,CSP9844
B,54845.15937,17.631384053308242,0.011,CSP9844
B,54848.15548,18.146141084008235,0.012,CSP9844
B,54855.18221,19.18359284172022,0.025,CSP9844
B,54856.14877,19.28736955787935,0.022,CSP9844
B,54859.16371,19.506324464284475,0.033,CSP9844
B,54867.13284,19.732929437633352,0.065,CSP9844
B,54870.10723,19.97274164022744,0.089,CSP9844
B,54871.13354,19.922847570738085,0.099,CSP9844
B,54873.07786,19.973118734635467,0.054,CSP9844
B,54879.13118,20.183005373931742,0.042,CSP9844
B,54884.11327,20.381,0.057,CSP9844
