SN,Survey,snetype,Type,AB,AV,AR,AI,sdssr,sdssi,RAX,DECX,Zcmb
SN2004ef,CSP,main,Ia,0.199,0.151,0.119,0.083,0.125,0.093,22h42m10.0s,+19d43m57.25s,0.029771
SN2004eo,CSP,main,Ia,0.392,0.296,0.234,0.163,0.247,0.183,20h32m54.2s,+09d45m26.72s,0.014734
SN2004ey,CSP,main,Ia,0.498,0.377,0.298,0.207,0.314,0.233,21h49m07.8s,+00d12m39.01s,0.014627
SN2004gu,CSP,main,Ia,0.096,0.073,0.058,0.04,0.061,0.045,12h46m24.7s,+12d13m18.88s,0.046897
SN2005A,CSP,main,Ia,0.109,0.083,0.065,0.045,0.069,0.051,02h30m43.2s,-03d09m36.41s,0.01834
SN2005am,CSP,main,Ia,0.194,0.147,0.116,0.081,0.123,0.091,09h16m12.5s,-16d05m42.36s,0.008967
SN2005bl,CSP,main,Ia,0.105,0.079,0.063,0.044,0.066,0.049,12h04m12.2s,+20d41m06.83s,0.025112
SN2005eq,CSP,main,Ia,0.268,0.203,0.16,0.111,0.169,0.126,03h08m49.3s,-07d13m24.61s,0.028351
SN2005hc,CSP,main,Ia,0.119,0.09,0.071,0.049,0.075,0.056,01h56m47.9s,-00d27m26.81s,0.044983
SN2005iq,CSP,main,Ia,0.08,0.061,0.048,0.033,0.05,0.038,23h58m32.5s,-18d59m15.30s,0.032929
SN2005kc,CSP,main,Ia,0.479,0.362,0.287,0.199,0.302,0.224,22h34m07.3s,+05d18m35.66s,0.01389
SN2005ke,CSP,main,Ia,0.089,0.067,0.053,0.037,0.056,0.042,03h35m04.3s,-25d06m35.10s,0.004483
SN2005ki,CSP,main,Ia,0.116,0.088,0.069,0.048,0.073,0.054,10h40m28.2s,+09d27m48.89s,0.02037
SN2005M,CSP,main,Ia,0.113,0.086,0.068,0.047,0.071,0.053,09h37m32.3s,+23d25m33.74s,0.022972
SN2005W,CSP,main,Ia,0.259,0.196,0.155,0.108,0.163,0.121,01h50m45.7s,+21d30m45.46s,0.00795
SN2006ax,CSP,main,Ia,0.182,0.138,0.109,0.076,0.115,0.085,11h24m03.4s,-12d01m00.09s,0.017957
SN2006bh,CSP,main,Ia,0.096,0.073,0.058,0.04,0.061,0.045,22h40m16.1s,-66d44m46.27s,0.010493
SN2006bt,CSP,main,Ia,0.182,0.137,0.109,0.075,0.114,0.085,15h56m30.5s,+20d11m23.93s,0.03248
SN2006et,CSP,main,Ia,0.07,0.053,0.042,0.029,0.044,0.033,00h42m45.8s,-23d49m56.39s,0.021178
SN2006kf,CSP,main,Ia,0.89,0.673,0.533,0.37,0.561,0.417,03h41m50.5s,+07d59m51.94s,0.020799
SN2006mr,CSP,main,Ia,0.076,0.057,0.045,0.031,0.048,0.036,03h22m42.8s,-37d23m07.04s,0.005508
SN2006ob,CSP,main,Ia,0.12,0.091,0.072,0.05,0.076,0.056,01h51m48.1s,+00d01m00.35s,0.058254
SN2006X,CSP,main,Ia,0.095,0.072,0.057,0.039,0.06,0.045,12h22m54.0s,+16d05m10.77s,0.006322
SN2007af,CSP,main,Ia,0.142,0.107,0.085,0.059,0.09,0.067,14h22m21.0s,-00d09m59.28s,0.00629
SN2007ba,CSP,main,Ia,0.133,0.101,0.08,0.055,0.084,0.062,15h16m42.6s,+07d34m47.01s,0.039055
SN2007bc,CSP,main,Ia,0.079,0.059,0.047,0.033,0.049,0.037,11h19m14.6s,+21d04m57.78s,0.021851
SN2007le,CSP,main,Ia,0.121,0.092,0.073,0.05,0.076,0.057,23h38m48.4s,-06d47m58.79s,0.005522
SN2007N,CSP,main,Ia,0.146,0.111,0.087,0.061,0.092,0.068,12h49m01.2s,-09d10m49.57s,0.014
SN2007on,CSP,main,Ia,0.042,0.032,0.025,0.017,0.026,0.02,03h38m51.0s,-35d44m13.71s,0.006182
SN2008bc,CSP,main,Ia,0.951,0.719,0.569,0.395,0.599,0.445,09h38m31.2s,-63d44m49.71s,0.015707
SN2008fp,CSP,main,Ia,0.711,0.538,0.425,0.295,0.448,0.333,07h16m32.6s,-29d14m07.28s,0.006287
SN2008gp,CSP,main,Ia,0.437,0.331,0.262,0.181,0.276,0.205,03h23m00.7s,+01d11m04.35s,0.032824
SN2008hv,CSP,main,Ia,0.116,0.087,0.069,0.048,0.073,0.054,09h07m34.0s,+03d35m39.88s,0.013581
SN2008ia,CSP,main,Ia,0.821,0.621,0.491,0.341,0.518,0.385,08h50m35.1s,-61d05m23.18s,0.022597
